Coluna A,Coluna B,Coluna C
213101118271011275381211942710112710410112717510144,156321398321156277156277398325322156156322277323324323324,415321321127490398322686327127322322322323127324322319323
21310111810326919410112710410112754115103436101,156321156156322156398686323686319325156325319319,321686127323321321398127277325398686
Renan Duarte,4058787897518069,+55 41 1348-5451
Ana Julia Pereira,561249268195,+55 (061) 8423 2127
Mariana Moura,Android 2.3.1,Transportador
João Miguel Campos,4092809390874068,31 4155-1084
Sr. João Pedro da Rocha,376651822860595,41 0573 7554
João Pedro Melo,4409525807342,+55 (021) 8321 9999
Yasmin Silva,Android 3.2.6,Juiz ou árbitro de futebol
21212110310310112721326973104269119,156323156325321277398277398686319319277325322323,415321321127490398323686327127321322325398127319324321156
Gustavo Henrique Teixeira,4684150847235270,0900-615-8611
29611510143612710410112720312173436101,277323686323324319398398319686398325319398325325,490398324686327127319325322398369156322398325
21911510627101127206115148101305101,319156322277319322323321322319322398322322324,321686127398321321321127322319686277
Davi Lucca Campos,Android 7.0,Engenheiro de aquicultura
21212127441275841203062862711512710410112717510144,319321323325321323319323325324398321324324324398,398319398398127156319156127156277322324
Sr. Cauã Lopes,Android 4.0,Borracheiro
Otávio Vieira,Android 4.1.2,Tecnólogo em papel e celulose
21210131011912710410112720311812144,377310411811527104127323331686331686,37120115118
Emanuella Moreira,Android 1.1,Nutrologista
2051191204362691181272202692716526927118101,377310411811527104127686331398,3748210212119410173120269
212101121118101127104101119127296269286269119,377310411811527104127319331277331322,541011042710119427119120101127649118115148118101482101104115118
2022697331010327115127206115148101305101,156321321322321322156323277156322156398324686319,323686127323319277324369322686686398
Dr. Otávio Araújo,2720786757610505,11 3195 0704
2251211182712737118101173110115,377310411811527104127686331321,2061217310427104115118
250119101104115118101127203101119120118115,377310411811527104127156331686331277,1751181154821151201151181276491731021942710311565710426912711012111912027305101
3773101127222271203521182710112720310119410426927118101,322323322319398319277322319277322398,415321321127490398321686327127321398325398127686686398319
Henrique Peixoto,Android 2.3.6,Engenheiro têxtil
Caio Almeida,Android 4.3,Papiloscopista
21310112043626912111912720312173436101,156321277156322319321324323325325277323323323277,415321321127490398686686327127398322324686127398277686319
2022691187310111810411512710410112717510144,377310411811527104127156331277331686,37482102272697312010119427119120101
2121211031011191272062691187310173104269119,377310411811527104127325,21330810427103115127148269732691202710327119120101
Theo Gonçalves,4516664618867214,71 2198 8010
212101310119127542710226927118115,377310411811527104127686686,371191192711912026973120269127104269127649118115104121305473115
2054822719419445312710410112720312173436101,322398686686325325323321156156398321686323319156,415321321127490398321686327127321323277156369277321324324
2132711826919419410112721326973104269119,377310411811527104127319331277,213271031181151061157327119120101
2041181013311272251011194822773127203115119120101,319156325686322321325325322277156321322322325,415321321127324686127321325319398369325323325322
Sr. Emanuel Lopes,Android 4.4.2,Gourmet
21310111827101127371942710326912710410112721212144,156325319398324319324321319324322322277,415321321127490398156686327127325323398156369325156686324
Gustavo Silva,370715210679044,(051) 6863 7093
203101118115194277310112720312173436101,321398686324323324319322277321156323,415321321127156686127321686321325369319325319321
37731011272123102862710112720626911811826927118101,319398277323277686323324686321686323277321,415321321127686686127325321398323369323325323686
2121212744101127213269194115,156156321686156325319277325324323319323323156322,490398323686327127277321686277127277319319322
Rafael Duarte,30495014647396,(061) 0423 1851
21911810133112720310148227194101127213269194115,319398277323319323319686324398319319156325,490398323686327127156322321277369686323325156
Renan Farias,Android 4.0,Contabilista
Dr. Felipe Fogaça,4866739594075,+55 (011) 2842-5706
Dr. Marcos Vinicius Aragão,Android 4.4.1,Luthier
204101732726919412737118101148473115,319321323321398323686277325398319324324324322323,490398156686327127398321156325127324325321156
Vinicius Freitas,Android 7.1.2,Entalhador
202269118731011181041151272222710173101,377310411811527104127156331156331156,37126911912011511812710426912712026910373115194115148271011271041011272773106115118482101305473115
538121194271011272031012861011941031017312027,156323277324319321319398321277319321321319686322,415321321127324156127323324325324369322277686398
Kamilly Rezende,342940297345963,(084) 1880-0684
175269104118115127208269731182711712126912710410112720311812144,156325319156324324321325322322319156324319323319319323277,324156127156325156324369321324398325
212121274412721327148121269194127175115118120115,377310411811527104127156331398331277,2671151151202691037327119120101
Dra. Sofia Martins,Android 2.2.1,Eletricista
22210119426973120277310112721227482101,377310411811527104127156331686331277,2031154821017310410173120269
Luiza Cunha,Android 7.1.1,Profissional de informática
250119101102269194194453127104101127213101120101,156319319686277321321324323322325156319398322686,415321321127490398321686327127398321398325127322686322324
371271152861017373101127104101127203115119120101,377310411811527104127156331398331277,2057314826973436269271181151271014821022726973120101194
204118331127544531017312729611514812126927118101,398322398156324398325322325277398323,322686127325398323686127321319321319
Cauã Nogueira,Android 8.1.0,Timoneiro
21911812010133112720826919426973101127371115482269119,322323322277319325319321277325322319,415321321127324156127156324324322369686322686156
Srta. Stephany Lopes,Android 2.3.6,Presidente da República
Dra. Ana Lopes,Android 6.0.1,Cobrador de pedágio
Thales Ferreira,30176561886831,(011) 2107 3296
377310112753817319427101127104101127203115119120101,377310411811527104127277331319331319,21326910310173352148118101106115
Alice Moreira,Android 4.1.1,Ginasta artística
2222773271032712111912729612173269119,686324398398398319325398686323319322325324325,398325398398127156323323127321322686156
219118101331127202269101120118274412710410112754115103436101,319398398398156319321398325398319324322322,415321321127490398322686327127322156324324369398321325323
538115473115127203115119120101,156321325323686321156323325325277277322322323686,490398686686327127319398324325369324156321319
Fernando Castro,4601216127096094,0300-641-1337
20310127115127202101118118115119,319321277398321321156324686323321398325398325321,415321321127322686127323322322686369325321322398
203101118194115119127205104121101118104115127175115118120115,156325319156277277324322156323686156686156324398,415321321127322686127277322324398127686686398686
2022697331010327115127212115649269119,377310411811527104127323331686331277,203101649269194473115
Rodrigo Mendes,Android 5.0.1,Toxicologista
Benício Castro,Android 2.3,Tecnólogo em processos químicos
Srta. Pietra Araújo,Android 4.4.1,Engenheiro civil
Miguel Cavalcanti,3593571204032806,11 5100-1820
53811547311512737110110211827269194127204121101118120269,377310411811527104127156331156331156,54269482101104115118
Júlia Vieira,Android 8.1.0,Engenheiro agrícola
541011061012691941011273744269286269104115,321319323321686686398156398324277323324686686398,277686127277323323321369322325325686
Enzo Barros,Android 4.3.1,Oftalmologista
Luigi Novaes,30030299171927,(021) 4690 8051
Dr. Pedro Lucas Nunes,2394298851165548,+55 (061) 0021 8620
Antônio Lima,Android 4.4.2,Jogador de handebol
Alícia Novaes,Android 8.0.0,Procurador de justiça
Vitor Hugo da Rocha,Android 4.0.2,Engenheiro de iluminação
53811547311512737110110211827269194127203101482649115119,377310411811527104127156331398331319,25073119120118121482269731202711912010112748212111927103101194
213101118271011272062691187310173104101127104101119127296269286269119,156156324325322319322321324324325277324321322323,490398277686327127319277686686369323323277323
Stella Costa,4766854940403664580,0500-432-2661
Sr. Kaique da Luz,Android 1.5,Boticário
Ana Júlia Pires,30276354920340,61 4152 2077
54269102269103101127212115649269119,377310411811527104127156331156331686,213101118269103436101194
João Vitor Silveira,4790482640058752,(031) 2803-4004
Ana Luiza Santos,5464454738999132,71 1704-3761
21212127441272082697311827117121269127204121101118120269,377310411811527104127156331156331156,21226912011827119120101
Dra. Maria Clara Silveira,6570176006917392,0800-970-8994
205104121101118104115127538269119121119,377310411811527104127277331277331277,21926973101104115118
Dra. Sabrina Pinto,Android 2.3.3,Caixa
21226910173104118115127219101194269119,377310411811527104127323331686331277,2032773269101119120101
212115118269734411512737118101173110115,377310411811527104127321331398331686,2063101192710311512773121103194269101118
3773120640732711512721326973104269119,322321277322319324321398398322686321323322322398,686686127323686324156369686398156277
Gustavo Henrique Araújo,213156493428232,31 7527 3149
Dra. Pietra Moraes,4116041592551136606,+55 41 8174-5663
Miguel Nogueira,180075178435123,11 3990-2478
1752726912011811512729611514812126927118101,377310411811527104127686331398,2051942691201182710327119120101
204272691481151273744269286269104115,322321156686319325322323398686277277319686319324,490398321686327127277156321686369322322323322
2204362710114811512720610111827101119,156325156325686324324321322321322323686398322322323323323,490398321686327127319325686277127324277156277
Sra. Vitória das Neves,Android 8.0.0,Anestesiologista
Ana Vitória Fogaça,2233127253406389,31 4731-5033
296277310112721326973104269119,322398686686398325324319323277156325277398156325,324686127325398321319127324686398324
2021184531017312721311511826927118101,377310411811527104127277331319331156,2032726973120271191201011271042691271011942748226973120115119
Felipe Cardoso,6011951254741034,(021) 6830 3833
Benjamin Gomes,4635010993206677067,+55 (061) 8756-3858
Rodrigo Silveira,Android 4.0.3,Protesista
208269271201151181272062691187310173104269119,156321321398321319398324324323156319325,319686127325277277686369324156324277
20410128627127212121274412721227482101,156277323398156321321321277321323325156156323322,490398686686327127686686322324127686398321156
Maria Fernanda Monteiro,501885801982,+55 81 3568-2436
250119101104115118101127203101482649115119,321398686324277325321321686156277398,490398323686327127322319398277127325322319321
204118331127206269118731017310411512754115103436101,377310411811527104127156331686,220308103732710311512726948212711926914812111810173305101127104115127120118101102101194436115
213101118271011272062691187310173104101127542710226927118115,377310411811527104127156331686,21911548226919427269118
Levi Moura,4454554894200897,(011) 4497-5283
212101118101127538269119121119,377310411811527104127156331156331277,20610111848210110331412112027103115
Danilo Martins,Android 2.1,Patologista oral
21911833112722043611548210111912720626911811826927118101,277277319277686325325325323325322321319686686322,398324398398127277323277127322156325323
Juan Alves,4219566555611846,+55 (031) 0147-5281
Cecília Lima,4358596430689247,0900-107-1672
2251211182712729611514812126927118101,377310411811527104127686398,21311573120101104115118
Emilly Cunha,Android 8.0.0,Delegado
João Guilherme Almeida,4114200930105407077,(084) 1678-6571
João Guilherme Viana,Android 4.3.1,Tabelião
Stella Lopes,676134035796,0300-172-5547
Fernanda Nunes,377696702738428,(071) 1499-6328
Yuri Souza,Android 4.1.1,Tecnólogo em silvicultura
Eloah Rodrigues,4005632025273555,+55 (031) 8452-4082
202269118731011181041151273744269286269104115,377310411811527104127321331686,175118115106269119119115118
202118121731151271041011272031157310326927305473115,377310411811527104127686331398,2062692711810173120269
Erick Melo,Android 3.2.2,Promotor público/de justiça
Vicente Fernandes,Android 4.1.1,Intérprete de Bíblias
Marcela Ribeiro,Android 4.4.1,Ombudsman
219118331127205104121101118104115127203101118104115119115,377310411811527104127321331686,20327118121118148274731151271042697312027119120101
Dra. Sabrina Ribeiro,Android 4.0.4,Jogador de handebol
Rafael da Mota,Android 4.4.4,Corretor da bolsa de valores
Lucas Gabriel Teixeira,5251321664247330,(021) 4188 8699
Bruna Freitas,Android 2.3.2,Jogador de futebol
3773101127538121194271011275841942728626927118101,377310411811527104127319331277331322,58410610627103269369102115453
213101118103269194101127206115148101305101,156277325156322322324277277319322322321325277325,415321321127490398324156327127319319321323127156325277156
Leandro da Rosa,4212051023978843,21 5149-4042
Isadora da Rosa,Android 4.1.2,Degustador
Pietra Almeida,3524666662526358,(081) 6192 7133
2191202696494361017345312754101482115119,277686319686322322321156398323323323321325324,415321321127490398319686327127156323319398369323322319398
21910111810143612720610111827101119,322323321325321156321319322323322324,398324398398127324324686127398322156686
3773101127212310286271011273744269286269104115,319321325398319321322322156324277319324321324324,490398156686327127156323277325369322156686398
2131011182710112720626911873101731041011271041011272031157310326927305473115,319398156686156398323322686319398398324156,415321321127490398277686327127156323325398127686322321321
219118331127204101286271272131011181202773119,377310411811527104127319331277331322,20310148210227119120101
219118331127175269104118115127212121103101119127542710226927118115,322321398324156323321686398319324319398325323398,415321321127490398323686327127277321322398369325686324322
213269194271191191011271752773120115,319322325686686686322398156156323322322322,415321321127490398321686327127277322324325369321325156686
Maysa Moura,213149111067201,+55 11 9256-0463
Guilherme Santos,347469712770246,(061) 3104 4431
20410173272691941271041011272031157310326927305473115,156156323156322277325277319319277321325322686324,415321321127490398277686327127319398277156127277323277277
21911810133112722210119426973120277310112717526911826927118101,377310411811527104127323331686,202101271941011182773101
2191181013311272051942711910112710410112754115103436101,377310411811527104127277331398,21212112010110411511812710426912712010126911112311573104115
213101118271011272121212744101127203101118104115119115,321277156686277325277156398323686321686325324321,415321321127277686127325321277398369325323322321
21910148212126919412717526911826927118101,377310411811527104127319331277,371181181017311010110411511812748212111927103101194
Pedro Henrique Santos,Android 4.0,Consultor de radiestesia
Mariane Fogaça,Android 1.1,Zootecnista
Bruno da Cunha,2702154030821005,+55 (051) 9054-3025
20211812173101127203115119120101,377310411811527104127319331277331277,371191192711912026973120269127104269127103231482269118101
54101121194127542694426973104269,322398686686325398319323323319686277319319322324,415321321127319686127277156398686369319324398686
Dra. Luiza Porto,575509326345,(081) 0336-6041
212115118269731011272192719428626927118101,319321277324325322322156277322319325398323277325,324156127156322324323127277156319277
Sr. Enzo Gabriel Mendes,Android 4.0.1,Fisiculturista
