Coluna A,Coluna B,Coluna C,Classe
Emanuelly Azevedo,6553966700451388,+55 (051) 6492 6520,1
Juan Costela,568366500961,+55 (081) 8878-6940,1
Alexia Cardoso,4969864852073402,+55 41 1431-9443,1
Catarina Peixoto,4088593226800729993,+55 (051) 6326 4888,1
Bryan Monteiro,4586237060027655,0800-408-6510,1
Dr. Benjamin Moreira,4580517633753762,+55 81 8401 6145,1
Luiz Fernando Silva,4177225806555,+55 61 1934-5643,1
Vicente Nogueira,180087268428579,61 8507-3727,1
Maria Fernanda Gomes,180010101644921,21 9920 4049,1
Matheus da Rocha,3514440357513044,11 7706 8843,1
Maria Ferreira,213134475716841,+55 (071) 1355-3288,1
Srta. Natália Moura,676376239809,(061) 0153 3378,1
Luiz Henrique Novaes,3533830671216315,(041) 8374 3166,1
Sr. Antônio Costa,6582706021536151,+55 (021) 3687-1963,1
Paulo da Rosa,6548411786390885,+55 41 3211-8595,1
Lara Oliveira,3544601355260896,+55 (041) 0384 0770,1
Sr. Enzo Gabriel Ramos,3586137890423029,+55 (051) 7072 9548,1
Sofia Porto,4174394816814783,(031) 6188-6534,1
Ana Laura da Costa,343231989145955,+55 (084) 0420-7570,1
Lavínia da Cruz,342698040981639,81 3721-3487,1
Catarina Martins,3599730702262588,+55 11 8355-9010,1
Otávio da Costa,060423590714,+55 61 4186-7042,1
Isabel Vieira,2251815517983931,(021) 0808-0594,1
Thomas das Neves,213181506701524,+55 71 7625-3892,1
Lavínia Ferreira,38714032575179,(071) 5194 0901,1
Enzo Almeida,3588718846612704,81 7620 8822,1
Diogo Caldeira,2245345897834602,0800-351-5507,1
Srta. Stephany da Cunha,3548447943379772,(021) 4774-8159,1
Larissa Ribeiro,676105878265,+55 (081) 2560-1260,1
Olivia Moura,3505023951653753,+55 (061) 9609 6320,1
Nathan Rocha,6011239135833711,(084) 0553-7393,1
Sophia Azevedo,3515689308832890,84 1272-2970,1
Agatha Araújo,4872103203715,(031) 5779-0234,1
Sra. Ana Lívia Freitas,4774363052275770392,(011) 1076-8076,1
Raquel Pinto,4848774285950622315,(031) 2496 7655,1
Maysa Santos,6011668743948224,61 5726-4662,1
Laura Araújo,4298019702904999,+55 (071) 1344 8484,1
Sr. Lucas Rocha,4255512473064761766,+55 11 4306 4542,1
Emanuelly da Paz,3517756793510519,84 1162 0841,1
Juliana da Luz,4698297074494325057,+55 (041) 5348 1825,1
Sr. Lucas Gabriel da Rosa,4740309696018,(061) 4790-9394,1
Gabriel Barbosa,577024785211,31 2921-2945,1
Sra. Isabel Martins,3522234659072050,+55 (041) 0738 2071,1
Marina da Rosa,4737063549937225,31 6980 4394,1
Isadora Viana,675964980931,+55 81 9675-2926,1
Miguel da Rocha,501845847588,+55 11 5336-7224,1
Levi Silveira,4434444973222439928,(061) 7225-4023,1
Sra. Manuela Santos,4163990938768827037,0300-995-4110,1
Ana Sophia Oliveira,3529840782063478,(021) 6430-3961,1
Yuri Moraes,4920970143088618,(041) 8076 3891,1
Emilly Araújo,2710721902780756,+55 (011) 7508 3327,1
Bruno Costa,566886544279,21 0942-3939,1
Pedro Cunha,4486955334661816,0500-123-0110,1
Srta. Pietra Gomes,180073481314184,21 3940-2838,1
Yuri Moreira,38584004500251,(084) 6516-6804,1
Gabriela Porto,3587149453603482,(011) 2533-8338,1
Isabelly Jesus,6011862233952099,61 8969-0894,1
Eloah Cunha,4306089921545,+55 (021) 6797-4964,1
Sophie da Costa,4517700683171170,11 7915-0635,1
Sra. Isabelly da Paz,5337250116563952,+55 11 9041 5706,1
Igor Moreira,3585651155065193,+55 (071) 4165-9631,1
Lucca Rodrigues,4070939693075497,+55 71 9494 4212,1
Sr. Pietro Melo,36830694792563,+55 31 8400 1758,1
Maysa Ramos,503899869997,0500-729-8086,1
Ana Carolina Vieira,4804568850748,(031) 7829-6718,1
Arthur Porto,4303577659756822,61 0595 2435,1
Paulo da Paz,180041233012729,+55 (011) 6662 0148,1
Yago Moraes,5146043719606216,0900 409 6945,1
Luna Carvalho,564905502048,21 8179-5522,1
Felipe Martins,3572785052437900,11 2890-2300,1
Ana Carolina Viana,213106210471999,+55 (021) 8357-8371,1
Davi Lucca Campos,060490284480,+55 (061) 7900-2441,1
Anthony Melo,4500824896455,41 0587 8986,1
Sra. Alana da Costa,4404543146139400,+55 84 5613-9197,1
Davi Lucas Araújo,4359558166733424,0900 386 0961,1
Alexia Silveira,4197576642963619,51 6447 5611,1
Carolina Freitas,4806919187776546,0800 760 9876,1
Sr. Yuri Oliveira,4136739174778147453,+55 (084) 4580 3213,1
Mirella Sales,676245310625,+55 (011) 7414 9935,1
Lucas Gabriel Cardoso,3507820366017419,+55 (061) 7953 0378,1
Pedro Henrique da Mata,4384467721183,0300-477-1542,1
Manuela Nogueira,3567361404726148,51 7549 0692,1
Fernando Martins,3591304414630215,+55 (041) 6280-5368,1
Maria Cecília Barros,639041367967,0300 338 5048,1
Kevin Fogaça,5553789651537670,+55 (011) 8750-8798,1
Luiz Felipe Sales,4479905140911,0800-773-0275,1
Noah Monteiro,180073572709037,(021) 6118 1174,1
Vitor Dias,3558395585707072,61 0940-6174,1
Samuel Martins,2294110397638881,+55 81 6046 4696,1
Srta. Mariane Nunes,3523215774550426,(051) 0208 7078,1
Pedro Henrique Martins,4508119761906194,0800-353-9591,1
Lucas Moreira,4217690520549219374,(011) 9846 8114,1
Vitor da Mata,4992302590238351661,51 9581 3541,1
Yasmin Castro,3523191514745313,(011) 0083-5013,1
Murilo Ferreira,349564120609305,0900 935 9019,1
Esther Silva,36168166312465,+55 11 7228-4742,1
Matheus Cardoso,3565807237108088,+55 61 4458-3806,1
Sr. Cauã Freitas,4168228652949892595,+55 61 3330 3666,1
Raquel Alves,4436516627356256569,(021) 4654 4382,1
Brenda da Rosa,676348777431,51 4334 9038,1
Francisco Pereira,3570126621478285,0900 499 8823,1
Joaquim Pires,346384545058878,+55 51 8070 0142,1
Alícia Souza,180069367121339,0300-634-7473,1
Davi da Mota,4208866718543370,+55 84 8800-4366,1
Natália da Cruz,213196997087753,0900 908 4408,1
Raquel da Cunha,341219740109164,+55 (051) 3100-6856,1
Sabrina Porto,30165118321616,(081) 5705-3121,1
Sra. Elisa Campos,4328183910761969187,(041) 7787-9778,1
Dr. Murilo Moraes,4399666344476030,0500-847-6413,1
Ana Lívia Costela,2714727326459550,(084) 0362-1663,1
Enzo Cavalcanti,213130465048054,11 4323-2010,1
Kamilly Pires,6542769569279187,51 5206 9339,1
Davi Luiz Nunes,4753822216996320,(081) 7438-2373,1
Gabriel Gonçalves,4717346425533596,+55 31 3418-0946,1
Manuela Mendes,344005372078372,+55 (051) 6341 4581,1
Maria Cecília Rodrigues,30243315816116,+55 (071) 6168-2730,1
Sr. Nicolas da Conceição,4299773079264408,+55 (041) 9987-3521,1
Vitor Gabriel Lopes,213154267170163,(081) 7504-8011,1
Bianca Farias,3554109692191508,84 6591 9874,1
João Felipe Porto,4567620220739835,61 9143-4445,1
Julia da Rosa,5412363775506143,(051) 6991-3027,1
Sofia da Paz,4535977243602669026,+55 (051) 9443-1395,1
Srta. Larissa Lopes,2658683435423979,61 8994 9740,1
Matheus Mendes,6550235625487627,(084) 4334 4807,1
Theo Costela,4074712427383114761,+55 (084) 4780-0912,1
Olivia Pinto,4793320920078404991,(041) 7209 6770,1
Alice Cardoso,30536323259041,+55 31 1503 8446,1
Augusto Viana,3588739641275281,+55 (031) 0879-3832,1
Arthur Rodrigues,2270459825033431,+55 61 0762 8461,1
Pedro Henrique da Paz,4422525294161536781,+55 51 2546 3029,1
Luana Cardoso,676129325590,+55 71 7265 3938,1
Kaique Souza,4754798540811428,0900-841-1277,1
Dr. Kaique Santos,566304887854,(071) 6445 3607,1
Samuel Araújo,372183007702446,+55 41 9686 7093,1
Dra. Ana Carolina Cardoso,30293964210350,+55 (081) 9055 9625,1
Cauã das Neves,4077211189994885036,+55 11 6467-2916,1
Lucas Gabriel Peixoto,3511405028375886,(011) 3563-9153,1
Dr. Augusto da Rosa,580408255850,+55 41 1655-4361,1
Lorenzo Moura,3508105627617325,+55 61 6257-2743,1
Kaique Viana,639026764790,(081) 9872-5118,1
Felipe Moreira,6519650121271129,0500-248-8846,1
Fernando da Rocha,4311932380532952,+55 (051) 6432 2636,1
Enrico Aragão,4765600719390707993,+55 31 0348 2086,1
Sra. Milena Nogueira,4496000599395,+55 (084) 8299 5719,1
João Guilherme Moreira,3560786539326728,84 6361-3552,1
Luiz Felipe Rodrigues,3526902457946776,(031) 3011-9256,1
Isis Oliveira,502018760517,0500 762 7562,1
Nina da Paz,3512786365185585,+55 41 9984-9218,1
Maria Clara Sales,4737219190701280058,+55 (071) 0487 8796,1
Ana Clara Duarte,6570071228677470,81 0488-5941,1
Ana Beatriz Moraes,4138175829245,+55 (011) 9187 9708,1
Felipe Rodrigues,3599478560779950,84 8519-9380,1
Enzo Gabriel Rezende,376857649831046,41 6932 5680,1
Luiz Felipe Nunes,6011956298746345,(041) 0571-8049,1
Thiago Fernandes,378947255189199,31 7422 5101,1
Giovanna Cardoso,6011646686118369,+55 (011) 9731-1812,1
Srta. Ana Beatriz Viana,4612160338876388677,(071) 0784 7550,1
Agatha Oliveira,6540767911636718,41 6589 5957,1
Stella Lima,30214477200761,(041) 7677-3087,1
João Gabriel Correia,213178860880241,(011) 7843-5400,1
Guilherme Moraes,4606250203407856670,41 2530 4714,1
Clarice Farias,2622373875251626,71 6615 5469,1
Dr. Raul Rezende,6011629118530054,+55 (084) 8848 6070,1
Maria Julia Martins,3538408550651509,0500 831 1841,1
Vitória Fogaça,6011839615336521,+55 (051) 3663 8561,1
Paulo Moraes,4506513357030,11 7634-6755,1
Benício da Mota,4770673142277171,+55 81 5706-9390,1
Srta. Sarah Carvalho,2226135069644852,61 2216-5083,1
Rodrigo Moreira,4317086402159502,+55 (051) 2368 4427,1
Sr. Luiz Miguel Lopes,4284403084552996,81 7559 8113,1
Bruno Almeida,6011404475623516,(041) 3658 2598,1
João Miguel Fogaça,3504562600132207,+55 81 9634-3841,1
Francisco Peixoto,4888120680636,+55 (071) 0194 8795,1
Rafaela Fogaça,4979444280011,+55 (071) 2908 3520,1
Sr. Luigi Lima,4199298358264961,71 7733-2101,1
Lívia Barbosa,4478905767420547147,(071) 6431-4313,1
Valentina da Rocha,4968084290109,+55 84 7735-1441,1
Srta. Cecília Ribeiro,4219473440370,+55 (071) 2505-1518,1
Caio Fernandes,3559267312407400,(021) 9511-3160,1
Nina Aragão,344539996703924,+55 81 0884 6190,1
Alexandre Nogueira,375973632126566,41 1871 7009,1
Emanuel Gonçalves,3537061357084183,(011) 6883-8055,1
Mirella Alves,3599161427603577,61 1195 4533,1
Francisco das Neves,4711555168069684126,+55 71 4969 8997,1
Sra. Vitória Peixoto,503803096463,61 6159-5780,1
Arthur da Mota,347593448401543,+55 (011) 5908-2578,1
Dr. Emanuel Gonçalves,3517532113995627,0900-446-4455,1
Enrico Oliveira,371595431514116,+55 (071) 6570 1460,1
Rebeca Almeida,3583128393800667,+55 (051) 2239 0474,1
Clara Viana,180091039441127,41 7003-6438,1
Dr. Cauê da Luz,379720121037283,0900 180 8871,1
Dr. Noah Silveira,36820648143443,0300 764 7729,1
Diogo Castro,30048130974101,0500 312 7272,1
Nina Gomes,4060152767083,61 9330-9450,1
Dra. Fernanda da Luz,5155452751407839,84 1241-7570,1
Dra. Maria Vitória da Cruz,4849685464155667,0500-294-1564,1
Maria Clara Ferreira,4066815968224299,+55 51 7882 0295,1
Eduardo da Luz,502009443784,+55 (011) 1466 9384,1
Ana Sophia da Mota,4271666345761659496,+55 71 7014 4120,1
Samuel da Cruz,6516347927002161,81 3816-9733,1
Srta. Daniela da Cunha,2265096395899440,0500-924-9320,1
Thales da Rocha,4117381776598076,0500-960-4160,1
Stella Cunha,6534706246980522,(061) 4214-7799,1
Benjamin Caldeira,4188114631567794,(081) 6393 2632,1
Dra. Lara Barros,3526846516118812,+55 71 9026-6601,1
Theo da Paz,4903123078341682,61 5352 3039,1
Bernardo da Luz,4001077026272509,(021) 6442 4375,1
Eduardo Correia,4831316934888,(051) 6045 1614,1
Antônio Fogaça,2349331369812164,+55 (021) 1327 2551,1
Diego das Neves,30327086644425,61 0402 0651,1
Sophia Porto,4698182638095,+55 (084) 9988-6782,1
Ana Beatriz Azevedo,3502521323665366,+55 (081) 7418 3156,1
Fernanda Freitas,30267220365208,31 3321 8560,1
João Vitor Rezende,3540991122380505,+55 (021) 6045 6548,1
Maria Sophia Costa,3525032389579338,+55 61 4694 1124,1
Sophie Mendes,6011750725596799,0300 168 7927,1
Bianca Farias,4876924059577456,51 9294 4631,1
Alexia Cunha,3510490632314639,(084) 2427 2044,1
Dr. Davi Lucas Melo,38250811059242,51 8252 5445,1
Maria Eduarda Ferreira,3508342336772832,+55 51 5276 8912,1
Emanuelly Jesus,4053096461715,0900-987-1513,1
Sophia Nunes,6011500289562533,+55 71 9095-4218,1
Lucas da Mata,676216514163,(021) 0451 4449,1
Benício Nunes,6530175337714725,(041) 9476 1164,1
Emanuel Jesus,675925101049,+55 (031) 0192 9788,1
Dr. Davi Lucas da Luz,6011390419457824,(084) 2494-9054,1
Lívia Moraes,4503707706429,0800 164 4462,1
Kamilly da Rocha,4873842881837,(011) 1576-2936,1
Sophia Fogaça,180052110940106,+55 41 0292 6955,1
Letícia da Rosa,3569627331777406,+55 (051) 4170 0937,1
Noah Azevedo,2292903319028526,(061) 0421 5602,1
Srta. Caroline Correia,2512662850799101,84 3085 3274,1
Marcos Vinicius Castro,346992129764180,+55 (021) 7965-8469,1
Ana Julia Azevedo,577481870878,+55 61 4315-3649,1
Isis da Mata,213182698086096,(051) 7337-0220,1
Vitor Gonçalves,213160316765259,+55 (041) 4416-5785,1
Alexandre Azevedo,570328969292,0500 134 2443,1
Emanuelly Freitas,4368160441177680,+55 51 5783 8226,1
Elisa Rezende,347043980338190,+55 21 6539 5771,1
Bruno Pinto,30392441126138,+55 (021) 6642-0334,1
Gustavo Henrique Monteiro,3547920803907107,+55 31 3354-0591,1
Dr. Ryan Viana,30344846036099,+55 11 9796 6348,1
Dra. Yasmin da Cunha,30213162578234,(084) 6977 5482,1
Srta. Bárbara Peixoto,4018999807175489,(031) 7115-9269,1
Alana Vieira,3500207310143862,0300-698-6931,1
Sarah Oliveira,4509655466446464,+55 (021) 0884 2279,1
Julia Sales,4747145844345025695,+55 (011) 7664 5471,1
Nathan Viana,579353807392,+55 (031) 0089-2188,1
Pietra Duarte,180093674447203,0300-413-9550,1
Otávio Cardoso,6568991850972580,+55 84 3341-9895,1
Danilo Cavalcanti,6011607120091810,51 6709 4437,1
Bernardo Martins,4633404734471,(071) 6319-8186,1
Isabelly das Neves,3571638519045231,21 0685 3202,1
Milena Azevedo,4956853199887330,+55 11 3050-5163,1
Davi Lucas Caldeira,348757692000025,+55 71 3193 4110,1
Lavínia Silva,213161387858965,+55 (071) 9970-5153,1
Marina Cardoso,6011015349380461,+55 (011) 3026-6826,1
Nicole Sales,30344865734384,+55 61 1462 1476,1
Igor Nunes,4883464018006,+55 21 8149 0751,1
Ana Julia da Rosa,583688036107,21 2330-3840,1
Srta. Amanda Campos,6590973503939887,0300 114 2329,1
Vitor Santos,630457380719,+55 (084) 6740 4417,1
Luna da Rocha,6511405033505769,(021) 9457 4020,1
Ana Beatriz Oliveira,2720139768528276,+55 84 1563-1182,1
Francisco Pinto,180099635060662,+55 (011) 7433-2723,1
Thiago Nascimento,4947087642763,+55 61 1128-9241,1
Sofia Fernandes,376114786177696,+55 (041) 2094-4987,1
Alícia Vieira,376561265849858,71 4325 1102,1
Vicente Oliveira,213111530784253,61 8546-9883,1
Lorena Nogueira,6011726210338210,+55 (081) 4014 5263,1
Mirella Gomes,639035540306,0500-349-3937,1
Thiago Rezende,180008356752068,0300 088 2172,1
Noah Pires,36670535440422,41 2200-4248,1
Pedro Cardoso,4010821321309,31 3113 6833,1
Nicole Silva,5267788790214776,0500-574-3896,1
Enzo Aragão,2720767362059577,81 9170 6019,1
Yuri Araújo,3509943419792230,+55 84 1713-0412,1
Luiz Felipe Barros,639053519810,(011) 7420-4776,1
Otávio Monteiro,4714544936230156,61 4820-6646,1
André Rezende,4169628638161274640,(061) 8120-8518,1
Eloah Ribeiro,30509642123693,(041) 4014 3436,1
Rodrigo Azevedo,6011112793964724,0800-481-7035,1
Maria Alice Freitas,6506274005169138,0800-352-3716,1
Mariane Caldeira,4518245853191345903,0800 968 7584,1
Vitória Viana,371063677269358,+55 84 4284-6881,1
Dra. Laís Souza,503838699125,21 8230-0327,1
Sr. Davi Lucas da Cruz,180004716455500,+55 (011) 5782 6657,1
Francisco Ribeiro,213151288102415,0900 897 9604,1
João Lucas Cardoso,4795007825046,+55 (084) 4286 8371,1
Ana Julia Duarte,4148282707968581,(051) 2194-3272,1
Gustavo Henrique Santos,36247020196924,0500-029-2461,1
Gustavo Henrique Peixoto,6011627727943312,(011) 7464 2556,1
Caroline Duarte,4640223947402295408,(051) 3252-7930,1
Isis Castro,3528393591688490,31 2019-8049,1
Vicente da Cruz,4214716708725,+55 11 1903-3404,1
João Guilherme Azevedo,639058453312,61 4947-6902,1
Luiz Otávio Peixoto,4278683431202156815,41 0667-0818,1
Mirella Correia,4700406296031127,(061) 9452 9795,1
Caroline Martins,5143200761499766,+55 84 6907 3512,1
Luiz Felipe Teixeira,370161870471499,+55 (041) 5880-7063,1
Ana Laura Nascimento,4495222940673191,+55 (061) 2112-0521,1
Mariane Duarte,3533875079183054,+55 (031) 7641 4825,1
Paulo Oliveira,3576007414858194,+55 11 3115-7521,1
Elisa Souza,3588313359576734,0300-459-5074,1
Sophie Melo,4251730336093588,71 1047 6718,1
Dr. Yago Lopes,503804626292,+55 81 1359 3384,1
Emilly Ferreira,3508313788665337,+55 (061) 5825 1523,1
Fernando Gonçalves,4787661285289039,+55 (081) 2735-6611,1
Joaquim Ferreira,4386007004186,0900 893 7707,1
Guilherme da Rocha,4381904222631891,(011) 4622 3857,1
Pedro Henrique Martins,676154626540,+55 51 8688 1718,1
João Guilherme Freitas,573218327571,+55 (011) 5711 5244,1
Stella Aragão,5213918865669894,(071) 6883 1264,1
Vinicius Cavalcanti,4885215171078911302,(081) 0522-9124,1
Vicente Correia,575474726628,+55 (061) 2890-8165,1
André Fernandes,675910433985,(021) 8305 6767,1
Enzo Gabriel Lopes,3584218758949115,+55 (051) 5925 5384,1
Srta. Isabelly Viana,4511831613699380,+55 41 9558-4181,1
Beatriz Santos,30309298411033,0800 657 0834,1
Ana Clara da Cruz,2253564679682430,11 1365-8699,1
Alexandre Peixoto,30559689206026,(051) 6422 0040,1
Ryan Caldeira,378173571814911,0900-081-4625,1
Ana Julia Pereira,3557625756258757,+55 31 3439-0423,1
João Felipe Freitas,6011545518028442,0800 274 0905,1
Dra. Natália Correia,2238335135745479,+55 31 5506-8474,1
Ana Vitória Azevedo,4538458571341,+55 21 5631 9170,1
Olivia Jesus,3528075457485372,(071) 2101-5287,1
Lucas Gabriel Pereira,30302374940595,+55 11 0872 2570,1
Alícia Cardoso,4995023807763967,+55 (081) 5567-5871,1
Sra. Caroline Fernandes,4596553841175,+55 71 8890 1176,1
Dr. Enrico Vieira,3594245869833209,61 4683-9223,1
Maria Julia Araújo,213101737038868,0500-485-5231,1
Matheus da Conceição,3570723308374140,+55 21 3503 8500,1
Luna Silveira,213155581933558,61 4803 0757,1
Sr. Benjamin Moura,30577349916818,+55 21 9069-0620,1
João Pedro Silva,4894045369446,(084) 3588-3272,1
Lívia Duarte,6570178370820400,(011) 5047-1891,1
Benjamin Moura,379777511836567,(041) 7295-4725,1
Sr. Igor Alves,30010043987968,(061) 8626 7371,1
Luigi Santos,6011927280703982,0300 698 6389,1
Daniel Ramos,3524215806728668,84 3000-7787,1
Maria Vitória Rezende,6011223155463310,+55 (041) 4493 5608,1
Anthony Moreira,4243207226054830322,+55 31 6879-0369,1
Raquel Castro,4012043264383363837,51 1443 3110,1
Maria Clara da Costa,180054735451915,+55 (011) 2395-8395,1
Isabelly da Cunha,4372283288446,+55 61 7821 3163,1
Lucas Gabriel Fogaça,349676292420749,51 9180 0824,1
João Felipe Duarte,6011642867247259,11 7169-6085,1
Beatriz Monteiro,4518051688193018766,+55 (081) 9379-3717,1
Ana Vitória Azevedo,213104536066593,(051) 4746-4752,1
Bianca Viana,4302673337429766,+55 81 0682-5553,1
Gabriel Pinto,38613229012477,61 9131-3030,1
Sr. Fernando Lopes,2463516884325193,+55 (071) 9563-1651,1
Júlia Lima,3525258607787367,(051) 0102 5760,1
Dr. Raul Peixoto,4092816494220742,+55 (031) 5029-9662,1
Alexia Rezende,3513272350963244,81 4089-7061,1
Dr. Lorenzo Moraes,4107179609809823,+55 71 1925-9014,1
Maria Alice Santos,3569121093548361,+55 (081) 2362 3799,1
Yago Rezende,4651455508417713243,+55 (011) 4429 1503,1
Maysa Lopes,342112690773734,+55 71 3167 9260,1
Maria Alice Aragão,30571985108814,+55 11 7246 8572,1
João Guilherme Novaes,3561763218246500,0300-498-9330,1
Sofia Sales,3594572728794607,+55 (061) 0027-7750,1
Lucca da Mota,4525574139253246833,+55 (041) 5901-4819,1
Yuri Carvalho,3528679936781689,+55 (021) 6688 0307,1
Luna Nogueira,676144222228,+55 31 0053 6009,1
Elisa da Rosa,6011582935000357,81 0959-3384,1
Stella Campos,345874922777703,+55 84 7476-6759,1
Nathan Lima,676177865372,+55 31 5184-6228,1
Fernanda da Rocha,30492331125115,+55 (084) 5719-6370,1
Dra. Juliana Oliveira,180064561139872,+55 51 1306 9398,1
Davi Pereira,6011745673358994,+55 71 9024-3493,1
Rebeca Fogaça,2273267845593301,(031) 3406-2609,1
Maria Vitória Sales,3511234673175932,(081) 9253-6891,1
Ryan Vieira,30482933991725,11 0022 5226,1
Ana Júlia Moura,4884600723277,(084) 9863-0701,1
Rafaela Peixoto,4127431547152865,+55 (081) 0178-6578,1
Maria Sophia Rocha,6569614659548026,0800-551-1174,1
Mariane Nascimento,501896226294,51 7843 7396,1
Maria Fernanda Pires,6530717277805698,(084) 5608-7460,1
Luiz Fernando da Luz,376460555225558,84 9275-9517,1
Emanuella da Rocha,3587908050806362,(071) 3042 2608,1
Ana Vitória Moura,4256430442705275,+55 (071) 3800 9454,1
Maysa Silva,213117649408767,51 9339 0419,1
Bernardo Jesus,4408229488151,(051) 2317-4420,1
Maria Luiza Alves,4817853898784410902,61 4257-9033,1
Gabriela Martins,349092432754072,+55 11 6326 3598,1
Catarina Rezende,4658036684162820,+55 (031) 5217-0655,1
Lívia Nascimento,379427690417652,(071) 5351-6283,1
Ana Beatriz Souza,6565751484568599,(011) 3889-5854,1
Gabrielly Farias,676332319281,+55 11 6497 5923,1
Yago Nunes,4532386548467806006,+55 84 1983 1715,1
Gustavo Teixeira,2720573022933338,0300-922-6427,1
Lucas da Paz,3596545843285881,+55 21 1349 4333,1
Catarina Santos,2241624329179511,(071) 7803 4788,1
Daniela Farias,180021389812676,+55 61 8900-5104,1
Igor Fogaça,180003050755376,61 9491-1173,1
Leandro Moura,375232434147993,0900-713-6204,1
Júlia Cunha,340551282943795,+55 84 9254 1347,1
Yuri Caldeira,3578335676387166,(041) 9124 1720,1
Pietra Freitas,5208040764378274,41 1480-0988,1
Sra. Olivia das Neves,4559323185072769,+55 61 1253-9896,1
Maria Fernanda Cardoso,3555458273233398,51 0988 8938,1
Lívia Cardoso,36790491888875,+55 (021) 0913-5349,1
Ryan Pereira,180083552433672,+55 (084) 2740-1463,1
Kaique Silva,213130404579011,(081) 5749-2195,1
Srta. Raquel da Cruz,6011201075389187,+55 (031) 1429 0446,1
Lavínia da Cunha,4465608603306408,+55 (081) 9891 3288,1
Bianca Costa,4535691655162,+55 31 0835 0861,1
Dra. Carolina das Neves,4541460133746,+55 (021) 5066 4371,1
Alana Duarte,6514415745256319,(031) 2733-2702,1
Srta. Lavínia Novaes,213158023598443,+55 (071) 6757-2249,1
Murilo Gonçalves,3534371874402377,+55 71 8773-9733,1
Ana Azevedo,213145427257973,+55 41 5910 2215,1
Dr. Isaac da Cruz,6011570316571633,(061) 3773 5271,1
Maria Clara Correia,502035450977,0800-891-9097,1
Renan Barros,2328827230443415,0900-892-9760,1
Calebe Gomes,676327569528,(031) 4019 5197,1
Srta. Lívia Correia,577166302569,+55 (071) 6302 7084,1
Dra. Ana Carolina Vieira,4143045171687,(041) 7774 2124,1
Ian Pinto,6541614264567943,+55 (084) 1854 9405,1
Breno Costa,6545257095093824,(041) 5713 7545,1
Erick Gomes,349843983096713,(071) 9766-1666,1
Yago Silva,676134557153,41 0447-8191,1
Rafael Souza,6509551441767048,71 4706-6604,1
Isabelly da Rosa,3553713719392592,(011) 9311-9390,1
Valentina Sales,349486157810921,+55 61 5186-9781,1
Igor Fogaça,4376990906974753,(051) 5234 8192,1
Francisco Pereira,3543723394615467,+55 (011) 6751 3606,1
Cauê Alves,348255403768576,0500-159-0087,1
Dr. Leandro Moraes,4308190032816205450,0500-995-5157,1
Melissa Nogueira,4622436272162,+55 (081) 4573-3620,1
Nicolas Azevedo,4674844985350204,(041) 6226-5361,1
Pedro Lucas Fernandes,5290224318502675,+55 61 6591-5652,1
