Coluna A,Coluna B,Coluna C
22043611548210111912710410112720311812144,319321277686323319324398686319325322323398325321,415321321127490398686686327127156322319319127323322319321
2251011194822773127213115121118101,322321322319324156686323686324323325325323323686,319686127156319398321369325323324321
202271017310310112717526911826927118101,319322322322323277324325321323277325277686,415321321127277686127398319325324127319324156277
portoana-julia,Android 10,Piloto automobilístico
Lívia da Rosa,2222619199902029,11 7448-6738
213271481212691941272192719428626927118101,319321323156322325398325156323322686325398398686,415321321127490398323686327127321277325686369277277319323
21310111827101127538121194271011272202692716526927118101,321398277398322321323323324686398323,490398323686327127324323686324369323398323321
dcunha,Android 4.0.3,Técnico em desporto
54269731017312754115103436101,277323277398398323324156398322686686277325156323,490398686686327127686156321686127686321686321
3719427103269127104101127203115119120101,686324398398686324323686322319324398321156277,490398321686327127398325323398127156322324156
paulo82,Android 3.2.4,Produtor de eventos
moraesana-beatriz,Android 2.1,Metalúrgico
ana-juliafreitas,Android 2.3.7,Salva-vidas
diogo54,Android 4.1.1,Diarista
5381211017312721927194286101,319321323324156686324325322323322319319323321686,321686127686277324323127325686324686
296271031151941011191273744269286269104115,686324398398319156686319324686324325322322324,398321398398369323319319369324277156322
377310112722227120352118271011272131011181202773119,319321319398321323686322321323322325323398277324,490398277686327127277398277323369686322322277
37112111912010128611512720826973118271171212691275841942728626927118101,686324398398398321319324398323156319325322156,415321321127490398324156327127321319686325127686156321322
Sr. Pedro Henrique da Mata,4962660324602803,(031) 5899 6716
vitor09,Android 4.2,Engenheiro de produção agroindustrial
Dr. Marcelo Santos,2221908756687367,(081) 5590 7517
220436101194269119127203101119120118115,156686321324324398322322686686398323322398323324,490398686686327127319323319324127321324277325
marcela40,Android 2.3.1,Engenheiro petroquímico
Enrico Rezende,3563795588056638,84 7180 0562
isisrocha,Android 4.2.2,Crítico
205734411512720610111827101119,319398686398398398277156686322325686319398,415321321127490398277686327127324323156398369321156277325
brunavieira,Android 3.2.2,Adestrador de animais
lucas-gabrielferreira,Android 1.0,Radiologista
21912026919419410112737111573305101194286269119,319398321325686686398325156325324686322156,490398321686327127323156398398127324324325319
2961011204361017312720611826927120101119,322321322322398323322319319398277323398322277319,415321321127277686127686324156398369325325277321
pedro-henrique20,Android 2.3.6,Treinador
moraesisabelly,Android 5.1,Comprador
148101118101148101115,377310411811527104127686686,20310164910112010144
caue40,Android 8.0.0,Engenheiro de produção agroindustrial
bcostela,Android 6.0,Pneumologista
20511912043626911812721927194286101,686324398398321156277325324323321156686319321,686686127324324277322127156322398324
1111202692716526927118101,377310411811527104127156331686331686,21226928610173120101104115118127104269127649269119115
limasofia,Android 4.4.1,Assistente social
ana-vitoriadias,Android 2.3.2,Gastroenterologista
101194271032697312173269119,377310411811527104127322331398,20427118269120115118127104269127649118115104121305473115
4821011181202773119104101286273691941212744,377310411811527104127321331398331686,20210111812026973104269118
205731182710311512720626911811826927118101,686324398398156325686322277686325325324398321,490398324686327127324321325319369323325277324
20411833112720573441151273711011021182726919412710410112721212144,319321324323324686319319686323686398322324319398,319686127277398277324369325323156319
225101119482277312720427101119,319156398156325277324324325321324322319324277,415321321127490398686686327127319321323319127321323686686
lais08,Android 4.1.2,Engenheiro de supply chain ou logística
2082691941153101191011275411510411827148121269119,277277323156323686686324398156325156319686323398,490398324686327127156321398322369398322277319
2131017312126919410112729612173269119,322398686686398324322277322156277323686322156323,415321321127490398324156327127323277277398127398325398321
lucaslima,Android 3.1,Síndico
beniciomoraes,Android 5.0.1,Profissional de relações internacionais
Mariana Nunes,180046120184093,+55 71 2189 3569
27119101102269194194453118101482115119,377310411811527104127322331398331686,5426928626973104269104115118
nogueiraryan,Android 2.2.2,Tecnólogo em automação industrial
Daniela Pereira,213112748284607,+55 31 3403-4636
jmoura,Android 7.0,Classificador contábil
lucas-gabriel29,Android 3.2.1,Promotor público/de justiça
lara51,Android 4.1.2,Ufólogo
Rafael Freitas,4927340957369431275,+55 (061) 7625 3656
Lucca Cavalcanti,38579824856883,+55 (041) 1860 6205
Dr. Bruno Ribeiro,4490896927645440,71 0536-1188
21326919427119119101127296115286101269119,319321319686156398156324323686322325324156156686,319686127686156398322369156686319686
1022710173103101325321,377310411811527104127277331277,3712012130611827115
20411810133112737731011272022691011201182744127213115121118101,319398277325398156323277319277156325325322,319686127325323325321127156325323156
21911564943627101127104101127213101120101,319321398322324319319319277325398156277323398322,415321321127686686127277319324325127319325324686
21310111827101127219115649436271011271041011272031157310326927305473115,156325686319322277324321321156686277319,156686127277323324322369398322156686
19412127443691481211191201012861151041013691031157310326927103101115,377310411811527104127156331398331277,2057314826973436269271181151271042691274821011202691182710127119
eduardo06,Android 2.2,Engenheiro agrimensor
martinsstephany,Android 4.2.1,Governanta
1042710111911012119427101,377310411811527104127319331277331321,21310111810310110411511812710426912719412144
374821017310410112721910173120115119,319321325319156686319686325324325323277322319277,490398323686327127398322277319369319322398323
ypires,Android 2.3,Lactarista hospitalar
204118331127203101194269102269127203101118104115119115,319321323686324686277319277686323325321398322321,490398277686327127398277277156369322325686277
21310111827101127104101119127296269286269119,319321324325325325324686686325319398156325686686,490398324686327127323324398321127398277156686
silveiravitoria,Android 4.1,Técnico em rede
212121274412720626911873101731041151275841942728626927118101,319321324325686321322319686322319686277325324321,490398324686327127322321686277369686398686322
lucas25,Android 4.2.2,Otorrinolaringologista
11510312173436101,377310411811527104127323331686331686,175118115106271191192711573101194127104269127118269194101305315269119127277312026911873101103271157310127119
hrezende,Android 4.0.4,Bancário
gabriellyda-mata,Android 6.0.1,Tradutor
nogueiragiovanna,Android 4.0.3,Construtor
qviana,Android 7.0,Jornalista
202306118102101118101127296115286101269119,319398319325398686321686323277323277156156,323686127156398322398369324324398323
220436115482101119127104101127213115120101,156323156686325398321277319324398321322,415321321127490398319686327127319325322686127323321398324
203101121473127104101127213115120101,156321398156686398686323323319319324323277686322156319277,490398324156327127321325319156127277319323686
250119101102269194194101127542710226927118115,156319324277322398156277319686156686319,415321321127321686127321319325321127156277398323
649482115118101269119,377310411811527104127322331398331686,538121274412711512112730611810227120118115127104269127106121120269102115194
vitor-hugo28,Android 4.1,Tecnólogo em rochas ornamentais
2501191011022691941944531272222726927118101,156277324686156324156324321398322325277322323323277156319,324686127321322321277127319686325325
eda-mota,Android 2.2.3,Contramestre em transporte marítimo
maria-vitoriamonteiro,Android 4.1.2,Educador
213101120436269121119127175115118120115,156324323319398325324322324325398321686325398277,321686127325321322686127156324686398
enzo65,Android 2.3.1,Astrofísico
carvalhoamanda,Android 3.2.3,Pesquisador
2123102862710112710410112754115103436101,319156321277325686321322323156323398156398321,490398321686327127324277398156369398156321277
Ana Sophia Dias,213155213358547,0300 359 1550
538115473115127371101102118272691941272131011181202773119,156323686323156321325319398686319398398277323686156323324,324156127277277321686369156398156321
saragao,Android 2.2.1,Orientador educacional
5426973101731273719448226927104101,319156324325277398277156319321319398686319322,490398321686327127323686323321127324398319686
Benjamin das Neves,4281864915754833,+55 81 1470 8821
fmelo,Android 4.2.2,Economista
da-conceicaolucas,Android 5.1.1,Engenheiro de segurança do trabalho
10310111810411511911511012119427101,377310411811527104127156331156331156,222272862692711827119120101
1191202696494361017345311910173120115119,377310411811527104127686398,371269352194115148115
204101732726919410112721910173120115119,156398398325321277324398686321325686325325277321319319323,490398156686327127156325324323369323322324686
laismonteiro,Android 4.4.3,Profissional de relações públicas
jcastro,Android 4.3,Físico
2222712011511812720812114811512717526911826927118101,322398686686277156398322686319277686323323398324,415321321127686686127156325398398369323321686322
371211481211191201151275841942728626927118101,319398156319319321321323398325277319319277,319686127322686277324369321325321686
pnogueira,Android 2.2.2,Cartógrafo
377310112737194286269119,277323277398322324323321277325322398323319277322,415321321127324156127156277324322127324156277398
5445310173127104101127213101120101,156324398321156319325156277323322319322322156319322324398,319686127323277322277127398321325325
samuelfernandes,Android 4.2.2,Tenista
21212110173101127203101118104115119115,277277321323325323324321325324323323324156686322,490398323686327127277277156156369325323323322
20411833112737731206407327115127104101119127296269286269119,156319321277322156277323156319156398322,277686127324322325324369277156319156
2191181201013311271291014822719419445312717526927165115120115,319324156319277325324277686323398323398323,415321321127490398319686327127156325686323127324322325277
2132719426973101127213115118101269119,319321325324686322323323321323686321324323325156,415321321127490398686686327127324156277277127686398324323
1061011182710111910119427103269,377310411811527104127319331277331322,37112110111810410112711512112764911519427103271011941271181151041152862730611827115
204101286271272121212744127104101127213101120101,686324398398323686325323323319325324398398398,156686127322277398321369398277319398
25011910110110312721227482101,319321323686322322686324319321398319321321156322,321686127323319277321127398324322156
Bernardo da Cunha,639029900375,0800 298 2404
Theo Oliveira,4462099494480392187,+55 (061) 4975 5157
Ana Clara Castro,30340785735758,+55 21 1943-0149
Dr. Pedro Moraes,376479006366357,81 8942-7265
119101118101436319319,377310411811527104127156331398331156,20573148269734362692711811512712031416512027194
gustavo-henrique83,Android 7.1.2,Contador
26910144269286269104115,377310411811527104127323331686331686,3711811712127120269120115
213101453119101127371115482269119,319321398323323398686398321398323322321322323686,490398277686327127323325322686127156323324321
123194115649269119,377310411811527104127686686,22010164926910326927118115
Benjamin Carvalho,6516732426193720,0300 003 8595
Dr. Marcos Vinicius da Conceição,502038583691,0900 069 5281
3711011021182726919412720626911811826927118101,686324398398277686277325686277323156319324323,415321321127323686127156277321277369156322321324
saraujo,Android 6.0,Guincheiro
Bruno Rocha,180075867781910,+55 31 9670 2508
2501191011041151181011273744269286269104115,156325156686156319686321323324324324398,398324398398127321325156127323325325686
Rodrigo Mendes,675981083115,+55 (041) 0292 5340
202271017310310112710410112717510144,156321319322321321277325322398323686322321156686,324156127325277322398127319156277277
André Cardoso,3508368229756897,0900 720 1978
106194115649269119,377310411811527104127322331398331686,21910119428610136928627104101119
jesusaugusto,Android 1.0,Engenheiro de alimentos
joao-guilherme15,Android 6.0.1,Tapeceiro
Gabriel Novaes,3524133334815842,+55 (084) 9513 6771
482101118271013691032691032719427101323322,377310411811527104127319331277331686,20343610164926927118115
10611927194286101,377310411811527104127322331398,2192691481211181017330510112764910111812027103121194101118
2082692712011511812710410112721212144,156323398325319325324686325319325686156,415321321127490398156686327127319322325156369321323323156
pietra38,Android 5.1,Intérprete e tradutor de língua de sinais
freitasvitor-gabriel,Android 4.3.1,Educador
Sarah Nogueira,3560099316354180,(061) 6043 4573
nmartins,Android 7.1.2,Eletricista de automóveis
5426973101731273719448226927104101,319321686325323277325322398324321277324323686325,415321321127490398686686327127686325319277369325321323277
2222712011511812720812114811512721227482101,686324398398324686319322325322325325323277321,415321321127324156127156325156323369323156322322
103101286101194103101731202728627732710327121119,377310411811527104127321331398331277,205119120115106101104115118
da-rochabruno,Android 3.2.5,Chapeiro
lais57,Android 9,Xilógrafo
202118121731011273719448226927104101,319321325319324321156277319319398156398324324323,323686127319323324319127156325156325
lcaldeira,Android 6.0.1,Orientador educacional
rochaarthur,Android 3.2.6,Cambista
Joana Caldeira,30231839949661,11 2119-7841
220436269115127212115649269119,319321319156323156321325322322319319156322277156,415321321127490398156686327127156324277323127323277398324
206269118731017310410112710410112754115103436101,156322323324156324686156324324321321398322156322,415321321127490398277686327127322325321325127325324319277
213101118271011272961011191032748226973120115,156323325156686319325319321321686686325398686398156156686,415321321127490398322686327127323277321325127319277325319
2132711826919419410112710410112717510144,156321398324322277325324323322398319322,490398324686327127322321156277127398686156321
204118101331127371942691652710112720311511811826927101,319323156322686398319277686277319322323322322,321686127156686398686127319686323277
371121271944362691184822691271752773120115,277686319686325156686325322277319323319323324,415321321127490398156686327127319322398323369319277686319
arthur33,Android 9,Tatuador
21226928627127213115118101269119,156319398156156324686321324325321325319686324277,490398321686327127686686325321127319398324323
118101121194325323,377310411811527104127277331319331319,3711811712127120269120115
Carolina Costa,6504685426784308,0300-835-1012
11910173120115119119101118101436,377310411811527104127277331277331319,3712691182697312026912710426912728626973104101119
48210111827101369101194271032692862710173101,377310411811527104127277331398,202101271941011182773101
213101118271017310112754115103436101,319323277322156686322277325156324321156323322,415321321127490398277686327127277686319156127319325398156
Vitor Hugo Teixeira,4168428246129,0500 618 8766
Mariana das Neves,4697338093892564,(081) 4088-1347
120436115482101119319325,377310411811527104127277331319331156,371191032697311911511827119120101
1941212744369115120101286271154821011181202773119,377310411811527104127325,371181181017311010110411511812748212111927103101194
aliciacardoso,Android 6.0,Corregedor de justiça
joaofogaca,Android 4.4.3,Físico nuclear
ocarvalho,Android 3.2,Engenheiro de ergonomia
monteirokamilly,Android 1.0,Agente de combate à endemias
1061031012861011941031017312027,377310411811527104127277331319331319,1751181151062711911927115731011941271042691274821011181112691202773148
asales,Android 2.2.1,Preparador de máquinas
482101271202691182694426973104269,377310411811527104127319331277,175118115106269119119115118
peixotofernando,Android 6.0,Cozinheira
da-rosaleandro,Android 8.0.0,Guia turistico
1031217343610119410127119,377310411811527104127156331398331686,2504821217311519411514827119120101
avieira,Android 2.3.7,Tecnólogo em geoprocessamento
Kevin Barros,4457386025236756,+55 31 0754-6671
2501191011022691941944531272961011191032748226973120115,156398321321325686321277322398156686323277156321325322398,490398319686327127323686277324369325277323324
Laís Azevedo,6011268363312015,(011) 4671-2867
117106115148101103101,377310411811527104127156331277,20210111812026973104269118
1107311514812126927118101,377310411811527104127156331398331319,3711912011811573101121120101
538121194271017310112737118101173110115,156325324323322324277277323319686323323325156398277156322,415321321127156686127398325325323369321321277156
bsantos,Android 2.3.2,Skatista
pedro-henrique46,Android 2.2,Cameraman
21911812010133112729610112030619427101127213115121118101,319321277322321398324324277324319321323323322321,415321321127490398319686327127323319323156127686321325321
da-costalevi,Android 10,Engenheiro de ergonomia
Ana Luiza Duarte,4386762474777728688,81 6937 3906
2041012862712721212110310111912717527118269119,321398319324398324277324325325325324,415321321127324686127322277156321127321686323686
269482101731212691941941017312173269119,377310411811527104127277331319331156,541011042710119427119120101127649118115148118101482101104115118
Luiz Fernando da Rosa,2327092036640075,0800 797 2586
213101118271011272191156494362710112737111573305101194286269119,319321324325398156325277398321325277324324156325,490398319686327127277277398156369322686686156
203101482271941011273719448226927104101,156324324156686325277324324319322319156325319319323321324,156686127277321319686369325277398156
2222710326973120269127104101127213115120101,277277156686325322324319322325323325398156323321,415321321127319686127323323156322369156277277324
73115286101269119482101453119101,377310411811527104127277331319331322,5426914826973120269
2122692862712737118101148473115,277277277321324319277156319325323398398398321322,415321321127322686127324319319325127156319322398
212121103101119127371101102118272691941272131011181202773119,319321686319325277319319325323322322398323321686,323686127686277398324127325324277319
165118101482115119,377310411811527104127277331398,2032711812111814827473115127102121103101194
20319410111827103269127203115119120269194101,156398323324156319319323319323398319277319686398,490398322686327127686398322321127686322324321
2131011182710173269127202101118102115119101,319321324398277324321322321398321322277398323322,415321321127490398686686327127686324323156369686322398686
rafaelamoraes,Android 4.3,Radiooperador de vôo
2697344115277325,377310411811527104127321331398,20310164927120473115
21310111810326919411512737118101173110115,322398686686686686686686319324324325398156156322,490398277686327127277156323321369324319686398
12111910173120115119,377310411811527104127321331398331277,17511826911927104269731202691271041011275426964917310219427103101
Sr. Davi Dias,376646347501237,61 2941-9806
165103101119120118115,377310411811527104127319331277331277,20310148226911810148210173
269482101731212691941041013691031157310326927103101115,377310411811527104127156331277331686,2023522710136910611827101
da-rochapietro,Android 4.0.2,Ambulante
2204362691151272222710173101,319321686319323277325323321321323277277323686321,324686127324325686319369321156324322
iansales,Android 4.2,Patinador
Raquel Aragão,503888014670,+55 (084) 0652-4239
1292692862773127104101127213115120101,322323322319322686319686324321686325,415321321127277686127319321325321127324324156324
ferreirapedro-lucas,Android 2.2,Estatístico
649269118269271181011017310136911012119427101,377310411811527104127319331277331322,21317311927103115
2191011181014361272031012861011941031017312027,322321398319325323319686323319398686686156319321,324686127686322398322127325398322277
19412110173101319398,377310411811527104127319331398,37148269731202691271042691271042691062691191011271191017327120306118271011271017327482101194
raul85,Android 1.0,Profissional de hotelaria
joao-vitordas-neves,Android 4.4,Pintor
Laura Peixoto,348365875999722,+55 (084) 7147 4282
breno60,Android 7.1.2,Judoca
2131011182710112710410112717510144,156321156398319398322325277322321322324324322322,277686127319325398686127321686324319
Igor Rezende,2243057621531659,11 0546 6754
Dra. Joana Novaes,3516420387616072,0800-665-7620
204101732726919410112710410112717510144,321322323325398321324277325398321321,415321321127324686127322398321325127321398321277
Erick Lima,180050409391957,61 0930 9003
37112127194436269118482269127203115119120269194101,277277324277319324277324319322319398321398323321,415321321127490398324156327127325277319325127322156325156
175101121194115127203101118104115119115,686324398398321321398321321686156277324323323,490398322686327127319156324325127277323322325
48211511810126911910211812173115,377310411811527104127156331277331277,2021151202710330611827115
souzacaio,Android 7.1.1,Coach
Stella Jesus,3540959868575729,41 3629-4650
olivia16,Android 1.0,Encanador
7311528610126911911011510173101,377310411811527104127156331398331686,2201151652710311519411514827119120101
Dr. Kaique Silva,4948551420242462,(084) 1344-9116
gcavalcanti,Android 4.0.4,Ortopedista
2711910110226919419410110410111936973269286269119,377310411811527104127156331156331319,21210110211511810112011511827119120101
28627732710327121119321323,377310411811527104127156331277,2201011652710426911848227119120101657205482102101194119101482101104115118
118115104118271481212691194821011182710173269,377310411811527104127156331277,37731482711519411514827119120101
fvieira,Android 2.2.2,Programador
Kevin Rocha,3514588084048773,+55 (071) 9756-4498
Guilherme Pinto,30307300420877,71 4222-4018
2711927119325319,377310411811527104127323331686331277,2133081042710311512719426914827119120101
vieirarebeca,Android 5.0,Preparador de máquinas
Luna Pinto,373679745714618,(061) 2962 2882
Srta. Valentina Peixoto,561813699916,(084) 8577 2605
Maria Alice Moreira,213124382994334,(084) 6926 9156
2031011181151942773269127213269194115,156398398686156277324324319324321321321324156325398277322,415321321127490398156686327127322324686321369321686321323
Thiago Azevedo,4342783662751817,(081) 0701 9424
Dra. Lara da Paz,3556369230896855,+55 (031) 7239 3595
luiz-gustavo72,Android 5.0.2,Caixa
14810110211827269194101194115649269119,377310411811527104127319331277331277,5381151187310119426927118115
Sofia Santos,30588582731475,+55 (084) 1168 0301
54101106101269194101127542694426973104269,319398277398321324398322322325323325325398,490398686686327127321686398319127321325324322
10626911873101731041152862710173101,377310411811527104127156331398,58448210212110411948210173
1942692862710611826927120101119,377310411811527104127156331156331686,202101102306
joao-miguelcastro,Android 4.2.1,Radialista programador
caua25,Android 4.0,Intérprete e tradutor de língua de sinais
73649115118120115,377310411811527104127156331156331319,37119119271191202697312026912711911510327101194
Juliana Carvalho,3584664099185432,0900 587 2275
20548210173121269194194453127203101118286101194436115,319323325322156277398324398322321686319323323,490398324686327127324319277398127324325398323
Manuela Mendes,36409468868790,+55 84 2602 0666
2191181201013311272082691942697310112737118101148473115,156686321325277323325325277324686686321686322277,398321398398369398156156369325319319277
37110110211827269194101127104101127213115120101,322321277324325325323277324686277324686319325686,415321321127490398322686327127321686686156369321156323324
123103101118104115119115,377310411811527104127686686,20310164910112010144
219118101331127538121194271017310112737118101173110115,322398686686325323321323156323398156398322321156,490398324686327127398321686277369325686277324
Yago Duarte,180061204035285,+55 (061) 8186-8518
alexandrepinto,Android 2.0.1,Clarinetista
carvalhojoao-pedro,Android 4.1.2,Auxiliar de reprografia
115194272862692711810114812127194436269118482269,377310411811527104127324331686331398,2202691037335219411514811512726948212764911811510412130547311512748211528626919426927118101
Pedro Lucas Barros,3530819039561135,+55 (081) 0062-6789
203101120101118277310112737118101173110115,277277325686324398324319323319322323277325319398,415321321127490398324686327127277156156325127156398321325
22043610119426911912737194286269119,277277277321322156323319398686323321323323398323,490398322686327127322319319323127398398324323
kaiquecardoso,Android 3.2,Senador
20548227194194453127219101194269119,156398324322322319277319277324319398686322319156,415321321127321686127321156323277127321322324325
2041183311272041012862712721212110310111912721911512144101,156277323277325323156156325319325324322322156398686323321,490398323686327127319325322325369277277321398
53811547311512721327148121269194127203101482649115119,686324398398319319319324322156398324322324325,490398321686327127156321321324127324324319325
augustoalmeida,Android 3.2.2,Homeopata
1112692862773482269194115,377310411811527104127277331319331323,20573148269734362692711811512726919430812011827103115
28627732710327121119322324,377310411811527104127156331398331686,2232773104119121118106269118
165104101369482101120101,377310411811527104127277331319331321,20511964926910327101194271191201011272694821271011481181157326914835210327115119
fernanda75,Android 4.1.1,Consultor
538173194271011271041011272031157310326927305473115,319321156156324686277277319321325321156686325398,415321321127324686127319325321277127322398319324
João Felipe Ribeiro,345537706177636,+55 (061) 6226 1417
10111810114810111511011510111536914810110211827269194,377310411811527104127156331398331686,2203081037327103115127269482127436101118104123101118269
119101102118277310110410136910311812144,377310411811527104127277331319331322,2057314826973436269271181151271032728627194
Luigi Souza,4310491673940288730,+55 (021) 1552-6490
371481011204361011275841942728626927118101,156322322319686323321319324321324156686686398686,415321321127321686127277323324277127321325319398
73194115649269119,377310411811527104127156331156331319,21310111911910114827119120101
2057344115127104101119127296269286269119,156686322156277325324321324323398156321323319323,490398156686327127319321325156127277319323323
20410128627127212121103103101127203101118104115119115,277277319321398323321322323686324324321319325321,490398324686327127319322324321369323319322398
juan34,Android 4.3,Cinegrafista
3773101127222271203521182710112720610111827101119,319156319324322686686325398324321277277322398,324156127156324324398369325277324322
43610119448226927104101,377310411811527104127277331319331686,220308103732710311512726948212710411510312148226973120101305473115
7310312173436101,377310411811527104127156331277331686,203115118269352148118101106115
theocunha,Android 5.0,Profissional de recursos humanos
pietro27,Android 2.2.2,Engenheiro de minas
Cecília Campos,3564850516558459,0500 899 7305
286271201151183691481011021182726919448226973104269119,377310411811527104127156331686331277,220115649352148118101106115
1191156494362710110410136910312173436101,377310411811527104127277331686,5841201151181182773115194101118277314811519411514827119120101
269104121101118104101323277,377310411811527104127686331686,17511811510627119119271157310119412710426912730612110427115
2191011021182773101127104101127203115119120101,321324277319319686277686324686321319,321686127319319156319127156323324322
luiz-miguelnovaes,Android 4.2.1,Saxofonista
203101121314127212115649269119,321324322324686324398323323321324322,415321321127490398323686327127686323319277369156325324324
Renan Correia,501855184492,+55 (051) 2782 5596
Gabriela Souza,374899967601363,+55 (011) 2907 5920
213101118103115119127222277327103271211191273744269286269104115,156398325156324321686319324319322323322324156319,490398324156327127323686323321127324686324319
1022710173103101102101118102115119101,377310411811527104127156331686331277,213271942712010111812710411512720516530811810327120115
Dr. Juan Lima,4073201612749109,+55 31 1958-0853
Maysa Rocha,379813893361120,0900 143 6247
fariasyuri,Android 4.0.1,Ventríloquo
alicenogueira,Android 2.0.1,Filósofo
213101118271011272131157312026927118115,156323398277322686325322277277324322398,415321321127490398324686327127324321325324127323277322686
Júlia da Cunha,4911252552779958,+55 81 2712-1152
Larissa da Costa,343745359576416,21 7025 1087
377312043611573453127104101127203115119120101,156319398686325156324322324323156321277,490398322686327127319319321324127324398324686
heloisanovaes,Android 7.1.2,Assistente social
Vinicius Porto,571841546195,+55 31 5731 0061
212121274412737112111912010128611512737194286269119,156321323323686322325319156686321319321686322321156323156,398324398398127277156277127156686324277
Leandro Ramos,4164574148326,21 3759 2384
vramos,Android 1.5,Artista de circo
4362691942697310110310119410426927118101,377310411811527104127322331398,2057314826973436269271181151271012691181157330612112027103115
sofia56,Android 2.0,Apicultor
21210111827119119101127104101119127296269286269119,686324398398319686323319686398322324321319325,277686127277321319156127324322686321
gabrielly30,Android 3.0,Técnico de gesso
1062691187310173104115686686,377310411811527104127321331398331277,250732862691191202714810110411511812710426912717511519431010327101
48211512111810110410128627,377310411811527104127686398,21212112043627269118
Otávio Nunes,38910195084245,+55 (031) 2745 9899
2131011182710112753812119427101127104101127213101120101,156277319321277323322321325322323398322325321323,415321321127324686127398325321321369324324398322
10664926927165115120115,377310411811527104127322331398,3710448227732711912011810110411511812764917310219427103115
104272691481154821157312026927118115,377310411811527104127324331686331398,2042711826912011511812710426912710611512011514811810110627101
Maysa Silva,3529543481962673,84 5904 5712
1017312043611573453686321,377310411811527104127319331277331156,37126911912011511812710426912711826910312111811911511912743612148210173115119
Luiz Otávio Almeida,5544849977233289,(071) 1398 6103
Cauê da Costa,6011622331831896,21 4658 1743
maria-julia72,Android 2.3.4,Engenheiro sanitarista
cardosobryan,Android 4.4.4,Regente
alexiacunha,Android 2.3,Cenotécnico
21327118269194194101127104101127203115119120101,277277321322686323686686322321686321156323319325,415321321127324686127322398322325369323325325686
2121212744127584120306286271151273719448226927104101,319321319686325156277321322325156686321398319277,398319398398127319323156127322156324277
53811510173101127371115482269119,319321322277277322323325319321321319686319325686,415321321127319686127322277156319127322322321325
