Coluna A,Coluna B,Coluna C,Classe
Noah da Mota,4563482462785685,0300 560 4315,1
fernandeskamilly,Android 5.0.2,Gerente de vendas,0
Lorena da Conceição,340825614970035,+55 (021) 3048-6577,1
kviana,Android 6.0,Copeiro,0
cardosoluigi,Android 8.0.0,Portuário,0
Dr. Diego da Luz,4329004134672123579,51 8721 7163,1
Leonardo Melo,4691437049575590,+55 (081) 3919 0361,1
alana81,Android 3.1,Engenheiro sanitarista,0
novaesanthony,Android 4.4.1,Serralheiro,0
isadoradas-neves,Android 4.3,Acupunturista,0
lcardoso,Android 5.0,Engenheiro mecatrônico,0
lucas-gabriel02,Android 3.2.5,Economista,0
marcos-viniciusmendes,Android 3.2.3,Engenheiro físico,0
Isaac Martins,3568411025081966,+55 84 1208-8220,1
Giovanna Azevedo,213161574097179,(021) 8420-7584,1
Pedro Novaes,3590118826492951,+55 (081) 3452-8355,1
maria-sophia67,Android 3.0,Babá,0
nogueiraluiz-otavio,Android 7.1.2,Astrônomo,0
odas-neves,Android 5.0.2,Cambista,0
hfreitas,Android 4.4.4,Técnico tributarista,0
Leandro Nunes,6500363374896136,+55 31 4527 6709,1
mariada-cruz,Android 6.0,Perfumista,0
andredas-neves,Android 5.1,Lavador de veículos,0
helena12,Android 4.2.2,Intérprete e tradutor de língua de sinais,0
goncalvesalicia,Android 4.0,Artesão,0
Vitor Hugo Pinto,6562896602805333,71 9214 8161,1
moraeslucas-gabriel,Android 3.2.4,Rebarbador de metal,0
daniel04,Android 5.0,Obstetra,0
cardosojoao-gabriel,Android 2.1,Reumatologista,0
silvahelena,Android 3.2.2,Recepcionista,0
maria-luiza44,Android 4.4.3,Engenheiro florestal,0
correiabenjamin,Android 4.0.4,Marketeiro,0
Noah Santos,4505279446845838,51 7388 5584,1
davifernandes,Android 2.2.2,Comprador,0
Nina Pereira,4225898099345855759,21 6710-9296,1
Heloísa Gonçalves,4826509352396052453,+55 (061) 7870-2934,1
elisa29,Android 4.1.2,Lanterneiro,0
marcelocavalcanti,Android 4.0.2,Ortoptista,0
luizamoreira,Android 6.0.1,Dublador,0
cardosoluiz-henrique,Android 4.4.1,Infectologista,0
Srta. Evelyn Ferreira,4887064823426,81 3607-2982,1
maite25,Android 10,Dogueiro,0
Alexia Ramos,3565267514877949,+55 71 3465-9174,1
ana-luiza11,Android 1.6,Tecnólogo em papel e celulose,0
nascimentoevelyn,Android 11,Tabelião,0
leandrorocha,Android 4.0.1,Agrimensor,0
andre21,Android 4.0,Jangadeiro,0
Danilo Araújo,3585089752007674,0500-968-3399,1
Leonardo Farias,4284484557695,(021) 5558-3932,1
nsilveira,Android 3.2.6,Auxiliar de reprografia,0
Breno Novaes,348022360431386,+55 11 9982 4064,1
jsilva,Android 2.2.2,Assistente social,0
Renan Campos,3531047382097965,21 5813-2537,1
Marcos Vinicius Costela,2262084595834998,+55 71 3932-0761,1
noah63,Android 4.4.3,Torneiro mecânico,0
davi-luccada-mata,Android 4.1,Assistente de câmera,0
Bernardo Rodrigues,4975026038090724,+55 (011) 8033-0918,1
luiz-fernandoazevedo,Android 2.0.1,Piloto de avião,0
kferreira,Android 2.0.1,Assistente administrativo,0
antonio59,Android 4.4,Redator,0
sdias,Android 5.0.2,Fundidor de placa de gesso,0
oliveiramilena,Android 3.2.6,Patinador,0
Enzo Gabriel Farias,346478845344382,+55 (061) 6418 7424,1
Juliana Nascimento,4564456504588009,+55 84 7341 2352,1
manuelamoreira,Android 4.4,Prensista,0
eduardasilva,Android 4.2.1,Astrólogo,0
Dra. Rebeca da Luz,30554949651202,61 4466 6901,1
Marina Ribeiro,5579839513971128,84 3350 5341,1
luiz-felipecunha,Android 8.1.0,Encanador,0
meloana,Android 4.3,Aeroviário,0
Lucas Nunes,4702936524427,11 4661-9481,1
epereira,Android 3.2.6,Marinheiro,0
da-costaluiz-felipe,Android 6.0,Psiquiatra,0
Sr. Pedro Miguel Fogaça,30368437409837,(081) 2184 8912,1
raquelmoreira,Android 1.1,Editor,0
sda-rocha,Android 11,Mensageiro,0
Júlia Fogaça,6011126716210783,+55 84 4702-1467,1
Eloah Oliveira,213198824488428,+55 (041) 1428-4119,1
cda-luz,Android 2.2.1,Analista de sistemas,0
Mariane Novaes,30410962671710,0900-316-9063,1
Luna da Mata,4026160958089249,(084) 0203 1288,1
Marina da Paz,348340497528944,41 3492 2677,1
Isabelly Barros,6525958153990710,+55 (081) 4271-3718,1
Ana Laura Farias,4424561334494235,31 1214-7910,1
Bryan Campos,4612739571410,+55 61 5431 1352,1
joana48,Android 3.2,Instalador de painéis,0
Marcos Vinicius Rezende,4865918311224751,+55 11 0167 8936,1
osilva,Android 5.1.1,Jogador de bocha,0
sarahribeiro,Android 4.4.4,Engenheiro acústico,0
Sra. Mariane Moreira,30310230543065,+55 41 9844 0418,1
juliana90,Android 4.1,Faxineiro,0
Marcelo Oliveira,4426194611029,0500 957 1749,1
raquelpires,Android 3.2,Patologista oral,0
da-costanatalia,Android 4.3,Soldado,0
nascimentoalexia,Android 2.3.2,Dublador,0
Pedro Miguel Barbosa,346166049759675,+55 (011) 6397-9478,1
fernandespedro-henrique,Android 4.0.4,Maestro,0
Isabelly Martins,3543838785401796,(021) 7432 1174,1
rochasamuel,Android 7.0,Museólogo,0
Ana Laura Ribeiro,213137205544896,+55 (061) 7919-3012,1
Fernanda Rocha,4777224127610652141,84 9399 8472,1
leticiada-mata,Android 8.0.0,Vigilante noturno/diurno,0
Daniel Ferreira,4264561771185091,+55 (081) 7191-8147,1
Júlia Castro,4161307423537725,+55 (021) 4034-8398,1
heitorcampos,Android 4.0.1,Dublador,0
Bernardo Azevedo,2298911333440589,+55 (011) 9139 1827,1
Sra. Rebeca Jesus,3548849147182102,0800 250 8202,1
giovanna30,Android 3.2.4,Ilustrador,0
costelakamilly,Android 1.0,Ginasta rítmica,0
ucorreia,Android 2.3.4,Jogador de badminton,0
Eduardo Cardoso,4488021230115452,+55 (051) 5004 0372,1
Dr. João Guilherme Viana,3577838696105154,(021) 5140-2099,1
Maitê Teixeira,501894869343,21 7544-7957,1
nicolas66,Android 1.6,Cardiologista,0
maria03,Android 4.0.1,Quiropraxista,0
Eloah Martins,180093068918744,84 3117 7035,1
novaesalexia,Android 3.2.5,Transportador,0
tlopes,Android 1.1,Perito criminal,0
icardoso,Android 4.1.2,Ferroviário,0
Sr. Vitor Hugo da Paz,3588181769300833,81 0176 6948,1
portobenjamin,Android 3.2.4,Nadador,0
Sarah Cavalcanti,3573235765092435,(051) 1455-3188,1
Sr. Pedro Pinto,4485892625794959,+55 51 7220 6500,1
Júlia Fernandes,3528664432451276,+55 71 1893-7391,1
Pietra Campos,30395523455309,+55 11 9219 0391,1
ppeixoto,Android 3.2.4,Microfonista,0
martinsluiz-henrique,Android 2.0,Cirurgião bucal,0
Amanda da Luz,4310704173714,(011) 7186-0437,1
ymartins,Android 5.1,Engraxate,0
Enzo Monteiro,3559849352780299,+55 81 2515-8319,1
João Gabriel Mendes,4859385396473919,+55 71 4501 1408,1
anthonylima,Android 2.3.1,Moldador,0
maria-eduarda43,Android 10,Produtor musical,0
Raquel Pinto,3564650216405930,+55 (081) 1466 4104,1
ferreirafelipe,Android 4.2,Enólogo,0
cunhasophia,Android 9,Operador de telemarketing,0
antoniomoura,Android 2.3.3,Farmacêutico,0
Lorena da Cunha,4827732537962673,(041) 9524 4803,1
enzo-gabriel03,Android 7.0,Percursionista,0
Dr. Luiz Felipe Barbosa,639075428651,31 7515 5187,1
da-costagustavo-henrique,Android 2.3.4,Intérprete e tradutor de língua de sinais,0
Mariana Lopes,3506241173879266,+55 (051) 3317 7300,1
alvesmatheus,Android 8.0.0,Figurinista,0
davi91,Android 2.3.3,Feirante,0
cecilia65,Android 3.2.4,Bailarina,0
Mariana Ferreira,4838756722921,11 5609 4315,1
mirella69,Android 4.4.3,Tecnólogo em silvicultura,0
Cecília Pires,3502777438458531,+55 61 0225-0631,1
Antônio Souza,180091829474825,81 4090 2726,1
pietra57,Android 8.0.0,Servente-de-obras,0
msouza,Android 7.1.2,Cientista da informação e documentação,0
Ana Carolina Novaes,180089061017286,(031) 1174-2010,1
lara61,Android 2.3.1,Fonoaudiólogo,0
sophiesilva,Android 7.0,Profissional de informática,0
limaalexandre,Android 4.2.1,Numerólogo,0
Sra. Maria Cecília Moreira,2232642342611733,41 3575 8517,1
Joana Mendes,6536739909398664,+55 84 9397 8080,1
João Felipe Teixeira,4644033687593918,(011) 2411-5380,1
Ana Clara Gonçalves,30122209949110,21 1445 8775,1
leonardo53,Android 2.3.3,Diagramador,0
fariasleonardo,Android 2.3.2,Profissional de logística,0
Dra. Luana Lopes,3551687645141467,(011) 1591 0589,1
vinicius82,Android 2.3.5,Psicólogo,0
Bruno Melo,2720785275669142,41 5841 3255,1
Ana Clara Costela,4454917073743918603,(031) 2950-9049,1
Dr. Isaac Mendes,3586692451432108,81 5187-8464,1
estherlopes,Android 2.1,Argumentista,0
thomasda-costa,Android 5.0.2,Subprefeito,0
Sr. João Felipe Ribeiro,676183937520,61 2519-2245,1
npinto,Android 3.2.2,Jogador de hóquei,0
Vitor Hugo Cardoso,4684857410820,11 0211-0149,1
João Gabriel Moreira,213126732327313,+55 41 9977 2248,1
Sr. Enzo da Mata,3563752540461737,84 8925 5924,1
Rafael Dias,3512087301505519,(041) 8132-9861,1
andreporto,Android 2.3.2,Técnico em higiene dentária,0
Henrique Gonçalves,180018610364907,+55 31 5429 8231,1
costajoao-gabriel,Android 7.1.2,Agente de defesa sanitária animal,0
Felipe Rocha,6521790580401803,11 8415-5781,1
wda-rocha,Android 5.1,Tenista,0
ilopes,Android 8.0.0,Vereador,0
joao-lucas52,Android 3.2.5,Ortesista,0
Heitor Ribeiro,4836864437188973,+55 (041) 8587 0990,1
Maria Clara Cardoso,4285891826004806,11 2749 8709,1
ipereira,Android 4.2.2,Cientista,0
mourahenrique,Android 4.1.2,Médico geneticista,0
Sra. Maria Eduarda Cavalcanti,3590167551590463,+55 71 7791-5968,1
theocosta,Android 2.3.4,Pastilheiro,0
Lorena Santos,340461554082571,11 3639-7542,1
Rafaela Barros,180092585267494,81 3697-9452,1
calebecostela,Android 4.2.1,Endodontista,0
Vinicius Correia,4585212558520696276,71 1718-9058,1
oliviacardoso,Android 5.0.2,Perito criminal,0
castroheloisa,Android 4.0.4,Gerente de inovações ou novos negócios,0
plopes,Android 2.2,Artesão,0
Joana Nunes,3574020843152032,84 2983 2703,1
Lara Monteiro,3517820538712267,31 6901-7192,1
Sra. Isabel Rezende,180007732784977,(031) 4597 7377,1
Srta. Fernanda Nascimento,4269232887833025,61 0205 0307,1
moraesluiz-henrique,Android 2.1,Produtor de audio visual,0
Gabriel Gomes,4000170205669677,(071) 1140-9805,1
Miguel da Rocha,30570503271120,0900 960 9370,1
ninapinto,Android 7.1.1,Musicoterapeuta,0
Evelyn Barbosa,30462143959308,61 7853-0778,1
maria-luiza26,Android 2.1,Telegrafista,0
Davi Lucas Gomes,3589705321773696,+55 (031) 9348-0774,1
oda-luz,Android 8.1.0,Perfusionista,0
Enzo Pereira,2720370140564016,41 2930 6478,1
Bruno Cardoso,348846199310217,+55 71 4060-6946,1
Eloah Oliveira,30205468560841,(084) 4842 6495,1
Dr. Felipe da Conceição,213124559896155,+55 (041) 3165-8712,1
Larissa Nogueira,4331143861776,+55 51 7084 1062,1
lorenzo99,Android 5.0,Prefeito,0
Maria Clara Gonçalves,180097016167379,(084) 6480-0713,1
Levi Cardoso,676210761919,+55 81 2890-1013,1
rafaelvieira,Android 4.4.2,Lapidário,0
emanuellarocha,Android 4.0,Amolador de ferramentas,0
Carlos Eduardo da Rosa,639018420666,31 4654-9910,1
marianada-mota,Android 2.2.3,Marcador de luz,0
martinsjoao-felipe,Android 3.2.2,Pescador,0
Maitê Nascimento,30471870622294,+55 (081) 3223 0949,1
Beatriz Barbosa,6011637071481777,+55 (084) 1525 7241,1
Sra. Fernanda Duarte,2283551246681353,0300-238-3557,1
Erick Freitas,2718680587326305,31 0800-8840,1
Levi Cardoso,3576614674972944,(021) 7841 4225,1
Sofia Moreira,30563772656410,+55 31 4430-7275,1
Maria Alice da Conceição,676327827777,+55 31 4753-9738,1
Diogo da Cruz,502054379396,11 1636 7508,1
Maria Luiza Santos,4689704633270688,+55 81 2210-3574,1
qpeixoto,Android 3.1,Fisiculturista,0
Miguel Fernandes,6585833702497706,(061) 2821-6334,1
pduarte,Android 4.4.1,Teólogo,0
emanuellasales,Android 3.2.4,Digitador,0
uda-conceicao,Android 8.0.0,Engenheiro de produção agroindustrial,0
Sra. Bianca Barbosa,6501664242584542,+55 (051) 5580-5288,1
sofia65,Android 3.2.6,Engenheiro físico,0
sabrinanascimento,Android 2.3.7,Guitarrista,0
Maria Fernandes,180009172916598,+55 (071) 0617 1951,1
Daniela Monteiro,502097593359,+55 61 2369 3786,1
ana-livia29,Android 4.0.3,Acompanhante,0
wcardoso,Android 4.4,Produtor de audio visual,0
kamilly54,Android 1.0,Empacotador,0
rebecajesus,Android 2.0,Farmacêutico,0
maysacastro,Android 4.0.1,Almirante,0
jrocha,Android 4.3,Alergologista,0
omendes,Android 1.6,Armeiro,0
ana-luiza95,Android 5.1.1,Profissional de comércio exterior,0
Marcos Vinicius Peixoto,3586821437079176,+55 71 8757 6256,1
Laís Jesus,676266692281,0500 997 3920,1
da-cunhamaria-eduarda,Android 11,Produtor musical,0
yuri58,Android 9,Berçarista,0
Giovanna Nunes,6599063461529408,+55 (021) 8622-5810,1
Dra. Evelyn Porto,2541415138571346,+55 (061) 4135 2780,1
emanuella80,Android 4.1.1,Apresentador,0
ana-vitoria66,Android 3.2.5,Geofísico,0
Igor da Rocha,6011330976880588,+55 41 7760-6241,1
santosdavi-lucas,Android 3.2,Escriturário,0
rlima,Android 2.3.1,Operador de bombas,0
Sr. Leonardo Rodrigues,3503935008646484,51 2400 0919,1
moraesjoana,Android 2.3.4,Apontador de mão-de-obra,0
zmoura,Android 7.1,Procurador de justiça,0
fernandoalmeida,Android 2.3.7,DJ,0
Antônio Gonçalves,3535075612985416,11 5985 5901,1
alice51,Android 3.2.5,Engenheiro mecatrônico,0
luiza03,Android 2.3.7,Carteiro,0
barrosemilly,Android 7.1.2,Plastimodelista,0
andrealves,Android 3.2,Fotógrafo,0
oliviarezende,Android 2.3.7,Jogador de hóquei,0
Renan Moreira,3532420929799071,81 5319 3193,1
ryan57,Android 3.2.1,Governador,0
leticia89,Android 3.2.2,Educador integrado à saúde pública,0
Mariana Gomes,347283274439698,0500 676 9680,1
bryan95,Android 2.3.4,Cartógrafo,0
qda-cunha,Android 2.3.4,Zootecnista,0
maria-cecilia35,Android 3.2.6,Gandula,0
cardosodanilo,Android 4.1.2,Agente de defesa sanitária,0
teixeirasophie,Android 4.4,Peixeiro,0
fernandaaraujo,Android 8.1.0,Dedetizador,0
bviana,Android 2.3.2,Ortopedista,0
Sr. Isaac Gomes,36510625151424,0900-915-3287,1
maria-fernandamartins,Android 4.3,Médico geneticista,0
breno98,Android 2.2.2,Nutrologista,0
anthony23,Android 3.2.5,Portuário,0
Isaac Ribeiro,180062767695184,+55 61 5246-3809,1
hda-rosa,Android 3.2.3,Coordenador,0
marinacastro,Android 4.2.1,Auxiliar de serviços gerais,0
Ana Julia Mendes,2367980210772436,+55 31 0368-2253,1
alopes,Android 2.3.3,Lubrificador de máquinas,0
Yasmin Ribeiro,4282420496514630,+55 (011) 9569 4871,1
Cauê Alves,4217320971685199458,+55 51 9580 6273,1
acavalcanti,Android 2.3.2,Tecelão,0
Anthony Fernandes,4252735039960477134,+55 (011) 3729 2706,1
pietrocunha,Android 9,Motofrete,0
xsouza,Android 3.2,Quadrinista,0
Nathan Santos,4553058329175153,+55 61 6165-7860,1
Benjamin Monteiro,3559602115787949,+55 (041) 2303-5303,1
ufreitas,Android 3.2.4,Arranjador musical,0
walves,Android 2.3,Cinematográfo,0
André Moura,4837121459938,(071) 5827 4997,1
Marcelo Oliveira,3500042103458023,+55 81 0940-2421,1
manuela24,Android 8.1.0,Zelador,0
emanuellyfarias,Android 6.0.1,Agente de combate à endemias,0
ana-laura84,Android 2.3.4,Investigador particular,0
Guilherme Costa,6541958603037898,0900-465-4702,1
Sr. João Felipe Carvalho,213144977571925,+55 (011) 7487-0223,1
Amanda Melo,2370653697966897,(031) 8717 4719,1
Isadora Lopes,341094160848272,0800 341 2139,1
ninabarros,Android 4.1,Lavador,0
ryan88,Android 3.2.2,Radialista,0
urodrigues,Android 3.2.1,Letrista,0
agatha41,Android 3.0,Químico,0
ncostela,Android 3.0,Entalhador,0
Maitê Monteiro,3548692984307345,0900 704 9573,1
yago51,Android 4.2.1,Tenente,0
da-matahenrique,Android 5.1,Engenheiro mecatrônico,0
nunesisis,Android 3.2.1,Corretor de seguros,0
Luiz Otávio Souza,6011938807261321,0800 787 1641,1
Sra. Brenda Pereira,4800358099112829,+55 51 1400 7836,1
araujoevelyn,Android 1.5,Escoteiro,0
Samuel Teixeira,349381939401661,(081) 3285 9054,1
Isadora Souza,4924528327635,+55 (071) 9735-6269,1
Danilo Rodrigues,349130122056273,+55 (041) 5938-2248,1
salesyuri,Android 4.0.3,Agente de viagens,0
dnascimento,Android 7.1,Engenheiro agrícola,0
Heloísa Duarte,30364007841566,(071) 0542 3850,1
monteirocamila,Android 3.2.5,Tecnólogo em produção de bebidas,0
acaldeira,Android 2.0.1,Passador,0
Evelyn Rodrigues,4115887641903988,21 7732 6399,1
erick21,Android 6.0,Manicure,0
Nina Cardoso,4819167613301647,+55 84 9341 4992,1
martinssofia,Android 4.3.1,Engenheiro de alimentos,0
Emanuella Caldeira,2385603469639902,+55 (011) 3683-3411,1
Lorenzo Barros,6011440733207890,+55 51 6910 3013,1
Kaique Campos,180062586268395,+55 41 9593 1567,1
lduarte,Android 2.0.1,Avalista,0
bernardomoraes,Android 2.1,Odontologista legal,0
stellamoura,Android 4.2.1,Marinheiro,0
rafaelaoliveira,Android 2.3.3,Cambista,0
karagao,Android 9,Técnico em radiologia,0
luiz-henrique48,Android 1.1,Produtor de eventos,0
kaique73,Android 3.2.5,Caça-talentos/Olheiro,0
rochamelissa,Android 3.2.5,Selecionador de pessoal,0
udias,Android 3.0,Marceneiro,0
Felipe Carvalho,4806279679745230012,(021) 9088 4012,1
Gabriel Moraes,2700813288880425,(084) 7679-1971,1
Davi das Neves,4953021631844957202,+55 71 2027 6963,1
Bernardo Pinto,4532748875296182652,+55 (041) 7529 8942,1
Ana Laura Peixoto,6011235802529210,(031) 9778-4701,1
silvadiego,Android 3.2.3,Engenheiro de petróleo,0
luiz-otavio20,Android 10,Produtor de audio visual,0
Sr. Luiz Fernando Campos,4418618326281604,+55 (084) 7673 6656,1
beniciomoraes,Android 2.2.1,Técnico em radiologia,0
Vitor Gabriel Dias,4497396409191269926,0900 307 1320,1
Rodrigo Cardoso,5191842125648348,61 1185 5771,1
Arthur Silva,345400256823077,(041) 4523-5408,1
isis07,Android 3.2.2,Procurador de justiça,0
Pietra Teixeira,2610477838066130,41 8354 8502,1
Stephany da Cunha,676116820884,(041) 7124-3501,1
milena88,Android 4.4.1,Gastrônomo,0
Sr. Nicolas Lopes,3568381664603497,+55 31 1027-8307,1
daniela96,Android 10,Argumentista,0
barrosmatheus,Android 7.1.1,Baterista,0
Sr. Antônio Nogueira,213189315498836,+55 (041) 9937 0225,1
lopesbruno,Android 2.2,Fiscal,0
Diego Pires,344322487112073,(084) 2780 1970,1
mouralaura,Android 4.2.1,Gagsman,0
xda-conceicao,Android 3.2.6,Urologista,0
Sra. Maria Eduarda Peixoto,30561675509629,+55 (071) 7079-2257,1
Lucas Silva,4107426850986333188,41 8572-7952,1
Dra. Ana Julia Pinto,3534182130978120,84 0382-4231,1
maria-clararezende,Android 3.2.2,Dentista,0
Sr. Rafael Costela,180029677297468,51 5933 0521,1
da-cruzalice,Android 2.3,Assistente de produção,0
Srta. Isabella Araújo,4355693603089728,(011) 8897-7341,1
Kevin Carvalho,6011768195757626,41 4116 3912,1
da-conceicaolara,Android 2.2.1,Reumatologista,0
Marcelo Cardoso,3590241848008611,51 7042 3698,1
Maria Eduarda Fernandes,4548428423150,+55 (081) 7040 9212,1
vitoria01,Android 2.3.1,Terapeuta ocupacional,0
Murilo Rocha,5562039262457275,61 9645-5763,1
sabrinada-luz,Android 1.1,Obstetra,0
augusto19,Android 4.1.2,Pesquisador,0
Srta. Isabella Peixoto,6011865350083051,0800-320-8343,1
kamillygomes,Android 2.1,Biotecnólogo,0
Dra. Manuela Alves,36720260854865,51 0620 4173,1
yuri01,Android 2.3,Estilista,0
ecostela,Android 4.1.1,Marceneiro,0
lavinia94,Android 3.2.2,Assistente de câmera,0
joao-vitorvieira,Android 2.3,Profissional de linguística,0
ida-rocha,Android 3.1,Barman,0
enzo26,Android 1.1,Dançarino,0
pmartins,Android 3.2.5,Químico,0
Marcela Araújo,3518634466325375,11 0410-8311,1
Catarina Porto,4108780430584693073,(061) 7606 5316,1
duartecaua,Android 6.0,Parteira tradicional,0
maria-vitorianogueira,Android 2.3.2,Tecnólogo em desenvolvimento social,0
lda-rocha,Android 2.3.5,Preparador de máquinas,0
Camila Cunha,2710576195715053,(071) 4872-2621,1
kamillyda-mota,Android 5.1.1,Prefeito,0
Breno da Rocha,36727764753618,+55 (051) 4327 2048,1
ana-julia70,Android 2.3.7,Árbitro e mediador,0
Lorena Moreira,3515439714675578,+55 (051) 6419 3650,1
Rafaela Martins,4990196965895130736,+55 84 8873-7129,1
ferreirajoao-vitor,Android 7.1,Dedetizador,0
enzo-gabrielrodrigues,Android 4.2,Hostess,0
Pietro Vieira,676140404929,(041) 3964-3612,1
Lorena Costa,3511885802569343,31 4819 9849,1
wlima,Android 7.0,Meteorologista,0
taraujo,Android 5.0.2,Catador de carangueijos,0
Vicente Rocha,213143143884345,(031) 8866 1328,1
diogoda-rosa,Android 1.5,Lixeiro/Coletor de lixo,0
Dr. Luiz Fernando Gomes,371501223089937,81 0381-0734,1
sarah03,Android 2.2.3,Intérprete,0
Isabella Fernandes,30093905080130,+55 (061) 5234 5914,1
juliada-cruz,Android 2.0.1,Engenheiro de iluminação,0
hcaldeira,Android 3.2,Produtor de multimídia,0
Heloísa da Costa,373847206008131,(011) 1272-9676,1
lauralima,Android 4.3,Ambulante,0
laracaldeira,Android 2.3.4,Marketeiro,0
Marina Araújo,180013940063733,(031) 5285-3592,1
isabellada-costa,Android 8.0.0,Árbitro e mediador,0
Esther Lopes,4641883537822432001,(041) 4954-7939,1
Vitor Rodrigues,6011133392139484,(031) 8452 1161,1
Vinicius Araújo,4180664809583369,(041) 6889 0505,1
Lívia Souza,3514256632293552,+55 (041) 0473-1742,1
Esther da Mota,4326563834679991,+55 (084) 4748 6106,1
almeidamaria-vitoria,Android 2.1,Lutador de karatê,0
Emanuelly da Mota,6537148454315785,(031) 1026 9762,1
Enzo Gabriel Vieira,2718203992573229,(031) 5530-4631,1
davi-luizcarvalho,Android 4.1,Artista de circo,0
Diego Cunha,2302914393779726,+55 (071) 6250 9107,1
piresdanilo,Android 4.1,Técnico em documentação,0
Catarina Barros,4294924641524093,71 3609 9684,1
Sabrina Castro,3515899786564457,0900-165-9397,1
Lara Gomes,4211248617054749,+55 21 4233 9674,1
giovannamendes,Android 8.1.0,Funileiro,0
ana73,Android 3.1,Massagista,0
Pedro Miguel Silva,38011407329310,+55 11 0617-0651,1
Bárbara Pinto,2242349216676473,0800 863 4993,1
Kamilly Alves,36291837271199,(051) 0327-6522,1
Carolina Silveira,584959728950,11 0247 3064,1
Samuel Lopes,3571307372492035,+55 51 7249 2518,1
Nathan Sales,4787837300188543,+55 61 1861 5206,1
gomesjoao-miguel,Android 5.0,Soldador,0
Luiz Felipe Gomes,4489165711830,+55 (051) 3792-5134,1
da-matafernanda,Android 2.1,Obstetra,0
Ana Vitória Costa,372721104785523,31 4097-9941,1
Marcelo Almeida,340495416878958,0800-577-6211,1
João Miguel Pinto,180051591224147,0900-517-6020,1
pcardoso,Android 4.2.2,Controller,0
davi-lucas76,Android 4.1,Controller,0
Sra. Nicole Costela,572902137072,+55 81 4902 3329,1
Ana Carolina Monteiro,6011782868649382,(011) 0868 5415,1
Catarina Barbosa,4239416334087429,+55 31 3300-1452,1
juliana47,Android 5.1,Pesquisador,0
