Dado A,Dado B,Dado C,tipo do dado
Alana da Cruz,Android 6.0,Pneumologista,0
Evelyn da Luz,Android 4.3,Engenheiro mecatrônico,0
Emilly da Cruz,Android 2.3.5,Parteira tradicional,0
Benjamin Gonçalves,676183163176,11 8390 3914,1
Alexia Nascimento,213122175390033,0800-178-9191,1
Sra. Carolina Campos,Android 3.2.1,Ginasta rítmica,0
Lívia Peixoto,4847065248007,51 9380 4528,1
Stephany da Conceição,6011731285731927,(041) 3938-9267,1
Dr. Fernando Azevedo,4292492616111579,0800 980 3953,1
Lorena Caldeira,4263566245528,+55 (061) 8111 7379,1
Isabella da Cruz,4514746513148,(021) 6335-6114,1
Marina da Conceição,213119685820798,+55 (041) 0127-5777,1
Emanuel Alves,4066521647207949004,71 5308-2652,1
Manuela da Mata,Android 3.1,Lutador de jiu-jitsu,0
Gustavo da Mata,4580061498954074,+55 (061) 9087-1989,1
Natália Novaes,Android 4.0,Ecólogo,0
Pedro Henrique Duarte,Android 4.4.3,Judoca,0
Nathan Castro,4504463489343700,(021) 5884-1984,1
Vitória Silveira,Android 1.0,Esteticista,0
Leonardo da Luz,Android 4.4,Defensor Público,0
Emanuella Ramos,Android 4.4.1,Corretor da bolsa de valores,0
Srta. Joana da Conceição,Android 2.3.6,Peixeiro,0
Milena Gomes,180004379554110,+55 (011) 4884 3051,1
Gustavo Cavalcanti,Android 4.4.4,Ginecologista,0
Mariana Jesus,Android 4.2,Gerente de inovações ou novos negócios,0
Carlos Eduardo Gonçalves,180043777015068,0500-257-6967,1
Giovanna Porto,Android 3.0,Assistente de produção,0
Lara Pereira,30233981093488,+55 (031) 0583 8823,1
Maria da Luz,3540246029258498,0500-191-9756,1
Felipe da Paz,Android 3.2.4,Leão de chácara,0
Luiz Henrique da Luz,2717184019738436,+55 31 7048-9080,1
Maria Fernanda Jesus,6011891944070404,0500 715 2299,1
Rafael Cavalcanti,Android 4.3,Clap loader,0
Sr. André Barros,Android 3.2,Auxiliar administrativo,0
Rebeca Caldeira,676252450413,81 5679-3643,1
Gustavo Henrique Caldeira,Android 4.4.1,Médico,0
Dr. Enzo Silveira,Android 3.2.2,Bibliotecário,0
Enrico Ferreira,Android 2.2.2,Diretor de fotografia,0
Caio Costa,Android 11,Lutador de luta livre,0
Ian da Cunha,Android 3.2,Harpista,0
Enzo Viana,6011060356820116,+55 84 4688-3385,1
João Lucas Mendes,3597810301465824,71 7654-6547,1
Maria Eduarda Monteiro,Android 7.1.2,Retificador,0
Breno Cardoso,Android 9,Triatleta,0
Esther Sales,Android 4.1.1,Administrador de redes,0
Sr. João Guilherme Pires,30505034853681,31 8578 5069,1
Cauê Farias,Android 2.3.4,Técnico em segurança do trabalho,0
Sr. Breno Silveira,180017733254938,+55 11 3005-8399,1
Isabella Oliveira,Android 5.1.1,Montador,0
Ana da Cruz,Android 8.1.0,Administrador público,0
Maria Fernanda Aragão,Android 7.0,Soldado,0
Maria Sophia Ribeiro,Android 3.2.2,Sargento,0
Juan Rezende,4816954154995099229,+55 21 5517-9852,1
Pedro Henrique Moraes,060453542114,+55 (081) 7724 7985,1
Vitor Hugo da Rocha,Android 2.3.3,Quitandeiro,0
Sabrina Rezende,Android 2.3.5,Marketeiro,0
Gabrielly Nunes,6507751169863951,81 9000 8608,1
Evelyn Martins,4153783249504,(031) 0633 8007,1
Luiz Felipe Sales,Android 2.2.1,Pianista,0
Alícia Carvalho,630472186901,+55 31 6274-2828,1
Dra. Clarice Castro,Android 1.1,Funileiro,0
Kevin Lima,Android 4.2.2,Engenheiro de produção agroindustrial,0
Breno da Rosa,Android 4.4.1,Instrutor,0
Nicole Ferreira,Android 4.4.3,Carteiro,0
Maria Clara Barbosa,Android 3.2.3,Camelô,0
Marina Lima,Android 3.2,Engenheiro de horticultura,0
Raul Costa,180004825555349,21 0968-9751,1
Eduardo Nascimento,3539044770796326,+55 71 2174 6994,1
Luiz Fernando Pires,3578930396229191,11 8942-3434,1
Yago Lima,4238060153122189,+55 61 1237-2286,1
Sr. Francisco da Paz,Android 3.2.2,Oceanógrafo,0
Theo das Neves,378158446467128,84 3088-8672,1
Bianca Correia,30492364222151,(031) 8631-4039,1
Bryan Teixeira,Android 2.3,Modelista,0
Enrico Costa,180081893051492,+55 (021) 3659-7902,1
Vitor Gabriel Costa,Android 8.1.0,Servente-de-obras,0
Francisco da Mota,2282842011610235,0300 051 8791,1
Danilo Souza,Android 4.4.4,Diarista,0
Bianca Ribeiro,Android 3.2.5,Técnico de som,0
João Pedro Nogueira,3529372443390934,+55 71 0115-5197,1
Diego Azevedo,Android 4.0.1,Gerente de riscos em seguros,0
Thiago Araújo,2711394587479737,+55 11 7335-3989,1
Srta. Evelyn Cunha,5488306001666586,(051) 5519-6180,1
Lucas Gabriel Ribeiro,3579031518067830,81 6723 3334,1
Pedro Miguel Nogueira,Android 1.6,Quiropraxista,0
Ana Vitória Aragão,Android 4.4,Radiologista,0
Beatriz Pinto,30364924896792,81 4139-1191,1
Larissa Cunha,Android 5.0.2,Eletricista,0
Ana Clara da Luz,Android 10,Dublê,0
Dra. Maria Eduarda Araújo,Android 1.1,Astrólogo,0
Augusto Lima,Android 3.2.1,Cinegrafista,0
Juan Silveira,676257622800,+55 81 8437-2769,1
Arthur Farias,Android 1.5,Sexólogo,0
Lucas Gabriel da Cunha,Android 4.1.1,Gestor de tecnologia da informação,0
Alexia Rezende,Android 4.4.4,Engenheiro mecânico,0
Guilherme Cardoso,Android 3.2,Engenheiro de supply chain ou logística,0
Gabriel Farias,Android 5.0.1,Profissional de áudio,0
Bruna Novaes,180059752506129,84 5122 7834,1
Luiz Felipe Correia,3562662401917522,+55 (011) 7703 9441,1
Sophia Moura,Android 2.0.1,Turismólogo,0
Maria Vitória Fogaça,Android 5.1,Patinador,0
Sr. Augusto Mendes,Android 6.0,Fiscal,0
Danilo Almeida,Android 3.2,Pintor,0
Alícia Nascimento,4957143944255986,+55 (031) 9174 5704,1
Larissa Dias,Android 4.4.2,Oceanógrafo,0
Breno Mendes,Android 2.0.1,Agente de combate à endemias,0
Enrico Castro,213144506023109,(084) 8340-0570,1
Felipe Monteiro,Android 4.1,Juiz de direito,0
Leandro Gonçalves,2289952971069091,0500 998 3901,1
Lucas Gabriel Ramos,4503143479689178,+55 11 4503 7458,1
Ana Laura da Rosa,180074601099069,(071) 4500 9470,1
Vinicius das Neves,Android 1.1,Oftalmologista,0
Dra. Sophie Barros,Android 4.2.1,Co-piloto,0
João Lucas Pinto,Android 9,Psicomotricista,0
Maria Eduarda Ferreira,180060473401541,71 7628 8165,1
Miguel Gonçalves,4841479485446,+55 (021) 0782 1102,1
Srta. Emilly Pereira,Android 2.3.5,Bancário,0
Maitê Costela,213191128197332,+55 21 8014-0032,1
Srta. Eloah Viana,180043025574312,0300-842-4571,1
Vitor Cunha,Android 5.0,Profissional de recursos humanos,0
Sra. Julia Cunha,Android 4.3,Karateca,0
Otávio Viana,573503774925,+55 (081) 7985-3538,1
Manuela da Mata,4416157083456,0500 188 9242,1
Srta. Eduarda Barros,347214433224242,+55 41 6662-2408,1
Ana Vitória Jesus,501801031839,+55 31 8200-0622,1
Rodrigo Fogaça,Android 1.5,Ambulante,0
Pietra Carvalho,3532727580630738,(021) 2804 6323,1
Sra. Cecília Gomes,Android 2.2.3,Assistente administrativo,0
Cauê da Costa,Android 5.1,Classificador contábil,0
Mirella Cavalcanti,36780280136909,+55 31 6974-3194,1
Olivia Nogueira,Android 1.5,Gandula,0
Sophia Correia,Android 4.2.1,Operador de vídeo,0
João Gabriel Fogaça,502034892344,71 5390-0438,1
Ana Clara Silva,Android 2.3.5,Técnico em segurança do trabalho,0
Sra. Maysa Nogueira,Android 2.1,Passador,0
Clarice Novaes,Android 9,Letrista,0
Mariane da Rosa,Android 2.0,Amolador de ferramentas,0
Leonardo Moraes,Android 2.3.7,Cientista de alimentos,0
Lucca Santos,Android 6.0.1,Oftalmologista,0
Alice da Paz,Android 5.0.2,Físico nuclear,0
Ana Lívia Melo,Android 3.2.1,Fundidor,0
Henrique Cavalcanti,213108673017590,51 8622 4374,1
Juan Vieira,3549906298933433,+55 (031) 8788 4466,1
Rafael Lima,Android 2.2.1,Clap loader,0
João Lucas Araújo,30045230051715,0500 186 5704,1
Enrico Lopes,4351451175642083,+55 71 9333 3637,1
Sr. Enrico Pires,Android 5.1.1,Técnico em agropecuária,0
Isadora Gonçalves,30202602372654,+55 (051) 7413 9800,1
Daniel da Rosa,Android 2.3.2,Degustador,0
Pedro Nunes,4499466977866234863,+55 (011) 1355-5881,1
Rebeca Moura,Android 5.0.2,Hostess,0
Calebe Caldeira,180004456523608,71 7478 9231,1
Ana Lívia da Luz,349164768252144,(011) 3136-4288,1
Bruna Fernandes,2268035442331590,81 6026 1225,1
Bianca Castro,4972795195882973,71 7716-6814,1
Breno Moreira,3511140018426817,51 4646 6665,1
Sr. Matheus Dias,5475917476926142,(061) 4052-2364,1
Isabel Lima,Android 4.4.4,Bibliotecário,0
Olivia Oliveira,Android 2.2.1,Jogador de bocha,0
Paulo Novaes,4000497280608,+55 81 6686-8410,1
Srta. Cecília Nogueira,4132602229757295,+55 81 3341-1813,1
Mariana Castro,Android 11,Armador,0
Dra. Rebeca Fogaça,Android 2.3.4,Ginecologista,0
Clarice Gomes,Android 7.1,Gerente de riscos em seguros,0
Sofia Almeida,3580951549123699,+55 (031) 9010 3336,1
Gustavo Henrique da Conceição,Android 2.2.2,Necromaquiador,0
Levi Costa,213164294694341,31 1574-9165,1
Bárbara Moreira,Android 3.2.5,Saxofonista,0
Lorena Moraes,Android 1.1,Tecnólogo em processos químicos,0
Ana Clara da Mota,2237265034728832,+55 11 4528 4344,1
Sr. Kevin Ferreira,Android 6.0.1,Árbitro e mediador,0
João Pedro Lima,Android 3.2.3,General,0
Dr. Guilherme Caldeira,376681320727392,0900 423 8508,1
Rodrigo Carvalho,Android 3.2,Contra regra,0
Luiz Otávio Correia,Android 7.1.2,Telefonista,0
Luiz Gustavo Jesus,676359212930,81 5876 5216,1
Enrico Peixoto,4905012315480091812,(071) 2142-3412,1
Thales Sales,Android 2.2,Percursionista,0
Ana da Rocha,4005026217823,+55 (061) 3394 6259,1
Amanda da Mata,Android 7.0,Cambista,0
Dr. Rodrigo Sales,4632100316013203786,(031) 7401-9491,1
Srta. Raquel Moreira,Android 7.1.1,Jangadeiro,0
Gabriela Lima,342939462324548,31 2240-2672,1
Breno Aragão,3577810900533034,+55 (084) 3441-7642,1
Clarice Duarte,Android 4.2.1,Profissional de hotelaria,0
Heloísa Porto,Android 4.0.3,Gerente de inovações ou novos negócios,0
Stephany Cavalcanti,Android 2.3.5,Almirante,0
Danilo Pereira,180091722625960,+55 (041) 1818 5172,1
Sr. Luiz Gustavo Nascimento,Android 3.1,Harpista,0
Alice Caldeira,Android 3.2,Odontopediatra,0
