Coluna A,Coluna B,Coluna C,Classe
Diego Teixeira,675917170739,+55 71 3522 0863,1
Paulo Barbosa,Android 5.1,Serventuário,0
Sr. Bryan Gonçalves,4925531817124676965,+55 (084) 5480 4880,1
João Felipe Cardoso,Android 4.2.2,Corretor de imóveis,0
Srta. Alícia Castro,Android 7.1,Técnico em desporto,0
Yuri Ferreira,Android 5.1.1,Estofador,0
Pedro Miguel da Cunha,Android 3.2.3,Profissional de manutenção industrial,0
Brenda da Conceição,5143272654383076,0500 638 8479,1
Maitê da Costa,Android 1.1,Agente penitenciário,0
Maria Alice Mendes,4923135127438,71 1352-7752,1
Nicole Cardoso,4663625807897,+55 (084) 8257-8620,1
Renan Alves,Android 2.3.5,Cozinheira,0
Valentina Gomes,36607513192948,21 8875-6527,1
Vitor Gabriel Silva,Android 2.3.2,Estampador de tecidos,0
Augusto Porto,Android 3.1,Necromaquiador,0
Dr. Matheus Vieira,4361793133610761,+55 (041) 6500 4648,1
Davi Lucca Rocha,Android 1.0,Cobaia Médica,0
Juliana Costa,4247402655660404920,+55 (084) 7897 5516,1
Thomas Cardoso,Android 4.4.2,Manobrista,0
Srta. Luana Duarte,4092897832798333188,0500-247-6796,1
Emilly Rezende,3590775075647914,+55 (031) 6966 9843,1
Laura Ferreira,4344315892630475,+55 31 0770 0856,1
Miguel Rocha,Android 4.0.1,Vigia parlamentar,0
Diogo Moreira,6535245304771951,+55 11 0665-7944,1
Maria Fernanda Porto,38330037582472,11 0161-2867,1
Heloísa Vieira,3564994287688523,0300-866-0420,1
Eduarda da Mota,213109764208569,+55 21 3227 3661,1
Dr. Rafael Barros,Android 3.2.4,Transcritor,0
Noah Campos,Android 4.0.2,Lutador de kung fu,0
Maitê Cavalcanti,6011255997568336,+55 (071) 3006 0417,1
Vitória Monteiro,340490913651214,+55 (071) 3482-4915,1
Breno Azevedo,213176911103134,81 2413 1162,1
Sr. Felipe Lopes,4805740427289,61 7371-0583,1
Sra. Joana Farias,30371510881781,+55 (084) 6313 9148,1
Maria Luiza Castro,Android 4.0.1,Engenheiro acústico,0
Yago Moraes,583713632771,+55 11 9631-3338,1
Luiz Gustavo Nunes,4805967948857868797,21 3244 4589,1
Dr. Paulo Nunes,3573028737373698,0500 993 6183,1
Matheus Melo,Android 3.2.4,Sonoplasta,0
Luiz Fernando Moreira,Android 2.3.2,Administrador de banco de dados DBA,0
Maria Eduarda Nogueira,4116910078605402,+55 61 0266-0221,1
Marina Barbosa,377817534440245,+55 41 7142-9760,1
João Pedro Costela,4039984845614,+55 (061) 4177 3157,1
Dra. Mirella Rocha,Android 5.1.1,Profissional de recursos humanos,0
Rodrigo da Cruz,348933939064070,+55 (031) 6391-0854,1
Sabrina Barros,4737160046134973,84 2434-4024,1
Alice Nogueira,4115974006449,0500 993 9707,1
Dr. Luiz Fernando da Conceição,3569485944603257,+55 (031) 7941 6419,1
Maria Julia Lopes,4218023849389905,(081) 4193 8212,1
Paulo Novaes,Android 4.1.2,Tenente,0
Isabelly Moreira,6558135353013607,(021) 5140 3274,1
Gustavo Henrique Mendes,Android 2.3.2,Turismólogo,0
João Guilherme Caldeira,Android 1.1,Inspetor,0
Esther Campos,Android 6.0.1,Tecnólogo em produção moveleira,0
Pedro Henrique Nunes,Android 4.3,Quiropraxista,0
Alana Nogueira,Android 3.2.3,Aviador,0
Manuela Moreira,Android 4.2.2,Educador,0
Calebe Moreira,3520788698892473,+55 11 0760 1664,1
Pedro Henrique Moreira,Android 6.0.1,Patologista,0
Maria Eduarda Gomes,4831611671494768263,(051) 0091 1344,1
Pedro Lucas da Luz,6547037376180435,+55 71 6485 1142,1
Ana Lívia da Conceição,4457953386248,+55 41 2194 7417,1
Srta. Caroline Farias,Android 3.2.4,Protesista,0
Yago Castro,Android 3.2.5,Astronauta,0
Emanuella Pires,Android 6.0.1,Cientista,0
Felipe da Costa,4609244919102364784,+55 (011) 6416 0284,1
Srta. Mariane Ribeiro,344170462518362,+55 41 0442 6690,1
Dr. Thales Martins,Android 8.1.0,Fisiculturista,0
Sra. Larissa da Mota,4257169893464136,0300 081 7224,1
Juliana Freitas,6538834695283994,21 6554 8788,1
Ana Luiza Cavalcanti,3550541175450494,+55 (051) 2788 6666,1
Maria Nogueira,Android 3.2.3,Bombeiro,0
Kaique da Conceição,Android 4.0.4,Toxicologista,0
Thiago Pires,30105304754444,+55 (084) 5088-5574,1
Emanuel Gonçalves,4913239351164431,+55 (021) 3198 3255,1
Sr. Felipe Aragão,Android 3.2.6,Profissional de relacionamento com investidores RI,0
Theo Pires,Android 1.5,Tabelião,0
Ana Clara Novaes,Android 5.0.1,Lutador de taekwondo,0
Sabrina Ferreira,Android 3.2,Maitre,0
Ana Carolina Monteiro,377932560784497,61 5905-3250,1
Isadora Souza,Android 7.1.2,Odontologista legal,0
Ana Luiza Rodrigues,4969347267508022,0900-303-6759,1
Benjamin Aragão,3526314178866962,+55 (051) 6826 2848,1
Lavínia da Cruz,180067309635960,+55 (041) 7218-1904,1
Sabrina Peixoto,Android 1.1,Infectologista,0
Olivia Freitas,3581071032699896,11 3754-2566,1
Srta. Daniela Aragão,3500397552998071,(051) 7109-2151,1
Davi Lucca Cardoso,Android 5.0,Profissional de recursos humanos,0
Paulo Farias,4195495477999586346,+55 (061) 0908-2569,1
Ana Julia Freitas,4255236829775364,+55 (051) 7714-3956,1
Lavínia Cavalcanti,Android 3.2,Dogueiro,0
João Miguel da Rosa,4094202817317,+55 41 0495-6048,1
Danilo Freitas,4396411965124897,+55 84 2759 3784,1
Lara Viana,Android 10,Comissário de bordo,0
Bruno Pires,Android 3.2.3,Técnico em tratamento de água,0
Gabriel Farias,Android 4.0.1,Mestre cervejeiro,0
Maitê Ferreira,Android 11,Nutricionista,0
Clarice Pinto,4014120477853644,(081) 2489-6373,1
Thiago da Costa,Android 4.3.1,Dentista,0
Fernando Pereira,4330128650034095,81 6702 6327,1
Renan Cunha,30338941362921,0500-831-0507,1
Emanuelly Araújo,3587338216470251,+55 11 6477-5359,1
Anthony Rezende,4179113985152,+55 31 6772 5449,1
Maria Mendes,Android 7.0,Engenheiro de produção agroindustrial,0
Emanuel Rodrigues,Android 4.2.2,Pastilheiro,0
Alexia Rocha,4340557848252912,+55 (084) 1625 2233,1
Maria Vitória Silva,Android 9,Maitre,0
João da Mata,30145403312421,+55 84 9014-8757,1
Srta. Luna Duarte,4331077103542,(071) 9015-4102,1
Samuel Cardoso,Android 1.0,Protético dentário,0
Nathan Peixoto,Android 2.2.2,Assistente de direção,0
Daniel Vieira,Android 2.0.1,Técnico em agropecuária,0
Paulo Lopes,630437180056,+55 (084) 7562-8759,1
Pedro Nogueira,4998137289660495512,(031) 2733 1772,1
Theo Jesus,345617055896588,0300 592 1717,1
Ana Vitória Gomes,Android 2.1,Artista de circo,0
Luna Pires,Android 4.4.1,Vendedor,0
Luana Campos,30175912730094,(061) 0951 7122,1
Ana Julia Martins,6011902466995215,+55 21 3624-8104,1
Rafael Gomes,Android 4.0.1,Presidente da República,0
Gustavo Almeida,30315488084001,+55 51 0490 4966,1
Diogo Santos,Android 4.0.3,Editor,0
Renan da Paz,676118914552,+55 (061) 4615-4967,1
Alexia Costa,4513383688292780,+55 (071) 4656-8773,1
Luana Santos,3591185994566121,31 7969-7755,1
Isadora Gomes,Android 2.3.4,Triatleta,0
Luiz Fernando Nogueira,Android 2.0,Major,0
Yasmin Mendes,6544366406604590,+55 31 3835-8110,1
Dr. João Vitor Aragão,6513843385779053,+55 (021) 3307 1522,1
Marcela Barros,Android 2.3,Cadista,0
Arthur Costela,Android 3.2.2,Chargista,0
Ana Beatriz da Cunha,4358110718756171,(084) 6906 1018,1
Kaique Farias,3591469394808261,+55 31 1135 6854,1
João Miguel da Cruz,180014074066062,+55 (021) 9166-5816,1
Kaique Farias,4127124614692257,(051) 0108 8765,1
Sophie Azevedo,Android 2.3.4,Headhunter,0
Luiza Freitas,Android 10,Pedreiro,0
Enzo Melo,Android 3.2.4,Guitarrista,0
Maria Melo,4544516188331086,+55 51 7187 3475,1
Evelyn Lopes,Android 2.2.1,Artista/Técnico em espetáculos de diversões,0
Carolina da Paz,Android 5.0.1,Técnico em aviação,0
Marina Silveira,4618484750018956045,+55 (041) 0956 5257,1
Davi Lucas Lopes,4624310177959666,(031) 4575-1077,1
Pietro Nunes,Android 2.1,Jogador de vôlei,0
Maria Julia da Paz,4505424209644627878,+55 (061) 6667 8637,1
Marcela da Rocha,4544640171394933,51 7550 2901,1
Renan Duarte,4058787897518069,+55 41 1348-5451,1
Ana Julia Pereira,561249268195,+55 (061) 8423 2127,1
Mariana Moura,Android 2.3.1,Transportador,0
João Miguel Campos,4092809390874068,31 4155-1084,1
Sr. João Pedro da Rocha,376651822860595,41 0573 7554,1
João Pedro Melo,4409525807342,+55 (021) 8321 9999,1
Yasmin Silva,Android 3.2.6,Juiz ou árbitro de futebol,0
Lucca Mendes,4749520201332967,+55 (071) 5690 3854,1
Gustavo Henrique Teixeira,4684150847235270,0900-615-8611,1
Noah da Cunha,2717830031093099,(081) 3960-4609,1
Sofia Fogaça,346236756360668,51 0555 6312,1
Davi Lucca Campos,Android 7.0,Engenheiro de aquicultura,0
Luiz Otávio da Paz,3579573798058880,0300 434 4268,1
Sr. Cauã Lopes,Android 4.0,Borracheiro,0
Otávio Vieira,Android 4.1.2,Tecnólogo em papel e celulose,0
Laís da Cruz,Android 7.1.1,Ator,0
Emanuella Moreira,Android 1.1,Nutrologista,0
Esther Teixeira,Android 1.0,Ambulante,0
Laura das Neves,Android 3.2.6,Radialista programador,0
Benício Fogaça,4556564724640813,71 7328-6110,1
Dr. Otávio Araújo,2720786757610505,11 3195 0704,1
Yuri Araújo,Android 1.5,Fundidor,0
Isadora Castro,Android 4.1.2,Promotor público/de justiça,0
Ana Vitória Caldeira,676303263260,+55 (051) 5090 1103,1
Henrique Peixoto,Android 2.3.6,Engenheiro têxtil,0
Caio Almeida,Android 4.3,Papiloscopista,0
Matheus Cunha,4524635879927772,+55 (011) 0681 0213,1
Bernardo da Paz,Android 4.2.1,Ambientalista,0
Lucas Fernandes,Android 9,Médico geneticista,0
Theo Gonçalves,4516664618867214,71 2198 8010,1
Laís Ribeiro,Android 11,Assistente de produção,0
Emilly da Cunha,6011997544051734,+55 (051) 5724-2588,1
Mirella Mendes,Android 3.2,Microfonista,0
Dra. Yasmin Costa,349165996245669,+55 81 5930-9796,1
Sr. Emanuel Lopes,Android 4.4.2,Gourmet,0
Maria Alice da Luz,4930838538662,+55 (041) 9704-9418,1
Gustavo Silva,370715210679044,(051) 6863 7093,1
Carolina Cunha,501878362547,+55 41 5159-3935,1
Ana Lívia Ferreira,30272178151725,+55 11 9507-7971,1
Luiza Melo,4451493298737746,(071) 2512 2336,1
Rafael Duarte,30495014647396,(061) 0423 1851,1
Sra. Camila Melo,30273731803349,(071) 4652-1794,1
Renan Farias,Android 4.0,Contabilista,0
Dr. Felipe Fogaça,4866739594075,+55 (011) 2842-5706,1
Dr. Marcos Vinicius Aragão,Android 4.4.1,Luthier,0
Daniel Aragão,3575071290388867,(041) 0549 8954,1
Vinicius Freitas,Android 7.1.2,Entalhador,0
Bernardo Viana,Android 4.4.4,Gestor de tecnologia da informação,0
Julia Cavalcanti,4728353052355316,+55 84 7898-6210,1
Kamilly Rezende,342940297345963,(084) 1880-0684,1
Pedro Henrique da Cruz,4934885966348373372,84 4948-5809,1
Luiz Miguel Porto,Android 4.0.2,Zootecnista,0
Dra. Sofia Martins,Android 2.2.1,Eletricista,0
Valentina Lima,Android 4.1.2,Comandante,0
Luiza Cunha,Android 7.1.1,Profissional de informática,0
Isabelly da Mata,4331255876943061,+55 (051) 0509 6168,1
Giovanna da Costa,Android 4.0.2,Engenheiro ambiental,0
Dr. Ryan Nogueira,060480969207,61 9071 5353,1
Cauã Nogueira,Android 8.1.0,Timoneiro,0
Srta. Helena Gomes,676239352963,+55 84 4886-1614,1
Srta. Stephany Lopes,Android 2.3.6,Presidente da República,0
Dra. Ana Lopes,Android 6.0.1,Cobrador de pedágio,0
Thales Ferreira,30176561886831,(011) 2107 3296,1
Ana Júlia da Costa,Android 2.3.3,Mecanógrafo,0
Alice Moreira,Android 4.1.1,Ginasta artística,0
Vinicius Nunes,180003901736989,0900 477 5614,1
Sra. Beatriz da Rocha,30004350903866,+55 (061) 6488-0597,1
João Costa,4597154799226671,(011) 3089-8453,1
Fernando Castro,4601216127096094,0300-641-1337,1
Caio Barros,3520554817509095,+55 61 7661-9560,1
Carlos Eduardo Porto,4934228647141480,+55 61 2680 1101,1
Benício Lopes,Android 7.1.2,Capelão,0
Rodrigo Mendes,Android 5.0.1,Toxicologista,0
Benício Castro,Android 2.3,Tecnólogo em processos químicos,0
Srta. Pietra Araújo,Android 4.4.1,Engenheiro civil,0
Miguel Cavalcanti,3593571204032806,11 5100-1820,1
João Gabriel Duarte,Android 4.4.4,Remador,0
Júlia Vieira,Android 8.1.0,Engenheiro agrícola,0
Rafaela Azevedo,5375110408278110,21 2775-6991,1
Enzo Barros,Android 4.3.1,Oftalmologista,0
Luigi Novaes,30030299171927,(021) 4690 8051,1
Dr. Pedro Lucas Nunes,2394298851165548,+55 (061) 0021 8620,1
Antônio Lima,Android 4.4.2,Jogador de handebol,0
Alícia Novaes,Android 8.0.0,Procurador de justiça,0
Vitor Hugo da Rocha,Android 4.0.2,Engenheiro de iluminação,0
João Gabriel Campos,Android 4.0.3,Instrumentista musical,0
Maria Fernanda das Neves,4489636588928567,(021) 3211-7727,1
Stella Costa,4766854940403664580,0500-432-2661,1
Sr. Kaique da Luz,Android 1.5,Boticário,0
Ana Júlia Pires,30276354920340,61 4152 2077,1
Rebeca Lopes,Android 4.4.1,Marechal,0
João Vitor Silveira,4790482640058752,(031) 2803-4004,1
Ana Luiza Santos,5464454738999132,71 1704-3761,1
Luiz Henrique Duarte,Android 4.4.4,Letrista,0
Dra. Maria Clara Silveira,6570176006917392,0800-970-8994,1
Eduardo Jesus,Android 2.2.2,Senador,0
Dra. Sabrina Pinto,Android 2.3.3,Caixa,0
Leandro Sales,Android 7.1.2,Cineasta,0
Lorenzo Araújo,Android 5.0.1,Físico nuclear,0
Antônio Mendes,6526385006157660,11 7184-1042,1
Gustavo Henrique Araújo,213156493428232,31 7527 3149,1
Dra. Pietra Moraes,4116041592551136606,+55 41 8174-5663,1
Miguel Nogueira,180075178435123,11 3990-2478,1
Pietro Nogueira,Android 1.0,Eletricista,0
Diego Azevedo,6541396701223138,(051) 2451-6676,1
Thiago Farias,4949188565671066777,(051) 3912 8242,1
Sra. Vitória das Neves,Android 8.0.0,Anestesiologista,0
Ana Vitória Fogaça,2233127253406389,31 4731-5033,1
Nina Mendes,6011098372492049,81 9053 8108,1
Bryan Moreira,Android 2.3.4,Cientista de alimentos,0
Felipe Cardoso,6011951254741034,(021) 6830 3833,1
Benjamin Gomes,4635010993206677067,+55 (061) 8756-3858,1
Rodrigo Silveira,Android 4.0.3,Protesista,0
Heitor Fernandes,4550530887439,31 9221-8482,1
Davi Luiz Lima,4270455525794476,(011) 1168 1054,1
Maria Fernanda Monteiro,501885801982,+55 81 3568-2436,1
Isadora Campos,501829551420,(071) 6302 9635,1
Dr. Fernando Rocha,Android 4.1,Técnico em segurança do trabalho,0
Maria Fernanda Ribeiro,Android 4.1,Somelier,0
Levi Moura,4454554894200897,(011) 4497-5283,1
Lara Jesus,Android 4.4.2,Farmacêutico,0
Danilo Martins,Android 2.1,Patologista oral,0
Sr. Thomas Ferreira,2232199979653116,0800 272 6497,1
Juan Alves,4219566555611846,+55 (031) 0147-5281,1
Cecília Lima,4358596430689247,0900-107-1672,1
Yuri Nogueira,Android 10,Montador,0
Emilly Cunha,Android 8.0.0,Delegado,0
João Guilherme Almeida,4114200930105407077,(084) 1678-6571,1
João Guilherme Viana,Android 4.3.1,Tabelião,0
Stella Lopes,676134035796,0300-172-5547,1
Fernanda Nunes,377696702738428,(071) 1499-6328,1
Yuri Souza,Android 4.1.1,Tecnólogo em silvicultura,0
Eloah Rodrigues,4005632025273555,+55 (031) 8452-4082,1
Bernardo Azevedo,Android 5.1,Professor,0
Bruno da Conceição,Android 1.0,Feirante,0
Erick Melo,Android 3.2.2,Promotor público/de justiça,0
Vicente Fernandes,Android 4.1.1,Intérprete de Bíblias,0
Marcela Ribeiro,Android 4.4.1,Ombudsman,0
Sr. Eduardo Cardoso,Android 5.1,Cirurgião dentista,0
Dra. Sabrina Ribeiro,Android 4.0.4,Jogador de handebol,0
Rafael da Mota,Android 4.4.4,Corretor da bolsa de valores,0
Lucas Gabriel Teixeira,5251321664247330,(021) 4188 8699,1
Bruna Freitas,Android 2.3.2,Jogador de futebol,0
Ana Julia Oliveira,Android 3.2.6,Office-boy,0
Marcela Fogaça,4294668223665929,+55 (084) 3357 4924,1
Leandro da Rosa,4212051023978843,21 5149-4042,1
Isadora da Rosa,Android 4.1.2,Degustador,0
Pietra Almeida,3524666662526358,(081) 6192 7133,1
Stephany Ramos,213166540777598,+55 (031) 4730-7630,1
Sarah Farias,675954536768,0800 881 0641,1
Ana Lívia Azevedo,3590356648238588,(041) 4729-6410,1
Maria Fernanda da Conceição,30414076130084,+55 (021) 4790 1655,1
Sr. Davi Martins,Android 3.2.6,Cambista,0
Sr. Pedro Lucas Ribeiro,6508475103830970,+55 (071) 2560-9186,1
Melissa Pinto,36911160447666,+55 (051) 2689-5941,1
Maysa Moura,213149111067201,+55 11 9256-0463,1
Guilherme Santos,347469712770246,(061) 3104 4431,1
Daniel da Conceição,4474629233259618,+55 (021) 3024 2722,1
Sra. Valentina Pereira,Android 7.1,Bailarina,0
Sra. Elisa da Rocha,Android 2.0,Lutador de taekwondo,0
Maria Luiza Cardoso,5241292407151985,+55 21 9520-9765,1
Samuel Pereira,Android 3.2,Arranjador musical,0
Pedro Henrique Santos,Android 4.0,Consultor de radiestesia,0
Mariane Fogaça,Android 1.1,Zootecnista,0
Bruno da Cunha,2702154030821005,+55 (051) 9054-3025,1
Bruna Costa,Android 3.2.2,Assistente de câmera,0
Raul Rezende,6011903773123368,+55 31 2401-3801,1
Dra. Luiza Porto,575509326345,(081) 0336-6041,1
Lorena Silveira,3528966426390729,84 4687 2432,1
Sr. Enzo Gabriel Mendes,Android 4.0.1,Fisiculturista,0
Sra. Sophia Dias,6011628455465148,0800 480 7628,1
Yasmin Gonçalves,Android 2.2.1,Esgrimista,0
Calebe Ferreira,213157028980077,0900-883-3405,1
Maria Sophia Rezende,343729491502456,11 8681 3029,1
Sra. Cecília da Paz,Android 4.0.2,Servente-de-obras,0
João Gabriel Peixoto,Android 3.0,Engenheiro petroquímico,0
Dr. Lorenzo da Luz,Android 2.2.3,Engenheiro de transportes,0
Ryan Oliveira,Android 4.4.3,Corretor da bolsa de valores,0
Arthur Dias,3530276961269353,21 5704 4828,1
Isabel Costela,Android 4.1,Moldador,0
Dr. Thales da Conceição,180022380267340,+55 41 8767 2593,1
Davi Luiz Castro,4251266100731509,(011) 0707 3813,1
Stella Cunha,Android 5.0,Auditor,0
Gabriela Teixeira,348269473674911,+55 (071) 1893-1769,1
Bruna Moreira,Android 4.4.3,Soldado,0
Sr. Gabriel da Costa,3537807729331102,+55 11 8995-5553,1
Diogo Nascimento,4769798809560966,81 4900 5278,1
Vitória Novaes,Android 2.2.1,Otorrinolaringologista,0
Sra. Lara Campos,213111045853882,(021) 8582 4834,1
Ana Vitória Oliveira,4348297927509609,(011) 1949-8393,1
Ana Costa,4858141435716,+55 41 6602 4010,1
Julia Barbosa,Android 2.3.3,Guincheiro,0
Guilherme Martins,4087914406867467992,+55 (084) 7356-6461,1
Catarina Martins,4982271715467987178,0900 012 5970,1
Joaquim Melo,Android 2.2.2,Mecânico de vôo,0
Sra. Ana Lívia Rocha,6011407714871390,21 2605-5149,1
Dr. Alexandre da Paz,3512810676391680,+55 61 3975-8798,1
Laura Rocha,Android 4.4.2,Atleta de canoagem,0
Isadora Dias,Android 4.3.1,Angiologista,0
Dra. Alana Nascimento,Android 3.2.5,Toxicologista,0
Davi Luiz Vieira,4547921951954709131,81 9016-9625,1
Alana Duarte,3506144161978084,81 0865 6430,1
Sr. Noah Almeida,Android 2.3.3,Policial militar,0
Sr. João Lucas Gonçalves,Android 2.3,Engenheiro mecânico,0
Vicente Nogueira,4254560238204927,0800-094-9606,1
Pedro Lucas Pires,345972108143680,51 8016 8216,1
Lara Nascimento,4130951099900085,+55 31 3222 8318,1
Sra. Ana Sophia Dias,180030973418832,71 2900-2350,1
Marcela Ferreira,Android 10,Balconista,0
Emanuella das Neves,Android 2.2.2,Sonoplasta,0
Sr. João da Conceição,Android 4.4,Fiscal,0
Pietro Carvalho,213189234785156,+55 61 5432 4990,1
Maitê Teixeira,3542150818418727,+55 71 8697-9628,1
Francisco Fogaça,Android 4.3,Capoeirista,0
Bianca Caldeira,Android 3.2.2,Marinheiro,0
Dr. Nathan Gonçalves,378091488395453,(031) 4070 0949,1
Maria Clara Viana,4907766450029660050,51 8519 0957,1
Raul Alves,Android 1.5,Engenheiro civil,0
Arthur Farias,3588488935702432,+55 (031) 5377 7399,1
Ana Moreira,3583978413706421,51 2316 8777,1
Srta. Ana Sophia Barbosa,3566858749499118,+55 (061) 0275 2107,1
Rafael Novaes,Android 3.2.3,Penhorista,0
Dra. Amanda Alves,Android 4.0,Selecionador de pessoal,0
Antônio Carvalho,180049248287830,(061) 7055-7458,1
Davi Luiz Pereira,Android 5.0.2,Marinheiro,0
Lucas Gabriel Farias,Android 3.2,Costureira,0
Juliana Pereira,344210797187374,+55 84 3237 6393,1
Heloísa Rezende,Android 4.1,Microfonista,0
Dr. João Guilherme Melo,Android 4.0.1,Engenheiro de produto ou produção,0
Dra. Bárbara Teixeira,Android 3.2.1,Personal trainer,0
Gabriel Costela,4640455225572,21 1765-7035,1
Benício da Paz,6011354867096526,+55 84 1418 2435,1
Sabrina Duarte,Android 7.1,Consultor de moda,0
Sr. Fernando Rodrigues,Android 5.0.2,Engenheiro petroquímico,0
Vicente da Mota,Android 4.3,Despachante,0
Dra. Bruna Cunha,Android 2.2.3,Tecnólogo em recursos pesqueiros,0
Sr. Luiz Gustavo Souza,Android 5.0.1,Técnico de som,0
Alexandre Campos,6011717016452255,0800 321 4604,1
Isaac da Luz,2298845653946785,(071) 6568-7627,1
João Lucas Correia,Android 2.3.4,Engenheiro sanitarista,0
Lucca Barbosa,370499799359290,+55 11 0982 8780,1
Enrico Correia,4637102510208,51 3891 4855,1
Ana Novaes,3525746904724018,51 8709 5275,1
Helena Sales,4011629952881,51 6822 3297,1
Carlos Eduardo Ferreira,Android 2.1,Bóia-fria,0
João Gabriel Nunes,30423441167861,81 1487 2576,1
Ana Lívia Gonçalves,Android 4.4.4,Tecnólogo em automação industrial,0
Diogo Rocha,4022081316251269,+55 41 1191-3853,1
Pedro Barbosa,5515546945121415,+55 31 7880 7755,1
Stephany da Costa,373513776483514,+55 81 9935 9632,1
Ana Carvalho,Android 5.0.2,Flanelinha,0
Srta. Ana Moraes,Android 2.3.3,Ceramista,0
Natália da Cunha,6595584980433321,(084) 0116-6657,1
Diego da Paz,4005948379055672628,31 1380 3746,1
Sabrina Cavalcanti,346063344518411,+55 61 9373 1624,1
Sr. Renan Peixoto,4604500764323606120,81 0378-6973,1
Giovanna Almeida,342758598314821,+55 (081) 9456 3568,1
Pietro da Rosa,3547963192749219,+55 (081) 1546-4372,1
Sr. Gabriel Novaes,563943053600,0500 102 4551,1
Melissa Costela,4356068416698354,+55 (081) 6009 6056,1
Antônio Araújo,3541774933373292,(051) 5516 7067,1
Lorenzo Duarte,180002764508295,(051) 1058-8409,1
Dra. Agatha Monteiro,4896775021287,+55 21 0667-4852,1
Sarah Duarte,Android 3.2.4,Profissional de cinema,0
Dr. Enrico Farias,Android 6.0,Engenheiro de supply chain ou logística,0
Otávio Araújo,4860309505799425,+55 (081) 0685 7881,1
Alexandre da Mota,Android 4.4.1,Astrólogo,0
Manuela Viana,Android 6.0,Jogador de hóquei,0
Fernanda Porto,585371897240,84 9850-0867,1
Nina Fogaça,Android 2.3.7,Engenheiro de telecomunicações,0
Maria Julia Gomes,36964012691874,51 5140 5820,1
