Coluna A,Classe
Co-piloto,0
713.820.469-87,1
726.834.159-82,1
Mergulhador,0
260.145.983-24,1
Psiquiatra,0
Jogador de badminton,0
Profissional de áudio,0
096.427.153-25,1
Cabo,0
Transportador,0
Implantodontista,0
Letrista,0
204.369.815-05,1
Balconista,0
634.508.179-57,1
Astrônomo,0
Neonatologista,0
875.016.439-20,1
352.641.809-89,1
Assistente administrativo,0
Coach,0
619.025.874-30,1
Cozinheira,0
085.764.932-92,1
Dialoguista,0
136.479.250-80,1
506.729.834-00,1
Técnico em rede,0
263.470.591-34,1
810.729.345-23,1
Orçamentista,0
879.135.064-66,1
Preparador de máquinas,0
Oftalmologista,0
Epidemiólogo,0
047.291.658-02,1
Saxofonista,0
802.379.146-03,1
694.815.023-33,1
Gerente de inovações ou novos negócios,0
Gastrônomo,0
618.497.520-01,1
732.984.106-40,1
268.901.437-87,1
249.036.871-04,1
702.634.195-25,1
581.460.293-70,1
Representante comercial,0
Assistente de produção,0
Técnico em aviação,0
Fonoaudiólogo,0
Escriturário,0
Musicoterapeuta,0
895.436.071-84,1
Quiropraxista,0
842.605.973-29,1
351.809.742-32,1
983.420.716-69,1
512.930.487-04,1
Coronel,0
068.391.247-03,1
Nutricionista,0
496.837.012-13,1
483.760.521-44,1
Gestor público,0
926.457.183-37,1
702.531.498-60,1
Paisagista,0
730.826.154-90,1
607.819.354-66,1
452.073.861-07,1
Lanterneiro,0
174.289.360-04,1
Designer de produto ou desenhista industrial,0
Atuário,0
Petroleiro,0
178.952.064-94,1
803.267.159-59,1
Tecnólogo em esporte e lazer,0
Chapeiro,0
Perfusionista,0
Brigadeiro,0
Atuário,0
Instalador de linha telefônica,0
806.715.943-20,1
356.742.180-80,1
613.047.295-16,1
016.798.453-57,1
219.460.573-80,1
Bailarina,0
238.106.574-17,1
532.706.418-26,1
Produtor musical,0
Engenheiro agrícola,0
385.076.249-10,1
Tradutor,0
406.382.915-42,1
Serralheiro,0
498.215.063-05,1
Chapeiro,0
537.860.921-68,1
130.594.768-10,1
017.825.496-76,1
Bedel,0
Gerente de inovações ou novos negócios,0
507.134.968-00,1
Tecnólogo em irrigação e drenagem,0
Regente,0
Jornalista,0
317.826.490-69,1
657.182.943-64,1
569.231.478-91,1
Velejador,0
482.967.013-40,1
739.451.206-16,1
Tabelião,0
417.639.802-78,1
Barbeiro,0
Marinheiro,0
104.987.253-32,1
534.762.081-17,1
906.523.871-95,1
064.732.958-10,1
356.287.904-00,1
Selecionador de pessoal,0
Laboratorista,0
609.351.782-95,1
495.108.726-01,1
Agrônomo,0
842.170.596-20,1
873.250.916-21,1
516.947.280-30,1
514.827.063-26,1
284.657.139-28,1
751.304.829-05,1
208.436.517-17,1
Designer de interiores,0
Telegrafista,0
Gari,0
Dialoguista,0
635.410.728-90,1
671.809.524-94,1
Panfleteiro,0
Marceneiro,0
983.072.516-21,1
Paramédico,0
847.950.136-75,1
475.601.389-93,1
570.468.913-20,1
480.169.532-98,1
046.279.815-11,1
915.804.637-20,1
793.284.560-29,1
293.045.687-65,1
Defensor Público,0
504.632.798-83,1
Odontologista preventivo e social,0
Cientista,0
Ventríloquo,0
308.916.275-02,1
Gestor de tecnologia da informação,0
016.753.824-17,1
713.845.296-91,1
278.649.301-31,1
Gestor de recursos humanos,0
983.125.074-50,1
Afiador de ferramentas,0
375.648.029-10,1
920.753.814-88,1
168.724.930-03,1
Promotor de vendas,0
359.742.801-05,1
Produtor de audio visual,0
028.367.491-13,1
509.168.372-03,1
Ajudante de produção,0
735.248.906-10,1
Coveiro/Sepultador,0
Karateca,0
175.280.634-44,1
814.295.673-09,1
476.301.982-13,1
Treinador,0
Engenheiro metalúrgico,0
Consultor,0
536.794.812-09,1
510.432.796-52,1
Cartunista,0
Escrivão,0
Técnico de som,0
Operador de vídeo,0
Repositor,0
Amolador de ferramentas,0
Técnico de gesso,0
Intérprete,0
432.958.176-00,1
381.567.094-20,1
Somelier,0
Filósofo,0
284.957.031-14,1
278.913.605-02,1
Caixa,0
Pedicure,0
329.847.516-55,1
Profissional de hotelaria,0
283.576.041-53,1
075.624.831-08,1
317.462.589-00,1
692.754.183-73,1
Engenheiro têxtil,0
374.260.918-13,1
Grafologista,0
Instrumentador cirúrgico,0
934.706.815-20,1
Telefonista,0
718.059.234-04,1
Controller,0
Almirante,0
Promotor de vendas,0
081.526.739-86,1
Piloto automobilístico,0
Técnico em aviação,0
795.628.340-00,1
Ortodontista,0
Encarregado de manutenção predial,0
913.427.085-04,1
Nadador,0
Biólogo,0
438.126.597-19,1
628.354.701-07,1
257.910.436-43,1
Engenheiro de petróleo,0
Brigadeiro,0
Marinheiro,0
Profissional de informática,0
231.798.045-05,1
326.954.801-05,1
539.081.724-97,1
Estatístico,0
278.154.630-53,1
Engenheiro físico,0
436.810.972-40,1
917.652.830-86,1
Boticário,0
Produtor de multimídia,0
Massagista,0
630.824.719-78,1
Projetista mecânico,0
Engenheiro de controle e automação,0
879.036.542-92,1
Coronel,0
Engenheiro de computação,0
Babysitter,0
Pedagogo,0
796.842.530-10,1
Vigilante noturno/diurno,0
580.463.917-00,1
Sargento,0
825.170.349-23,1
Gerente de vendas,0
351.724.809-60,1
Governanta,0
476.012.935-99,1
Jogador de vôlei,0
197.045.286-20,1
031.456.789-57,1
503.781.249-60,1
391.750.462-61,1
169.308.742-13,1
628.571.403-71,1
Designer de moda,0
840.539.172-04,1
Apicultor,0
850.263.974-92,1
Engenheiro de manufatura,0
Mecânico,0
019.368.425-05,1
Anestesiologista,0
Auxiliar administrativo,0
982.461.703-50,1
Maitre,0
Co-piloto,0
831.920.756-86,1
713.649.805-84,1
Surfista,0
Balconista,0
Jangadeiro,0
Escultor,0
980.613.425-70,1
Cardiologista,0
Profissional de cinema,0
103.746.528-80,1
Mecanógrafo,0
Perfumista,0
Instalador de linha telefônica,0
302.169.754-25,1
985.426.071-20,1
531.897.204-79,1
Cabo,0
289.561.074-67,1
059.318.264-24,1
149.273.850-60,1
Necromaquiador,0
329.708.615-77,1
Contatólogo,0
824.961.705-30,1
750.241.369-34,1
Físico nuclear,0
Educador integrado à saúde pública,0
673.908.412-22,1
492.607.813-96,1
Copeiro,0
Pianista,0
254.198.376-09,1
689.327.514-55,1
Neurocirurgião,0
876.392.504-47,1
071.954.263-43,1
Aviador,0
Aeromoça,0
Gravurista,0
Gestor público,0
256.497.801-02,1
Encarregado de manutenção predial,0
Tabelião,0
394.810.762-96,1
638.504.291-05,1
127.460.953-43,1
045.371.628-80,1
918.054.623-42,1
Terapeuta Holístico,0
Almirante,0
Sonoplasta,0
361.972.850-02,1
Físico,0
065.798.432-92,1
817.320.954-50,1
875.304.216-62,1
193.750.862-59,1
Babá,0
432.679.105-52,1
Profissional de efeitos especiais,0
Guia turistico,0
Dublador,0
Gestor de tecnologia da informação,0
Policial federal,0
862.391.547-09,1
Filósofo,0
Jogador de hóquei,0
124.586.709-11,1
592.647.038-29,1
734.829.605-00,1
513.890.726-30,1
Tintureiro,0
Assessor parlamentar,0
Agente de defesa sanitária,0
986.024.135-05,1
Carpinteiro,0
387.216.045-17,1
489.560.231-15,1
Investigador de Polícia,0
Comissário de bordo,0
Arquivista,0
Agrimensor,0
495.732.810-23,1
Pescador,0
Oceanógrafo,0
Engenheiro metalúrgico,0
Flautista,0
Estivador,0
180.592.467-20,1
512.304.679-80,1
Engenheiro acústico,0
802.619.734-87,1
Reumatologista,0
Meteorologista,0
781.632.495-28,1
Luthier,0
Técnico em radiologia,0
306.518.472-90,1
Notário,0
Saxofonista,0
831.427.596-46,1
745.962.803-47,1
679.048.135-48,1
109.768.543-84,1
071.684.239-40,1
034.965.821-89,1
Engenheiro de horticultura,0
810.936.274-50,1
Cartógrafo,0
902.387.641-50,1
265.304.179-07,1
Classificador contábil,0
648.075.293-74,1
Pianista,0
597.328.416-64,1
Construtor,0
Clínico geral,0
908.316.527-21,1
804.239.671-69,1
012.765.834-35,1
Jogador de vôlei,0
369.085.124-60,1
580.937.642-83,1
285.749.130-14,1
492.083.576-00,1
Químico farmacêutico,0
036.925.148-24,1
Oceanógrafo,0
Lutador de luta livre,0
Passador,0
683.471.520-71,1
327.895.416-55,1
Jornalista,0
471.629.835-37,1
374.162.089-04,1
Diplomata,0
284.061.593-24,1
467.893.025-65,1
983.271.640-31,1
Tecnólogo em silvicultura,0
869.450.217-85,1
Cadista,0
072.456.938-38,1
Delegado,0
352.187.960-77,1
120.384.965-60,1
Terapeuta Holístico,0
149.762.805-94,1
Pedagogo,0
462.871.350-26,1
468.937.150-48,1
901.824.357-41,1
802.715.649-11,1
204.673.985-00,1
Mergulhador,0
Técnico em segurança do trabalho,0
391.246.078-78,1
532.164.079-34,1
Investigador de Polícia,0
Brigadeiro,0
Luthier,0
Tecnólogo em papel e celulose,0
735.846.920-83,1
Técnico em aviação,0
Gerente de banco,0
Diretor de produção,0
924.670.358-83,1
196.427.583-00,1
Dublê,0
Ginasta rítmica,0
510.768.942-67,1
984.175.206-94,1
Cartazeiro,0
Serventuário,0
Produtor editorial,0
Conferente de recebimento,0
478.012.635-53,1
905.231.476-43,1
Desembargador de justiça,0
047.516.293-52,1
Corretor de seguros,0
Artista de circo,0
Cumim,0
531.602.894-51,1
Produtor editorial,0
Profissional de linguística,0
623.019.548-89,1
893.421.567-46,1
184.529.730-04,1
614.982.753-46,1
Arranjador musical,0
420.637.591-70,1
Radioterapêutico,0
345.768.901-66,1
398.204.156-24,1
148.267.903-50,1
963.840.251-24,1
Tapeceiro,0
Meteorologista,0
607.341.895-75,1
351.927.684-46,1
Piloto automobilístico,0
Lavador de veículos,0
724.189.053-14,1
625.349.180-60,1
836.127.509-68,1
Tecnólogo em tecnologia da madeira,0
Engenheiro mecatrônico,0
380.415.976-10,1
Engenheiro têxtil,0
Agente de combate à endemias,0
126.478.053-26,1
Promotor de eventos,0
107.528.693-02,1
543.891.027-88,1
317.980.246-40,1
Tecelão,0
309.276.145-61,1
Transcritor,0
Tecnólogo em negócios imobiliários,0
Guarda ou policial rodoviário,0
681.749.230-04,1
274.610.895-01,1
198.756.032-95,1
720.516.943-70,1
Pesquisador,0
Atendente,0
Cabeleireiro,0
035.416.798-75,1
Endocrinologista,0
190.357.264-99,1
405.629.837-83,1
982.310.645-24,1
345.068.712-35,1
Alergologista,0
985.376.104-10,1
Estivador,0
Sociólogo,0
714.032.695-99,1
539.067.821-40,1
Xilógrafo,0
Traumatologista,0
Profissional de relacionamento com investidores RI,0
Argumentista,0
691.832.540-05,1
806.423.751-35,1
Engenheiro de som,0
806.497.215-94,1
Odontologista preventivo e social,0
Engenheiro metalúrgico,0
Tecnólogo em irrigação e drenagem,0
524.708.391-14,1
356.072.418-07,1
Tecnólogo em desenvolvimento social,0
Brigadeiro,0
Biotecnólogo,0
354.629.807-10,1
586.290.431-05,1
Motorista,0
Faturista,0
Surfista,0
875.139.240-23,1
Guincheiro,0
265.891.073-86,1
865.273.190-02,1
316.879.520-86,1
Gestor de recursos humanos,0
Engenheiro de supply chain ou logística,0
Cartógrafo,0
Massoterapeuta,0
952.178.430-04,1
436.725.108-07,1
129.457.038-23,1
Clarinetista,0
907.652.438-65,1
Lutador de luta livre,0
Embalsamador,0
120.739.684-22,1
329.718.046-31,1
Cabeleireiro,0
Vendedor,0
739.026.458-65,1
Engenheiro físico,0
742.169.538-91,1
102.489.375-88,1
761.284.539-37,1
Nadador,0
Diretor de produção,0
Engenheiro de manufatura,0
Motofrete,0
Advogado,0
Catador de carangueijos,0
Judoca,0
Delegado,0
120.375.468-07,1
Leiteiro,0
Preparador de máquinas,0
047.916.325-16,1
Pintor,0
638.051.924-60,1
532.014.987-50,1
Piloto automobilístico,0
512.874.039-05,1
653.248.701-53,1
459.023.678-83,1
Contramestre em transporte marítimo,0
Lavador,0
260.837.145-08,1
913.028.546-15,1
061.497.238-87,1
Cenotécnico,0
Ventríloquo,0
587.013.964-39,1
089.465.712-76,1
298.754.106-67,1
Anestesiologista,0
Apontador de mão-de-obra,0
521.368.940-05,1
Físico,0
762.380.519-30,1
430.528.169-42,1
Guincheiro,0
462.371.058-08,1
728.091.635-02,1
974.208.315-05,1
790.654.128-67,1
462.705.193-06,1
Tecnólogo em Ciências das plantas medicinais,0
Guarda ou policial rodoviário,0
245.836.917-00,1
052.943.781-32,1
623.048.197-96,1
021.367.495-52,1
Ortoptista,0
174.589.036-00,1
765.801.924-02,1
395.417.208-97,1
948.503.276-56,1
Corregedor de justiça,0
Engenheiro de petróleo,0
456.721.398-09,1
085.691.473-84,1
589.403.216-42,1
725.109.836-95,1
Skatista,0
637.912.408-03,1
290.731.586-21,1
256.908.734-38,1
Ortopedista,0
Quitandeiro,0
Educador,0
845.972.106-01,1
Engenheiro de energia,0
Cabo,0
Militar da Aeronáutica,0
703.164.582-44,1
Endocrinologista,0
Matemático,0
Coach,0
490.153.268-51,1
815.260.394-51,1
Escoteiro,0
421.930.756-70,1
021.694.735-99,1
603.459.127-99,1
430.956.817-39,1
218.630.479-13,1
576.842.103-35,1
402.615.873-07,1
612.574.309-80,1
Odontologista legal,0
423.918.075-97,1
Engenheiro de horticultura,0
Mergulhador,0
075.824.931-41,1
803.129.546-89,1
Bedel,0
278.601.354-26,1
Geógrafo,0
617.804.523-90,1
713.284.095-97,1
Arquiteto,0
Engenheiro têxtil,0
832.790.651-86,1
Petroleiro,0
237.659.184-82,1
360.429.578-56,1
Astronauta,0
461.380.925-89,1
Corredor de atletismo,0
894.120.567-02,1
Operador de bombas,0
Manicure,0
257.681.390-95,1
984.057.612-76,1
Atleta de nado sincronizado,0
850.972.431-88,1
063.854.297-92,1
435.802.671-08,1
230.479.618-40,1
894.310.256-98,1
Auditor,0
Engenheiro civil,0
Psicomotricista,0
693.104.287-40,1
Administrador,0
016.729.854-20,1
019.678.523-59,1
Profissional de logística,0
Gerente de banco,0
Investigador de Polícia,0
754.963.081-00,1
Biblioteconomista,0
Tosador,0
248.170.356-17,1
Militar da Marinha,0
015.932.847-05,1
Escriturário,0
Caldeireiro,0
