Dado A,Dado B,Dado C,tipo do dado
Dr. Diogo Fogaça,2268927700267856,+55 (051) 4853-1868,1
Davi Lucas Viana,Android 5.0.1,Cabo,0
Luiz Henrique Souza,3597288084638687,(071) 6608-7717,1
Sarah Moreira,36755252973760,84 6609 2725,1
Laís Cardoso,5320215403096122,+55 21 9973 1638,1
Maria Alice Gonçalves,Android 2.3.1,Técnico em aviação,0
Srta. Ana Beatriz Castro,347133884118937,(071) 1879-5854,1
Fernando Silveira,180017864382417,+55 11 5872-2527,1
Marcelo da Conceição,6532693539457776,(051) 5375-7590,1
Sophia Carvalho,2716483094083192,+55 (061) 1472-5183,1
Pedro Miguel Melo,376666731292417,11 6558-6141,1
Gabriel Duarte,Android 3.2.6,Comerciante,0
Maria Alice da Cunha,Android 3.1,Somelier,0
Maitê Freitas,2266804272133901,(061) 3142-7947,1
Dr. Luiz Felipe Gonçalves,Android 4.1.1,Xilógrafo,0
Júlia Azevedo,180017349725370,(084) 6046 5397,1
Srta. Stella Peixoto,Android 4.0.4,Engenheiro agrônomo,0
Brenda da Conceição,Android 2.3.5,Chargista,0
Lara Aragão,180055551248095,+55 21 4850 5074,1
Sr. Luiz Henrique Monteiro,Android 10,Designer de produto ou desenhista industrial,0
Srta. Juliana Vieira,373487653266856,+55 41 1506 6233,1
Dr. João Vitor Campos,5430895084338302,71 9771-4832,1
Ryan da Conceição,Android 2.3,Pneumologista,0
Dra. Rafaela Pires,4406296776317568,0800-841-0754,1
Isaac Moreira,Android 4.4.2,Perfumista,0
Maria Cecília Azevedo,6509412907008684,(021) 8755 5121,1
Melissa Azevedo,Android 1.6,Cinegrafista,0
Marina da Cunha,4106025377050325,(031) 7962 5140,1
Maria Fernanda da Cunha,6503589533365632,+55 (071) 5946-3001,1
Dr. João Felipe da Rosa,Android 4.4.2,Tecnólogo em automação industrial,0
Ana Sophia Ribeiro,6011359298981162,+55 41 1520 3313,1
Srta. Lara Martins,Android 2.0.1,Salgadeira,0
Diogo Rezende,Android 7.1,Costureira,0
Danilo Martins,4109098014837583,0900-549-4602,1
Valentina da Rocha,3593150324386515,(061) 7702-0530,1
Maria Alice Santos,4569963478533187269,(031) 8147-0778,1
Evelyn da Rosa,Android 4.2.1,Veterinário,0
Lucas Castro,Android 5.0.2,Técnico de gesso,0
Ana Laura Almeida,Android 8.0.0,Educador integrado à saúde pública,0
Dr. André Novaes,6011927437044330,+55 (084) 8739 4684,1
Gabriela Castro,Android 2.3.5,Dublê,0
Samuel Caldeira,Android 5.0.1,Soldador,0
Ana Julia Oliveira,Android 2.3.5,Navegador,0
Dr. Gabriel Farias,4544909057874316354,(021) 7631 7004,1
Yuri da Paz,Android 4.0.4,Chefe de cozinha,0
Gabriel Moreira,3540401604425638,+55 51 2408 5060,1
Ana Laura Moreira,4343447989401550632,+55 31 7495-2641,1
Maria Fernanda Ramos,4223844234097974,84 9552 8693,1
Dra. Lara Souza,Android 1.1,Comandante,0
Cauã Pinto,377121603342543,+55 71 9345 5489,1
Vitor Pires,2299933088731623,+55 (084) 3880-7740,1
Catarina Freitas,5200697732247952,11 5163 4490,1
Sr. Noah Fernandes,Android 4.4.3,Pedagogo,0
Leonardo Almeida,Android 4.0.2,Piloto de avião,0
Pedro Henrique da Costa,4815762910705286,+55 (081) 5730 7480,1
Enzo Gabriel Pereira,Android 7.1.1,Moleiro,0
Isabella Fernandes,Android 8.0.0,Engenheiro acústico,0
Heloísa Dias,Android 1.5,Corredor de atletismo,0
Melissa Azevedo,Android 7.1.1,Engenheiro de aquicultura,0
Dra. Letícia Aragão,Android 7.1.2,Portuário,0
Carlos Eduardo Fogaça,Android 3.2.6,Arquiteto,0
Ian Vieira,Android 3.2.1,Revisor,0
Dr. Antônio Nascimento,3594894512941636,71 2583-2533,1
Dra. Brenda Souza,Android 3.2.2,Astrofísico,0
Lara Moura,2299439068932629,+55 51 1438 3437,1
Luana Duarte,371160436456829,+55 (061) 1321 4611,1
Thales Pinto,180011224958347,31 2979-6772,1
Valentina Viana,Android 3.2,Sapateiro,0
Lorenzo Sales,Android 2.3.4,Endocrinologista,0
Bruno da Rocha,Android 2.1,Biotecnólogo,0
Eduarda Jesus,Android 2.3.2,Senador,0
Marcela da Paz,Android 5.0.2,Auxiliar administrativo,0
Pedro Lucas Castro,Android 5.1.1,Caixa,0
Sofia da Rocha,3569886130818072,+55 (084) 5031 7386,1
Sra. Agatha da Mata,2289182981554177,41 2833-0441,1
Thiago da Mota,30021502502008,+55 (071) 5245-3976,1
Noah Lima,Android 4.0.3,Manicure,0
João Vitor da Rocha,676139003435,11 4181 5454,1
Manuela Costela,373241380002666,+55 41 7323 6507,1
Srta. Alice Mendes,4333847842592085,+55 (021) 8601-1015,1
Mirella Jesus,Android 1.6,Violonista,0
Natália Nogueira,3550468960039615,(021) 5626 1695,1
Sr. Matheus Pires,Android 10,Massoterapeuta,0
Juliana Ribeiro,Android 7.1,Pedagogo,0
Sr. Luiz Gustavo Rezende,Android 2.3.2,Militar da Marinha,0
Emanuel Cardoso,Android 2.3.3,Harpista,0
Davi Lucca Silveira,Android 2.3.3,Auxiliar administrativo,0
Maria Alice Monteiro,Android 2.3.2,Roteirista,0
Dr. Gabriel da Conceição,Android 11,Profissional de efeitos especiais,0
Luigi da Rocha,4899130447062259,31 1618-7285,1
Gustavo Henrique Correia,Android 2.0,Chaveiro,0
Lívia Vieira,6011933619353655,+55 (041) 6481 6990,1
Amanda Martins,Android 3.2.3,Educador,0
Pietro Cardoso,4885540941002,+55 31 8002-8249,1
Sr. Marcelo Ribeiro,Android 2.3.2,Guardador de veículos,0
Caroline Carvalho,Android 3.1,Fresador,0
Ana Ribeiro,3517509300077146,0900-159-8818,1
Clarice da Rocha,Android 5.0.1,Cadista,0
Luana Fernandes,6541287352868364,+55 71 1124-1757,1
Anthony Fogaça,Android 2.3.1,Atleta de arremesso de peso,0
Cauê Moreira,Android 2.2.2,Ascensorista,0
Lucas Gabriel Fernandes,4687317313796856,+55 81 0049-1938,1
Kamilly da Costa,Android 1.5,Infectologista,0
Luigi Sales,Android 1.6,Presidente da República,0
Maitê Gonçalves,Android 2.3.5,Lutador de jiu-jitsu,0
Helena Porto,30493448946823,+55 71 9958 8138,1
Maria Sophia Rocha,4610713571539,+55 21 9608-0342,1
Diego das Neves,Android 9,Ministro,0
Ana Sophia Aragão,2268792406020243,+55 41 6345-1082,1
Mariana Costela,Android 5.0.1,Caça-talentos/Olheiro,0
Luiza Castro,4434253466407056,+55 84 3184 1016,1
Bianca Araújo,Android 4.4.4,Comissário de bordo,0
Ana Julia Mendes,Android 3.2.3,Protesista,0
Luna Gomes,676327816259,41 8408 7796,1
Nicolas Lima,Android 1.5,Florista,0
Ian Farias,4508777588226325630,+55 (041) 0071 2521,1
Luiz Otávio Aragão,Android 2.0.1,Epidemiólogo,0
Pedro Correia,Android 4.0.3,Marceneiro,0
Diogo Correia,Android 4.2.1,Turismólogo,0
Pedro da Rocha,Android 4.0,Peixeiro,0
Davi Lucas Monteiro,2236941612806882,51 4725 3804,1
Levi Sales,Android 5.0.1,Engenheiro civil,0
Sofia Moura,Android 7.0,Senador,0
Luiz Miguel Martins,Android 1.5,Lutador de taekwondo,0
Gustavo Henrique Jesus,4022364793999261209,0500 001 7178,1
Diogo Santos,Android 2.3.4,Antropólogo,0
Maria Clara Souza,4286041423279,61 0600 0754,1
Sr. Luiz Felipe Dias,2256807193719155,(041) 1968-9017,1
Carolina Azevedo,3533745178470803,+55 21 1746-2649,1
João Lucas Porto,3536806631367478,21 2593-5429,1
Julia Pires,4166410432219834961,0900-946-0790,1
Igor Barbosa,Android 8.1.0,Radioterapêutico,0
Luiz Otávio Rodrigues,Android 9,Judoca,0
Alexandre Moura,4001281619209,+55 51 4770 9244,1
Sr. Thiago Nogueira,373460360433929,0800 470 7347,1
Dr. Emanuel Porto,Android 4.4.1,Diagramador,0
Francisco da Rocha,38287270513806,+55 (021) 8725-8331,1
Olivia Costa,3575541786292542,0800-079-8410,1
Pedro Lucas Costela,Android 7.0,Moldureiro,0
Ana Vitória Nascimento,Android 3.2.1,Embalsamador,0
Helena da Cunha,Android 2.3.3,Major,0
Miguel das Neves,4519917946407,+55 41 8330-9407,1
Juliana Nogueira,Android 6.0,Acupunturista,0
Eduardo Cavalcanti,3575150458101385,+55 81 2426 5026,1
João Vitor da Paz,Android 2.2,Modelista,0
Enrico Gonçalves,Android 2.0.1,Baterista,0
Eloah Mendes,584000248735,0900-526-9835,1
Ana Carolina da Cunha,Android 1.5,Arquiteto,0
Olivia Dias,2225442080930232,0800-923-1298,1
Sra. Ana Carolina da Cruz,Android 7.1.2,Profissional de linguística,0
Emanuella Dias,340708924315986,0900-997-3200,1
Bryan da Cruz,2387907334996555,(021) 8104 1425,1
Dr. Luiz Gustavo Alves,Android 2.3.5,Biblioteconomista,0
Sophia Silva,Android 5.1,Prático,0
Sophia Barbosa,5574867907433830,11 7439 6008,1
Luiz Fernando Souza,180046478908978,41 6356 3046,1
Vitor Gabriel Sales,Android 3.2.4,Paisagista,0
Vitor Silva,4292238186755497,+55 31 8786-0428,1
Nina das Neves,30181975774458,+55 81 7933-3957,1
Matheus da Mota,375035409697151,0800-415-2881,1
Lívia da Rocha,4070819646319814240,0900 584 3102,1
Maria Luiza Peixoto,3514952755677502,+55 (021) 1794 7261,1
Luiz Miguel Moura,38709526614955,(041) 7413 8085,1
Natália Gonçalves,6502262022283044,+55 (061) 8060-4542,1
Ana Vitória Gomes,3567149275487431,0900-590-9466,1
Diego da Cunha,4949951652241721209,31 6620 4656,1
Fernando Cardoso,Android 4.3.1,Bombeiro,0
Catarina Fernandes,Android 2.3.1,Entalhador,0
Júlia Alves,4745700122928978,(051) 1301 6869,1
Arthur Pires,3510140879300300,+55 31 3128-9444,1
João Felipe da Mota,30536642828799,+55 (011) 9607-6175,1
Sr. Joaquim Vieira,Android 2.3.1,Torneiro mecânico,0
Laura da Mota,Android 3.0,Quitandeiro,0
Marcos Vinicius da Mata,6011271513956137,+55 61 2211 3231,1
Sra. Juliana Oliveira,Android 4.1,Nutrologista,0
Ana Julia Lopes,Android 4.2.1,Rebarbador de metal,0
Pedro Lucas Lopes,180056452534096,11 8269 1866,1
Luiz Gustavo Alves,6509483646022229,+55 (031) 8576-6687,1
Diogo Santos,Android 4.3.1,Geógrafo,0
Lara Souza,Android 2.2.1,Produtor de eventos,0
Murilo Alves,Android 5.1,Engenheiro de aquicultura,0
Enrico Carvalho,6580672083636903,0900 562 3596,1
Srta. Raquel Santos,Android 4.1.2,Tradutor,0
Alexandre Porto,Android 4.4.3,Engenheiro mecatrônico,0
Matheus Cunha,Android 2.3,Fisioterapeuta,0
Yuri Nogueira,38867957353814,+55 (021) 1279-5277,1
Maria Clara Viana,3501816603646792,+55 (011) 0876-9899,1
Sra. Carolina Gonçalves,Android 4.1,Tecnólogo em esporte e lazer,0
Sophia Araújo,Android 1.1,Servente-de-obras,0
Carolina da Rosa,6011160644613669,71 9667-4554,1
Sr. Luiz Felipe Barros,Android 7.0,Protesista,0
Bruno da Rocha,Android 1.5,Gastroenterologista,0
João Lucas Teixeira,Android 4.2.2,Operador de bombas,0
Joaquim Freitas,36485449318444,0500 107 9135,1
Nicole Nascimento,Android 7.1.1,Atleta de tiro com arco,0
Sr. Luiz Henrique Cardoso,Android 4.2,Embaixador,0
Raul Sales,4785358804158029780,61 9958 9602,1
Sabrina Pereira,Android 4.0.2,Engenheiro agrícola,0
Maria Cecília Azevedo,Android 7.1.1,Assistente de produção,0
Sra. Ana Beatriz Jesus,4395141316270876360,71 8442-2865,1
Ian da Cunha,Android 3.0,Oficial de justiça,0
Kevin da Paz,060479049599,(084) 7577 7878,1
Leandro Martins,4072149157545807,(061) 3804 0182,1
Antônio Silva,3598648001930385,(031) 4047-4214,1
Matheus Ramos,Android 4.4.1,Lanterneiro,0
Esther Nascimento,Android 4.0.2,Auditor,0
Stephany Campos,2289351557559452,(071) 0588 9868,1
Emilly Peixoto,Android 7.1,Gestor público,0
Emilly Carvalho,Android 4.4.3,Promotor público/de justiça,0
Pietra da Cruz,Android 4.0.3,Fonoaudiólogo,0
Sr. Guilherme Nunes,213121405382919,41 9919-3952,1
Vitor Pires,4961710855131002,+55 (031) 9516-0206,1
Dr. Augusto Novaes,3540419082559637,41 3080 3177,1
Sra. Ana Clara da Mota,Android 8.0.0,Mãe social,0
Nicolas Viana,Android 3.2.1,Administrador,0
Dr. Gustavo Henrique Gonçalves,4566291164875851,0800 911 3284,1
Joaquim Lopes,377711545589209,(084) 3607 2825,1
Brenda Viana,Android 7.1.2,Subprefeito,0
Dr. Noah das Neves,Android 4.2,Tecnólogo em desenvolvimento social,0
Daniela Farias,Android 7.1.2,Agente funerário,0
Vitor Hugo da Paz,Android 2.2.1,Compositor,0
Sra. Julia da Cunha,4598869981085978,41 6449-0787,1
Sr. Eduardo Peixoto,Android 2.3.7,Patologista,0
Otávio Fernandes,4480515372473999,0900 446 4666,1
Agatha Azevedo,Android 3.2.5,Embalsamador,0
Pedro Lucas Gomes,579370441290,+55 31 7955-8175,1
Heloísa Melo,Android 1.0,Agente funerário,0
Thales Ramos,6563976951111035,41 2974-7016,1
Srta. Pietra Cavalcanti,4576955764696,+55 (081) 1389 5650,1
Yasmin Silveira,Android 4.3.1,Oftalmologista,0
Francisco Araújo,Android 4.0.1,Tecnólogo em irrigação e drenagem,0
Sra. Maria Clara Almeida,Android 5.0,Agente de viagens,0
Lavínia Viana,Android 8.1.0,Físico nuclear,0
Srta. Letícia Campos,Android 2.3.1,Cenotécnico,0
Lavínia Souza,Android 11,Gestor de tecnologia da informação,0
Fernanda Martins,30075455408472,0300-141-1831,1
Bryan Moreira,4850485303140590,(051) 4173 5118,1
Alana Araújo,Android 5.1.1,Jogador de boliche,0
Marcela Duarte,213106690012305,(084) 4907 9229,1
Ana Luiza Mendes,Android 2.3.3,Headhunter,0
Daniela Cavalcanti,30064340826239,11 5787-2275,1
Miguel Ramos,Android 2.3.6,Editor de mesa de corte,0
Emilly da Mata,Android 3.2.5,Anestesiologista,0
Emanuelly Duarte,Android 3.2.4,Jogador de badminton,0
Sophia Nogueira,Android 1.0,Alergologista,0
Juliana Monteiro,4616069714602512801,+55 71 8367-8080,1
Luiz Fernando Costa,349037709601696,71 3053-0154,1
Yasmin Moraes,6011984568189061,+55 (084) 7246 8350,1
Guilherme Viana,Android 4.0.3,Peixeiro,0
Breno Sales,3513555639205985,0300-805-2721,1
Kevin da Conceição,Android 1.6,Investigador de Polícia,0
Benjamin Caldeira,3581532034765746,0500 412 3426,1
Samuel Almeida,Android 8.0.0,Delegado,0
Ana Júlia Ramos,Android 4.1.2,Trilheiro ou músico de cinema,0
Sr. Vitor Hugo Rezende,Android 10,Nutricionista,0
Luna Correia,Android 2.0.1,Pedagogo,0
Juliana Silveira,Android 4.0.3,Amolador de ferramentas,0
Dr. Daniel da Luz,Android 7.1.2,Clarinetista,0
Bárbara Almeida,675936317444,(081) 8738 5051,1
Helena Rezende,Android 5.1.1,Jardineiro,0
Cauê Martins,Android 1.1,Revendedor,0
Manuela Mendes,Android 7.1.2,Berçarista,0
Thiago Dias,3561979075464107,+55 (041) 6822-4859,1
Felipe Dias,3543040209892037,+55 61 8780-2044,1
Carlos Eduardo Moura,Android 4.4.3,Profissional de relações internacionais,0
Mirella Farias,Android 1.5,Profissional de marketing,0
Fernanda Castro,Android 1.0,Impressor,0
Marcos Vinicius Fogaça,4260864445917,+55 (031) 1422-3652,1
Arthur da Conceição,Android 3.2,Pesquisador,0
Vitor Hugo Lima,Android 4.1.2,Engenheiro de iluminação,0
Theo Nogueira,Android 11,Hostess,0
Rebeca Nascimento,Android 4.4,Somelier,0
Maitê Rezende,4970821790222407,71 1052-5343,1
Larissa Azevedo,Android 9,Datilógrafo,0
Luiz Fernando Dias,4724240805243,(011) 8672 0531,1
Bárbara Ferreira,377482885563432,(084) 5559 2318,1
Valentina Novaes,Android 6.0.1,Designer de interiores,0
Bernardo Souza,3536029974862043,+55 (084) 5129 1741,1
Ian Cavalcanti,Android 4.4.4,Jogador de handebol,0
Ryan Cavalcanti,30283563300520,51 8093 0141,1
Alexandre Nascimento,Android 4.0.1,Cadista,0
Luiz Otávio Fernandes,4423938387253523052,(061) 6532 2219,1
Caroline Cardoso,Android 4.0.1,Cadista,0
Juan Moraes,4718833222090179876,(051) 9740-5237,1
Benjamin Castro,Android 4.2,Armeiro,0
Isabel Jesus,4206783548660032657,(051) 2570-8948,1
Mariane Castro,Android 4.4.4,Corregedor de justiça,0
Dr. Carlos Eduardo Moreira,2703848323598704,+55 (011) 6578-4564,1
Esther Alves,Android 5.0.2,Engenheiro de alimentos,0
Luiz Miguel Lopes,Android 1.6,Programador,0
Srta. Ana Laura Moreira,Android 4.3.1,Juiz de direito,0
Dr. Marcelo da Paz,4316288695691815480,0900 408 7492,1
Vinicius Teixeira,3543684359553921,+55 (061) 2211 4646,1
Calebe Nogueira,4924199859163,+55 81 0593-9909,1
Matheus Fernandes,2229086330778408,+55 (051) 9642-7417,1
Lorena da Cruz,3529191011950634,+55 11 3735 5238,1
Sarah Teixeira,630484920594,+55 (081) 0616-4444,1
Henrique Cardoso,502077566243,71 1153-7556,1
Natália da Rosa,4414861468821873862,84 7374 7050,1
Otávio Ribeiro,Android 4.4.1,Cobaia Médica,0
Isabella Barros,4702585078553966,0300-353-7914,1
Benício Pinto,30523729021027,+55 (031) 8041 1358,1
Dr. Augusto Freitas,2494439625432744,+55 (041) 3954-7919,1
Marcela Cunha,30369410696838,+55 (061) 8789-8457,1
Luiz Fernando Silveira,060441849688,+55 31 7906-7890,1
Lucca da Luz,379075919887195,+55 84 3490 4574,1
Heitor da Rocha,Android 4.4.2,Vendedor,0
Evelyn Cunha,Android 10,Escriturário,0
Emanuella Costa,Android 4.0.4,Auditor,0
Dra. Sabrina Viana,2266213608578203,+55 (071) 7453-7382,1
Laura Rocha,Android 1.0,Agente de viagens,0
Vinicius Jesus,Android 3.2.5,Judoca,0
Agatha Santos,Android 4.4.2,Boticário,0
Sr. Lucas Nascimento,4231385569725,81 3747 7055,1
Srta. Ana Júlia Cardoso,Android 1.1,Broker/Corretor da bolsa de valores,0
Ana Laura da Luz,Android 2.2.1,Lixeiro/Coletor de lixo,0
Isaac Oliveira,4207320395756,+55 (021) 4945 5240,1
Alexandre Pires,Android 4.4.4,Cadeirinha,0
Leandro Vieira,Android 5.0.2,Engenheiro de alimentos,0
Clara Peixoto,Android 5.0.2,Caça-talentos/Olheiro,0
Milena Barros,3510196107945456,+55 11 2403 0508,1
Srta. Bruna da Cruz,2224101267560433,+55 (011) 1725 7442,1
Lívia Correia,3528609424963952,+55 (031) 8780 0449,1
Murilo Moura,Android 6.0.1,Instrumentador cirúrgico,0
Eduarda Rodrigues,3567828519145398,(081) 0354-2557,1
Dr. Gustavo Henrique Rocha,30537492677534,0300-477-2202,1
Dr. Igor Cardoso,Android 4.1,Roteirista,0
Paulo Cardoso,Android 2.2,Intérprete e tradutor de língua de sinais,0
Lorenzo da Mota,060489988836,+55 (021) 4946-0296,1
Srta. Alexia da Paz,Android 1.5,Pastilheiro,0
Sofia Costa,Android 2.3.7,Carnavalesco,0
Mariane Freitas,4454187940766712845,(051) 5913-7323,1
Luana Mendes,5256447228008960,+55 61 2454 6282,1
Luiz Miguel Cavalcanti,213162782773262,+55 (051) 1915 9286,1
Otávio Gonçalves,180092031815391,0500-569-6284,1
Valentina Aragão,213146811634918,+55 (021) 1529-4063,1
Bianca Martins,Android 3.2.4,Engenheiro de horticultura,0
Maria Fernanda Nascimento,4063793399328760,31 2375 2136,1
Isadora da Paz,Android 4.3,Designer de moda,0
Alexia da Paz,Android 3.2.4,Sonoplasta,0
Matheus Araújo,4173184573435,0300-714-6014,1
Laís Correia,6011767609215866,31 7929-4684,1
Bernardo Freitas,Android 4.0.2,DJ,0
Fernanda Almeida,Android 6.0.1,Regente,0
Antônio Pinto,4390636088180,+55 (051) 6891-6946,1
Daniela Costela,Android 3.2,Regente,0
Beatriz Porto,3567683494916556,+55 (061) 5986-7214,1
Maria Clara Jesus,36499241600065,+55 71 6197 5364,1
Elisa da Paz,Android 6.0.1,Atleta de canoagem,0
Dra. Bruna Farias,589600773826,+55 (011) 5889-9477,1
Natália Martins,2233394591987781,+55 (051) 1905-9906,1
Laura Cardoso,2240702188594748,+55 (051) 5124 1808,1
Eduarda Duarte,38379406571541,+55 81 6789-2940,1
Olivia Costela,Android 2.2.2,Neurologista,0
Stephany Duarte,Android 4.3.1,Produtor fonográfico,0
Noah Peixoto,676347497536,+55 71 1087-7008,1
Isadora Mendes,4581401354247834,+55 11 5769 8637,1
Ana Clara da Paz,4405558708954987,(061) 9576-2893,1
Henrique Barros,213183803805412,(084) 2754 8367,1
Samuel Barros,4789041965585923104,+55 51 1837 0963,1
Isaac Farias,6011256150763623,+55 (031) 1563 9594,1
Fernanda Alves,4240988683154957,0300 670 3129,1
Ana Clara Castro,Android 4.2,Geradorista,0
Levi Oliveira,213155824953751,+55 (011) 7723 3264,1
Dra. Maria Eduarda Cardoso,Android 3.0,Jogador de tênis de mesa,0
Erick Ribeiro,Android 2.3.7,Viveirista,0
Caroline da Rosa,Android 4.0,Bartender,0
Sr. Lucas Fogaça,4803631253047,0300-717-7118,1
Sophie Castro,676231804490,(061) 1073-9305,1
Alexia Azevedo,Android 5.0.1,Químico,0
Marcos Vinicius Campos,30186566087129,0500-279-2273,1
Helena Rezende,Android 3.2.3,Tecnólogo em processos químicos,0
Srta. Melissa Cardoso,Android 3.0,Odontologista preventivo e social,0
Letícia Porto,Android 4.4.1,Degustador,0
João Pedro Souza,Android 1.6,Lactarista hospitalar,0
Daniela Santos,4991987396420052,84 5551 3249,1
Alana Lopes,Android 2.3.5,Ferreiro,0
Laura Barbosa,6536713803470481,+55 (051) 1282-6392,1
Diogo Duarte,Android 1.5,Médico geneticista,0
Camila Silva,4270130205135114,+55 51 2637 8115,1
Dr. Luiz Otávio Carvalho,213187563063476,+55 61 3720-1830,1
Thales Azevedo,Android 4.2.2,Dermatologista,0
Isabel Mendes,Android 2.0.1,Assistente de produção,0
Felipe Carvalho,Android 7.1.1,Pneumologista,0
João Gabriel Melo,Android 2.3.3,Jornaleiro,0
Isaac Silveira,Android 4.4,Corretor de seguros,0
Enrico Viana,4825534040189,+55 (084) 5306-8743,1
Leandro Teixeira,Android 4.1.1,Personal stylist,0
Luna Ramos,Android 2.2.3,Artesão,0
Davi Nascimento,676142071882,+55 81 0215-8105,1
Julia Ramos,Android 4.3.1,Cerimonialista,0
Luiz Miguel Cardoso,3561915533277269,31 8155-4327,1
Marcela Costa,30200123710824,(041) 9563 4856,1
Luiz Henrique Nascimento,180033841080131,21 1962-1911,1
Dr. Antônio Ramos,Android 4.2.2,Recreador,0
Mariane Moreira,Android 3.2.1,Astrofísico,0
Lucca Rezende,3582178338369212,(011) 0835-7792,1
João Rodrigues,377949453361266,(041) 7799 7923,1
Nicolas da Luz,4873992351169,(041) 5224 1948,1
Alana Campos,6011565695516555,+55 (021) 3883 3441,1
Isabelly Lima,Android 10,Obstetra,0
Alícia Porto,213110372789693,(061) 6895-8603,1
Levi Costela,Android 3.0,Dialoguista,0
João Guilherme Nunes,Android 5.1.1,Aviador,0
Miguel Melo,4595316723233212,+55 (071) 9321 5344,1
Levi da Mata,4687504754490,61 8526 1017,1
Letícia Moreira,Android 2.3,Seringueiro,0
Rafael da Rocha,Android 5.0.2,Capoeirista,0
Alana Peixoto,4337644214415,(051) 8694-3364,1
Dr. Carlos Eduardo das Neves,4946996995559288730,31 3254-6519,1
Bruno Castro,676344008682,+55 31 4295-8716,1
Maysa Viana,4383001383997,(071) 4909-7987,1
Dra. Sophie Lima,Android 3.2.6,Cobrador de ônibus,0
Otávio Sales,4120514509189467450,+55 (011) 3273 5067,1
Danilo da Rosa,4107530272913732,+55 (021) 3108-9227,1
Leonardo Costela,Android 2.3.7,Ferramenteiro,0
Catarina da Paz,Android 4.2,Ginasta artística,0
João Felipe Pereira,4311367696199,+55 (084) 4032 2188,1
Isadora Freitas,4381234671443097,0900 451 9509,1
Sra. Isis Ribeiro,Android 4.4.1,Profissional de comércio exterior,0
Sofia Martins,3515978280670695,(011) 3050 7274,1
Clara Novaes,4677761609208943009,0500-929-6720,1
Raul da Mata,349726974975229,0500-803-5370,1
Davi Luiz Lima,4893428894043517,+55 (084) 7144-2739,1
Bianca Barbosa,4617034168430342,+55 (041) 7850 0709,1
Rodrigo Carvalho,30301203815267,61 9756 1262,1
Eduardo Pires,Android 4.1.1,Agente de defesa sanitária animal,0
Sr. Arthur Ferreira,Android 4.3,Marketeiro,0
Bernardo Cavalcanti,4648832609541699,31 8720 5528,1
Sr. Carlos Eduardo Correia,630413820634,(021) 2933 8559,1
Theo da Paz,Android 3.2.3,Técnico em edificações,0
Bernardo da Rocha,060422580419,0800-219-3804,1
João Vitor das Neves,Android 4.0,Terapeuta Holístico,0
