Dado A,Dado B,Dado C,tipo do dado
Enzo Gabriel Aragão,Android 3.2.5,Aeroviário,0
Maitê das Neves,Android 11,Compositor,0
Yago Ribeiro,377415096832725,+55 61 6614 0468,1
Maria Cecília Sales,Android 4.2.2,Engenheiro naval,0
Noah Campos,Android 3.1,Funileiro,0
Nicolas Nogueira,Android 2.3.5,Gourmet,0
Kevin Viana,Android 6.0,Consultor de radiestesia,0
Sr. Luiz Henrique Fogaça,Android 2.0.1,Nutrologista,0
Luiz Miguel Mendes,675922455950,(041) 6070 0972,1
Isis Farias,Android 2.0,Contador,0
Ian Alves,Android 5.1.1,Coach,0
Bárbara Aragão,Android 2.3,Maitre,0
Agatha da Costa,2295160690572351,+55 (011) 3052-0649,1
Isis da Paz,Android 3.2,Notário,0
Sra. Isabel Cavalcanti,Android 4.0.1,Gandula,0
Paulo Silva,Android 4.0,Endodontista,0
Yago da Cunha,Android 4.0.2,Catador de material reciclável,0
Sra. Milena da Mata,Android 3.1,Gerente de vendas,0
Sr. Enzo Gabriel Cavalcanti,Android 7.0,Jangadeiro,0
Luiza Novaes,6011818562506559,+55 31 9052-6315,1
Maria Clara Carvalho,Android 5.0.2,Dublê,0
Enzo Gabriel Peixoto,3576040178543249,0900-602-0178,1
Maria Luiza Peixoto,577024580158,+55 (011) 8600 9251,1
Pietra Rezende,Android 2.3.7,Escultor,0
João Miguel da Rocha,4041521871087787,(031) 4593-1547,1
Augusto Sales,6011750820995532,+55 (041) 6102-9080,1
Sr. Cauã Monteiro,3558454211445662,+55 61 1171-3622,1
Matheus da Rocha,4513136914287465501,+55 51 8164 9542,1
Clarice Campos,4575672467775923,0800 869 0316,1
Lorena da Rosa,Android 2.3,Embalsamador,0
Rafael Moura,Android 4.2.2,Engenheiro industrial,0
Alícia Monteiro,371898908795329,+55 81 7635 8863,1
Benício Farias,Android 3.1,Porteiro,0
Marcela Silva,Android 7.1.2,Gestor ambiental,0
Ana Lívia Cardoso,Android 8.0.0,Odontopediatra,0
Gabrielly Carvalho,3543281243848789,(041) 9484 6420,1
Elisa da Conceição,676220831397,+55 31 5710-4995,1
Arthur da Cunha,3557196693743756,0500-427-9279,1
Luiza Ramos,2237065581897547,31 3860-6508,1
Bryan Porto,4259687257561989,+55 21 8751 7781,1
Carlos Eduardo Campos,Android 7.1,Salva-vidas,0
Yuri Farias,Android 7.1.1,Cumim,0
Lorena Pinto,4785248161663289,0500 277 3817,1
Gabriela da Cruz,180077606141950,31 5339 9034,1
Letícia Sales,3515570726257565,(011) 8464 4460,1
André Duarte,4396578438424,+55 71 2678 9285,1
Sr. Diogo Duarte,3534791624404292,+55 (021) 9526-9506,1
Kaique Dias,Android 2.0,Corretor da bolsa de valores,0
Julia Almeida,36137121939779,+55 (041) 6183-2925,1
Lorena Ferreira,370450339454380,84 0593 1174,1
João Lucas Nogueira,Android 10,Naturólogo,0
Igor Santos,Android 4.1.2,Bombeiro,0
Maria Eduarda Lopes,2378591025283365,51 6555 6587,1
Cauê Souza,Android 2.1,Administrador público,0
Ana Luiza Silveira,Android 2.2,Office-boy,0
Ana Clara Pinto,Android 4.3.1,Engenheiro de iluminação,0
Gabriel Silveira,3574373607436145,(011) 4614 4253,1
Vitor Gabriel da Luz,345818028250172,+55 (071) 8225 1234,1
Vitor Melo,4867080707917130,61 2241 4852,1
Dra. Heloísa Nunes,6559300317602643,(081) 8774-5927,1
Lorena Gonçalves,6530040077527259,(021) 8220-8467,1
Sra. Isabel Nogueira,Android 1.1,Impressor,0
Vinicius Melo,Android 2.3.4,Separador,0
Stella Rodrigues,2676305687469561,61 5645-1401,1
Antônio Pereira,6011959821635134,71 1288 0513,1
Sr. Carlos Eduardo Souza,Android 1.1,Contabilista,0
Diego Nascimento,Android 4.0,Oceanógrafo,0
Nicole Araújo,38401420604411,(084) 2283 2063,1
Maria Azevedo,Android 2.3.6,Saxofonista,0
Henrique da Costa,Android 2.0.1,Mágico,0
Ana Monteiro,501890085878,+55 11 0696-5437,1
Isabella Azevedo,5134637369335853,+55 31 3946-1435,1
Vitor Hugo Cardoso,Android 10,Entalhador,0
Eduarda Gonçalves,639075367685,+55 81 8227 8088,1
Nicolas Azevedo,Android 9,Tecnólogo em jogos digitais,0
Enzo da Paz,4914528589422144124,(011) 3848 8803,1
João Gabriel da Cruz,Android 4.0.1,Broker/Corretor da bolsa de valores,0
Ana Carolina Novaes,Android 3.2.4,Coronel,0
Valentina da Conceição,587790334441,+55 (011) 6803-7418,1
Stephany Costa,349595009929992,(071) 5471-6332,1
Ana Júlia Barros,Android 4.1.1,Optometrista,0
Lucca Azevedo,Android 4.3.1,Contabilista,0
Sr. Leonardo Silveira,213109508184464,+55 (051) 1137 9627,1
Maria Cecília da Mota,4017414447396306,+55 (021) 7440-1462,1
Sra. Isadora Jesus,Android 6.0,Ecólogo,0
Alícia Pires,Android 9,Profissional de hotelaria,0
Brenda Almeida,Android 7.1,Cabeleireiro,0
Matheus da Mata,4330800760171039,+55 (021) 8787 9845,1
Dr. Davi Lucca Novaes,675940038051,(011) 4628 0724,1
Dr. Otávio Castro,Android 3.2.5,Assistente social,0
Natália Nascimento,Android 7.1.2,Alpinista,0
Lavínia Barbosa,Android 5.0.2,Tapeceiro,0
Breno Correia,342415193564009,+55 31 7065 5336,1
Bryan Caldeira,Android 4.4.1,Secretária,0
Dra. Joana Souza,6011224189577539,+55 21 3241 6106,1
Larissa Moreira,4526136794992601,(084) 3787 8194,1
Benício Martins,2293090401037745,+55 (081) 0800 3524,1
João Vitor Almeida,Android 5.0.2,Caça-talentos/Olheiro,0
Diogo Alves,502041435368,0900 522 5094,1
Pedro Miguel Ribeiro,Android 4.3.1,Office-boy,0
Eduarda Cavalcanti,6011836617739991,+55 61 9421 5361,1
Nicole Monteiro,3508747510919761,11 4858-9827,1
Maria Vitória da Paz,Android 2.3.7,Endodontista,0
Clarice Cavalcanti,Android 2.3.6,Policial militar,0
Pietro da Conceição,3588387848179383,+55 (084) 5301 8352,1
Dr. Leandro das Neves,Android 5.1.1,Ufólogo,0
Diogo Nunes,Android 2.2.3,Construtor,0
Bryan da Rosa,Android 2.3.2,Soldador,0
Evelyn Vieira,Android 4.2,Lutador de karatê,0
Kevin Barbosa,Android 4.1.2,Tecnólogo em papel e celulose,0
Francisco Lima,30091408912114,(084) 0383-5508,1
Sr. Nathan Teixeira,Android 4.4.2,Perito judicial,0
Diogo Costa,Android 2.3.3,Separador,0
Breno Ferreira,3547201317159349,11 1157-9923,1
Sra. Ana Julia da Conceição,Android 3.1,Guarda roupeiro,0
Vinicius Costela,Android 4.4.1,Maitre,0
Natália Alves,Android 5.0,Nefrologista,0
Helena Pires,4356382771840987909,(084) 7018 5270,1
João Felipe Pinto,Android 3.2.1,Orçamentista,0
Benício da Mata,Android 3.2.2,Cabeleireiro,0
Isadora Nogueira,6502957698202216,0900 818 4191,1
Laís Jesus,6011787473806947,(081) 5918-6350,1
Lucca Lopes,4234104553600595965,+55 61 2228 0735,1
Dr. Murilo Teixeira,Android 3.2.2,Motofrete,0
Eloah Cavalcanti,Android 4.4,Técnico de gesso,0
Evelyn Fogaça,Android 6.0,Psiquiatra,0
Isabella Pinto,Android 9,Paisagista,0
Yuri Carvalho,4414227921943826,0500-460-3374,1
Dr. Gustavo Costela,Android 2.3.2,Gerente de vendas,0
Maria Sophia da Mata,Android 4.2.2,Protético dentário,0
Rafael Campos,Android 4.0.2,Vigia parlamentar,0
André Lopes,3596056430647350,+55 (011) 2610-3250,1
Júlia Carvalho,Android 3.2.1,Árbitro e mediador,0
Enzo Gabriel Nunes,371529900426544,+55 71 4643 9343,1
Dr. Rodrigo Nascimento,4599427847501,0900 138 9343,1
Marcela Carvalho,371836172148171,84 8661 4871,1
Natália Ramos,3578094379112575,84 5504-0556,1
Camila da Mota,Android 5.0.1,Escrivão,0
Leonardo da Paz,2700604827215714,+55 61 4992 0290,1
Igor Fernandes,3541046032948757,(031) 1269-9397,1
Bárbara Mendes,Android 4.2.1,Produtor de eventos,0
Gabrielly Correia,Android 3.2.3,Lutador de jiu-jitsu,0
Mirella Nascimento,Android 3.2.1,Engenheiro de materiais,0
Thiago Campos,Android 2.2.2,Copeiro,0
Francisco Porto,4391390792209037,(051) 6191-8007,1
Júlia Moura,Android 2.3.2,Jogador de bocha,0
Davi Luiz Souza,Android 4.3.1,Conferente de recebimento,0
Dr. Yago da Mota,Android 5.1,Bancário,0
Dr. Davi da Luz,Android 3.1,Nutrologista,0
Fernando da Rosa,347510621536499,+55 (031) 7807-8181,1
Dr. Yago Aragão,4200997429919779,41 9153 4235,1
Felipe Farias,6011721868868600,51 1867 8786,1
Julia da Mata,3587275311084647,+55 (051) 6845 7671,1
João Gabriel Peixoto,Android 5.0.2,Trompetista,0
Nicole Dias,3530113467070870,+55 (031) 2114 8491,1
Letícia Nogueira,Android 2.3,Nutrologista,0
Vinicius Araújo,4584837382526243290,+55 61 7053 9888,1
Isaac Farias,Android 5.1,Patologista,0
Luiz Gustavo Moraes,Android 4.0.3,Gerente de riscos em seguros,0
Camila Lopes,Android 4.1.1,Empacotador,0
Ana da Mata,4131177807441774522,0800 197 9586,1
Calebe Rocha,213160520600730,41 0638 1213,1
Sra. Heloísa da Mota,Android 5.1,Patologista,0
Luiza Peixoto,4733174212078508838,+55 (061) 2216-1685,1
Maria Clara Azevedo,676362735547,+55 71 7786-4320,1
Alexandre Rocha,Android 5.0,Dogueiro,0
Thiago Dias,Android 2.0,Engenheiro mecânico,0
Ana Lívia Moraes,Android 3.2.1,Tecnólogo em automação industrial,0
Emilly Correia,Android 2.3,Ambientalista,0
Ryan Oliveira,Android 2.3.5,Cientista de alimentos,0
Manuela da Rocha,4161797651271569,0300 720 5966,1
Sra. Maria Cecília Vieira,Android 10,Biblioteconomista,0
Isadora da Mata,Android 2.3.5,Motofrete,0
João Felipe da Cruz,Android 4.4.4,Vereador,0
Srta. Helena Campos,Android 8.0.0,Profissional de logística,0
Sr. Renan da Costa,4449042750062874966,(031) 0353 6758,1
Miguel Cardoso,3514441500672745,11 1584-4093,1
Srta. Daniela Ramos,676355693570,+55 (061) 1037-3929,1
Sra. Alana Gomes,213176171429401,41 2180 2993,1
Elisa Correia,180037426012997,+55 41 4043 5540,1
Esther Rodrigues,Android 2.3.1,Profissional de efeitos especiais,0
Lucas Gabriel Aragão,676211900979,+55 (084) 0190 9254,1
Sarah Azevedo,Android 3.0,Especialista em agronegócios,0
Heloísa Alves,Android 5.1.1,Profissional de linguística,0
Igor Nogueira,4492900979091966706,+55 (041) 0240-1316,1
Felipe Freitas,3550741639470506,51 0773 4719,1
Stephany da Rocha,Android 4.4.3,Mãe social,0
Isabelly Moura,676381754628,0500 785 5665,1
Vicente Viana,4766584180758,+55 81 6951 2018,1
Paulo Nascimento,Android 10,Capitão,0
Renan da Luz,Android 4.3,Auxiliar de serviços gerais,0
Enzo Gabriel Rezende,180009831804714,(041) 0498-8687,1
Leandro Pereira,213100805092898,+55 (081) 9989 1802,1
Heitor da Paz,3544670158177425,+55 (071) 8136 7551,1
Beatriz Azevedo,Android 3.1,Intérprete de Bíblias,0
Luiz Fernando Viana,4729667380745,(041) 0295-9194,1
Felipe Cunha,676180534361,0300 443 8264,1
João Vitor Barbosa,Android 5.1.1,Síndico,0
Bernardo Rodrigues,Android 3.1,Auxiliar administrativo,0
Gabriela Fernandes,2677774273285799,71 5254-1600,1
Olivia Moreira,4669884844885989,+55 84 6664 4104,1
Bárbara Novaes,4954312097074758,+55 (051) 7080-1409,1
Levi Cardoso,Android 2.3.1,Tintureiro,0
Luiz Gustavo da Rosa,3587005480671829,21 4225-2821,1
Vinicius Sales,342864268177322,(031) 2657-2779,1
Rebeca Gonçalves,213190775945951,+55 21 9747-0885,1
Leandro Azevedo,Android 3.0,Dublê,0
Amanda Viana,Android 3.2.4,Jóquei,0
Carlos Eduardo Alves,4718946828887017,+55 (084) 3976-2770,1
Luigi Nunes,Android 5.1,Somelier,0
Beatriz Rocha,6528330692361703,0900-146-8274,1
Samuel Rezende,Android 2.3.1,Investigador de Polícia,0
Ana Clara Peixoto,Android 3.2.4,Chaveiro,0
Srta. Laís Ramos,213109081848725,21 0580-1609,1
Vinicius da Mata,4403230126858,(061) 8246-3562,1
Catarina das Neves,Android 2.3.7,Militar da Marinha,0
Carlos Eduardo da Rosa,341574216283020,+55 41 6946 9996,1
Rebeca Barbosa,4684772523848538,0300-730-3839,1
Felipe Moreira,Android 8.0.0,Auditor,0
Arthur Pinto,342217692453654,+55 (071) 2024-6349,1
Dr. Emanuel da Cunha,Android 2.1,Ceramista,0
Otávio Correia,4587195487451438,84 5224-7180,1
Ana Lívia Rocha,Android 4.0.1,Surfista,0
Diogo da Cunha,Android 4.2,Panfleteiro,0
Caroline Ribeiro,Android 2.2,Técnico em edificações,0
Evelyn das Neves,Android 2.1,Alfaiate,0
Dr. João Campos,676152097009,(011) 5741 3143,1
Olivia Rezende,3547073533111804,(021) 5206-5041,1
Helena Viana,Android 2.3.5,Produtor de multimídia,0
Eduardo Aragão,Android 4.0.3,Cientista da informação e documentação,0
Clarice Monteiro,6585405669008238,+55 (031) 7546-6518,1
Ana Laura Nascimento,2720006394680047,(011) 9901-9511,1
Guilherme da Cruz,Android 3.0,Físico,0
Lívia Pires,4376535478150,+55 (084) 2623-1530,1
Ana Clara Castro,Android 4.0.1,Laboratorista,0
Nina Nascimento,4844751342234200,(084) 9725 6822,1
Sr. Arthur Duarte,Android 9,Aeroviário,0
Beatriz Rocha,Android 4.0.4,Compositor,0
Maria Fernanda Porto,Android 7.1,Tecnólogo em silvicultura,0
Maysa Pereira,639054267435,+55 (031) 2199 0238,1
Stephany Moura,372012547658752,+55 (071) 3853 6268,1
Vitor Moreira,4269471975265,84 5814 5101,1
Enzo Gabriel Sales,2279883466241154,+55 (061) 7002 5989,1
Sarah Costa,Android 7.1,Pediatra,0
Diego Moreira,675976976133,+55 (061) 3393-1270,1
Ana Carolina Pinto,Android 4.1,Ascensorista,0
Rafaela Barros,Android 4.2,Político,0
Juan Vieira,Android 3.2.6,Salgadeira,0
Nicolas Santos,3596877164856796,+55 71 7135-6675,1
Luiz Gustavo Freitas,Android 3.2.5,Tabelião,0
Sra. Amanda Monteiro,Android 2.1,Ombudsman,0
Alana da Luz,Android 9,Zelador,0
Dr. Luiz Gustavo Moraes,Android 4.0.3,Manicure,0
Samuel Campos,4610252729811,61 6431-2981,1
Júlia da Luz,Android 4.3,Urologista,0
Isabelly Moura,3537689143230585,(051) 5609-6092,1
Ana Vitória Azevedo,Android 2.0,Assistente social,0
Paulo Nogueira,Android 2.2.1,General,0
Srta. Sofia Carvalho,4066794208774559948,0300 149 0887,1
Ana Júlia Pinto,343485552414194,(021) 5469 6151,1
Cauã Moura,4080294711195,0500-681-4400,1
Sr. Diogo Rezende,Android 3.2.4,Obstetra,0
Vitória Caldeira,348110942448117,0500 847 0682,1
Rodrigo Ramos,Android 5.1.1,Lubrificador de máquinas,0
Dr. Alexandre Ribeiro,Android 5.0.1,Administrador público,0
Luiz Otávio Sales,6011338037221957,(031) 7346 9476,1
Pietro Fogaça,Android 8.1.0,Massagista,0
Raul Caldeira,3555703276883859,(061) 1692-8370,1
Kevin Porto,3543264065723587,0900-777-5464,1
Sophie Vieira,Android 9,Feirante,0
Lucca Freitas,Android 2.3.6,Traumatologista,0
João Guilherme Pires,3518804029115247,+55 51 8916 5632,1
Mariana Melo,Android 4.0,Comissário de bordo,0
Davi Duarte,374335073144808,21 6915-7425,1
Beatriz Santos,Android 5.0,Parteira tradicional,0
Dr. André Duarte,Android 3.2.5,Dedetizador,0
Cecília Porto,Android 7.1.2,Capoeirista,0
Sra. Maria Clara Teixeira,Android 3.2.3,Nefrologista,0
Murilo Oliveira,676202300122,+55 (031) 5726-6336,1
Arthur Nascimento,Android 4.4,Ambulante,0
Joaquim Mendes,Android 2.2.1,Meeiro,0
Alexandre da Luz,Android 2.3.3,Radiooperador de vôo,0
Luiz Otávio Peixoto,Android 3.2.2,Implantodontista,0
Theo Azevedo,6541069170081341,+55 81 0765 7148,1
Lívia Cunha,Android 2.0.1,Profissional de recursos humanos,0
Marcela Silva,6011288163205094,+55 61 9690-5801,1
Lorena Cardoso,Android 4.0.3,Microfonista,0
Rodrigo Rezende,Android 4.4.3,Hostess,0
Heloísa Gomes,Android 3.2.6,Angiologista,0
Luiz Gustavo Azevedo,Android 4.0.2,Engraxate,0
Davi Luiz Barbosa,Android 4.4.3,Engenheiro de manufatura,0
Maria Carvalho,180081870118207,(021) 7869 5051,1
Srta. Ana Clara Nascimento,4675537626350042,11 2283 8456,1
Srta. Nicole Farias,Android 4.2.2,Engenheiro agrimensor,0
Sr. Thomas Nascimento,4986433781065,84 3704 6414,1
João Miguel Pereira,4514436914374,+55 71 6583 7993,1
Ana Clara Silveira,4966556377792,(011) 8356 9290,1
Clara Carvalho,4831124344890,41 5484-2527,1
Leandro Dias,4696535590949679,0900-370-1210,1
Marcelo da Conceição,30013587371268,41 5253-5271,1
Kevin Gomes,676339301019,+55 (081) 1473 0385,1
Matheus Gonçalves,Android 4.1,Jornaleiro,0
Luiza Rodrigues,562189325219,11 0141-3014,1
Caio Moura,Android 3.2.4,Diarista,0
Sr. Guilherme Freitas,340929030171796,+55 51 4985 7913,1
Amanda Cardoso,4265877788693755,+55 (084) 5849 1265,1
Kamilly Mendes,Android 2.3,Odontopediatra,0
Lucas Gabriel Azevedo,Android 2.3.5,Guarda roupeiro,0
Joaquim da Luz,3511870929122242,0500 211 3596,1
Maria Sophia Fogaça,Android 2.1,Eletricista de automóveis,0
Theo Jesus,6549618597662661,0500 015 9427,1
Ana Carolina Ramos,4760223020677530,41 2871 0830,1
André Martins,4848497834307437,+55 (041) 4548 6557,1
Dra. Olivia Lopes,Android 2.3.4,Cinematográfo,0
Sra. Gabrielly Jesus,3591314045672106,+55 71 9157 3693,1
Erick Fogaça,6011797801993606,+55 61 8769-1831,1
Srta. Maysa Dias,4671858566859784560,0900 016 7556,1
Enzo Gabriel Vieira,6534946460674688,(021) 8648 4752,1
Ana Cavalcanti,6522115759088307,0500 334 3923,1
Heitor Martins,3533080199428527,+55 (071) 6565-9199,1
Pietra Farias,Android 2.3.1,Técnico de gesso,0
Luigi Almeida,Android 4.4,Matemático,0
Diogo Ramos,3501644102158758,+55 (081) 2238-9379,1
Rodrigo Carvalho,3589287714095318,0300 097 6084,1
Benjamin Campos,Android 4.2,Terapeuta ocupacional,0
Marcelo Santos,4717987037220259125,31 9617-7967,1
Ana Clara Silveira,Android 4.0,Filósofo,0
Mirella Cunha,Android 2.3,Cineasta,0
Davi Lucas da Rocha,Android 6.0.1,Apresentador,0
Renan Moura,3562769189940111,0800 655 3095,1
Milena Carvalho,Android 4.0.1,Geriatra,0
Nina Moraes,4792035780187954114,+55 41 4665-8206,1
Dra. Heloísa Aragão,30162566564094,+55 (084) 4865-8014,1
Theo Carvalho,Android 1.5,Leiloeiro,0
Isabel das Neves,30262539994228,71 4191 2920,1
Ana Lívia Moraes,4882123161629,(021) 4620-0144,1
Dra. Vitória Silveira,Android 11,Copeiro,0
João Pedro Silva,4144416891486257,(041) 8533 0462,1
Sra. Giovanna Nogueira,3568149819281521,(051) 9507 0441,1
João Pedro da Cruz,Android 2.2.1,Analista de sistemas,0
Ana Luiza Mendes,577236273469,+55 (031) 1618-2008,1
Gabriela Silva,Android 4.4,Cancerologista ou Oncologista,0
Dra. Ana Laura Pires,Android 4.0,Assistente de direção,0
Luana Oliveira,Android 3.1,Intérprete,0
Clarice da Paz,502013332916,(021) 2260 9567,1
Kevin da Luz,Android 2.3.4,Embalador,0
Nathan Rezende,Android 5.1,Kite-surfer,0
Luiz Gustavo Pires,349883754439759,61 4222 3313,1
Júlia Pinto,Android 3.2,Editor,0
Dr. Alexandre da Paz,Android 8.0.0,Intérprete de Bíblias,0
Maria Luiza Rocha,4604144353706314650,(061) 6115 8573,1
Paulo Alves,Android 9,Perfusionista,0
Mariane da Conceição,Android 4.0.1,Físico nuclear,0
Lucas da Luz,Android 2.1,Nutrologista,0
Lara Costa,3599187123667483,+55 (011) 6239 8173,1
Sr. Luiz Gustavo Caldeira,Android 2.3.6,Timoneiro,0
Maria Alice Oliveira,Android 2.3.2,Profissional de efeitos especiais,0
Thomas Rodrigues,3580857878273627,+55 41 4509 9497,1
Theo Gomes,580123169469,(051) 4207-5272,1
Catarina da Costa,4841036553247395,(071) 5282-4515,1
Fernanda Gonçalves,2221576326825468,81 6340-9640,1
Luiz Henrique Correia,36189417442240,(011) 4612-9034,1
Srta. Isabella Nogueira,Android 2.2.3,Corredor de atletismo,0
Valentina Souza,Android 4.0.2,Gestor de tecnologia da informação,0
Sophia Rocha,Android 4.4.3,Artista plástico,0
Srta. Helena Costa,Android 5.1.1,Analista de sistemas,0
Luiza da Costa,6011656490782300,31 8136-7576,1
Luiz Gustavo da Mota,Android 2.3.1,Cadista,0
Sra. Olivia Cardoso,Android 3.2.6,Mototaxista,0
Maria Sophia Campos,4886340103694,+55 (084) 4330-4934,1
Kamilly Duarte,4582073523083215,+55 (071) 8271 2516,1
Alexia Lima,4304818833766710,+55 11 6746-9623,1
Diego Sales,3519578831184166,+55 (081) 8680 6157,1
Juliana Costela,Android 2.3.1,Caminhoneiro,0
Calebe Teixeira,4521911683150,(041) 3965-6530,1
Heloísa Costa,Android 4.4.1,Hostess,0
Isadora da Rosa,Android 2.2.1,Ventríloquo,0
Eduarda Lima,Android 4.4,Bombeiro,0
Benjamin Cunha,Android 1.6,Repositor,0
Breno da Mota,Android 2.2.3,Patologista,0
Marcos Vinicius Barros,Android 4.4,Compositor,0
Marina Ribeiro,4985970489072962,51 3985 1296,1
Cauã Barbosa,3560926932642889,+55 84 0988-4599,1
Bernardo Rezende,Android 3.2.6,Cobrador de pedágio,0
Erick Castro,Android 5.0.2,Regente,0
Sr. Luiz Gustavo Teixeira,3560821693867041,+55 31 6693-3519,1
Carlos Eduardo Barros,Android 2.3.2,Ombudsman,0
Sra. Alexia da Conceição,4211951622693456,+55 21 4259-0239,1
Luiz Miguel Monteiro,213163285006952,31 9416-2829,1
Sr. João Miguel Ferreira,Android 1.0,Ajudante de produção,0
Gustavo Caldeira,630463379614,+55 (051) 5449 6622,1
Caio Farias,Android 2.3.1,Infectologista,0
Maria Eduarda Caldeira,Android 2.3.2,Topógrafo,0
Yasmin Oliveira,3569563817257649,0500 039 1317,1
Paulo Almeida,676234324314,(011) 6618-0935,1
Bárbara Viana,Android 11,Engenheiro naval,0
Lara Cavalcanti,3591386407206632,+55 84 2506-3951,1
Yuri Lima,Android 11,Sonoplasta,0
Lucas Cunha,4633949265806047,+55 84 6860 4487,1
Kamilly da Mota,5328546725848341,+55 84 2016 8628,1
Carlos Eduardo Souza,Android 4.4.2,Geólogo,0
Miguel Teixeira,38242045792862,61 6356-9126,1
Luna Ramos,3518065597173113,+55 71 0571 1860,1
Maria Clara Melo,Android 11,Catador de material reciclável,0
Dr. Alexandre Pinto,3562353592815705,+55 (084) 4039 4094,1
Marcela Costa,Android 5.0.2,Tecnólogo em recursos pesqueiros,0
Gabrielly Fogaça,Android 7.1.2,Supervisor,0
Dr. Thiago Cardoso,Android 4.3.1,Encarregado de manutenção predial,0
Vitor Hugo Araújo,3572155885518658,71 6976 1188,1
Breno Oliveira,Android 5.1,Projetista mecânico,0
Kaique Ramos,Android 5.0.2,Assessor parlamentar,0
Agatha Oliveira,Android 6.0.1,Fonoaudiólogo,0
Kevin Novaes,6576224739874904,+55 51 4100 3569,1
Luigi Ribeiro,6011751540147214,(021) 1803 4636,1
Dr. Matheus Viana,4964254720629,31 7141 9945,1
Thales Vieira,Android 11,Piloto automobilístico,0
Ana da Cunha,4568882834642909,(061) 9720-8526,1
Marcos Vinicius Costa,4776535299286459,+55 51 0274 5544,1
Luiz Miguel Pires,Android 2.0,Metalúrgico,0
Mariane Rodrigues,4138669476308100,41 2869-6166,1
Marcos Vinicius Correia,3599438205357752,31 9175-4639,1
Bernardo Lopes,6011584073231281,+55 (081) 6394 8163,1
Leandro Nascimento,Android 3.0,Intérprete,0
Alexandre Ferreira,2228686925698019,0800-599-1235,1
Clara Pinto,Android 3.2.6,Epidemiólogo,0
Yago Fernandes,3552285252918639,+55 (011) 7301 5188,1
Ana Beatriz Costela,Android 10,Acompanhante,0
Sr. Kevin Novaes,Android 4.0.4,Técnico de gesso,0
Isabella Lima,4374456848124586,0300 782 0251,1
Srta. Sofia Novaes,4594291501259898,0900-656-7551,1
Lucas Moura,Android 4.4,Sapateiro,0
Isabel Fernandes,Android 2.2.1,Tapeceiro,0
Nicole Barbosa,Android 6.0,Lapidário,0
Isabella Cardoso,Android 7.1.1,Jogador de futebol,0
Ana Sophia Dias,Android 2.3.4,Engenheiro de ergonomia,0
Alice da Mata,Android 4.3.1,Físico nuclear,0
Eduardo Nascimento,Android 2.2,Mecânico,0
