Coluna A,Classe
472.903.651-43,1
Optometrista,0
Ortoptista,0
Secretária,0
154.792.863-82,1
059.436.218-06,1
Remador,0
170.986.245-94,1
Gari,0
Obstetra,0
Engenheiro químico,0
295.603.481-24,1
Controller,0
Técnico de som,0
564.921.073-06,1
Educador,0
436.189.205-98,1
Ajudante de produção,0
610.239.587-59,1
Carteiro,0
895.064.721-49,1
Açougueiro,0
Contador,0
940.725.186-11,1
Esteticista,0
913.647.058-93,1
517.026.384-80,1
468.023.571-35,1
Tecnólogo em recursos pesqueiros,0
219.054.786-58,1
Cortador de cana-de-açucar,0
Ferroviário,0
Profissional de relações internacionais,0
Lutador de luta livre,0
Astrólogo,0
045.892.637-00,1
Conferente de expedição,0
280.639.157-12,1
Sapateiro,0
256.194.387-91,1
387.526.491-64,1
Diagramador,0
298.713.650-12,1
Escoteiro,0
240.316.579-43,1
271.850.634-26,1
Médico cirurgião,0
Policial federal,0
Tabelião,0
Tecnólogo em produção Sucroalcooleira,0
General,0
Sonoplasta,0
142.835.706-80,1
324.075.169-07,1
493.026.175-99,1
169.724.385-19,1
430.186.729-50,1
965.741.320-61,1
093.572.148-79,1
Técnico em desporto,0
127.590.834-97,1
963.751.204-70,1
Perfumista,0
Paparazzo,0
Leão de chácara,0
Flautista,0
218.453.906-60,1
Controlador de vôo,0
875.049.163-66,1
593.481.270-04,1
Flautista,0
Assistente de produção,0
581.462.970-30,1
413.265.789-28,1
Agente de combate à endemias,0
Engraxate,0
368.915.742-00,1
378.265.094-83,1
913.684.270-22,1
317.869.502-86,1
Analista de sistemas,0
645.370.291-61,1
Reumatologista,0
267.543.910-06,1
806.137.942-22,1
Intérprete de Bíblias,0
Alergologista,0
Tecnólogo em recursos pesqueiros,0
Camelô,0
476.051.289-67,1
Desenhista,0
038.271.964-69,1
Militar do Exército,0
931.605.278-59,1
Orientador educacional,0
Guia turistico,0
236.487.150-62,1
109.468.537-20,1
Tosador,0
928.170.536-21,1
674.120.395-80,1
Radialista programador,0
Construtor,0
Oftalmologista,0
Investigador de Polícia,0
526.401.938-05,1
Cancerologista ou Oncologista,0
851.627.049-11,1
Estampador de tecidos,0
502.813.476-62,1
Profissional de efeitos especiais,0
Jogador de futebol,0
Tecnólogo em geoprocessamento,0
Odontopediatra,0
Gerente de banco,0
452.918.376-91,1
Estivador,0
790.385.642-10,1
Geólogo,0
Biblioteconomista,0
612.350.794-06,1
561.729.083-59,1
Empacotador,0
Ferroviário,0
910.685.742-67,1
489.035.162-06,1
Jangadeiro,0
Sacoleira,0
Modelo,0
Radioterapêutico,0
508.462.719-58,1
Garimpeiro,0
946.235.081-70,1
Engenheiro químico,0
623.478.051-26,1
Homeopata,0
920.835.764-38,1
Produtor musical,0
714.086.932-40,1
984.052.376-74,1
Diretor de produção,0
Turismólogo,0
Forneiro,0
742.098.135-32,1
419.265.870-49,1
429.651.730-99,1
457.639.281-64,1
347.981.602-96,1
Salva-vidas,0
Vistoriador de sinistros,0
Restaurador,0
216.508.379-68,1
678.932.415-19,1
Militar da Aeronáutica,0
296.183.574-73,1
Representante comercial,0
840.639.125-15,1
645.701.893-93,1
Profissional de informática,0
178.536.409-00,1
651.274.308-35,1
Ferroviário,0
Costureira,0
Nutrologista,0
297.361.504-61,1
Aeroviário,0
Engenheiro de ergonomia,0
Pastilheiro,0
Agrimensor,0
985.341.026-51,1
108.325.467-71,1
140.589.362-15,1
Pedagogo,0
Serventuário,0
816.937.452-91,1
Dogueiro,0
819.357.246-73,1
476.352.089-00,1
146.892.073-13,1
496.270.835-00,1
986.705.324-92,1
Engraxate,0
401.265.987-11,1
Chapeiro,0
Mergulhador,0
028.913.647-40,1
Cadeirinha,0
Designer de produto ou desenhista industrial,0
Diarista,0
869.147.532-37,1
490.185.673-10,1
Editor,0
Policial federal,0
Confeiteiro,0
Jogador de tênis de mesa,0
825.013.679-95,1
Motofrete,0
809.325.614-89,1
102.473.659-80,1
361.470.258-80,1
153.476.289-28,1
813.642.709-78,1
Agrimensor,0
405.362.981-06,1
Assistente de produção,0
Jogador de futebol,0
Químico,0
912.386.075-86,1
358.421.076-35,1
Redator,0
987.406.315-75,1
Astrólogo,0
864.925.371-73,1
794.651.028-49,1
Marceneiro,0
052.413.879-60,1
Engenheiro de som,0
Jogador de tênis de mesa,0
427.065.381-71,1
Cientista,0
Ciclista,0
291.785.604-11,1
284.716.509-67,1
527.163.409-43,1
657.910.482-11,1
439.851.206-33,1
Médico geneticista,0
Ciclista,0
Meeiro,0
Bancário,0
Navegador,0
Engenheiro de materiais,0
173.294.650-70,1
Gari,0
Agente penitenciário,0
526.089.473-10,1
Assistente social,0
376.128.095-59,1
Agente penitenciário,0
Agente penitenciário,0
Ascensorista,0
506.249.873-29,1
Cambista,0
Tecnólogo em jogos digitais,0
Ombudsman,0
014.358.692-06,1
841.079.536-10,1
Profissional de educação física,0
Biblioteconomista,0
754.980.631-48,1
Produtor editorial,0
190.362.547-52,1
190.473.268-22,1
Agente de defesa sanitária,0
973.108.645-57,1
037.926.418-87,1
865.291.407-94,1
Estivador,0
Apontador de mão-de-obra,0
625.374.809-29,1
508.461.927-30,1
561.208.439-06,1
592.630.784-83,1
745.186.032-90,1
Médico geneticista,0
582.976.043-65,1
942.716.583-91,1
189.746.503-39,1
Tecnólogo em geoprocessamento,0
Espeleologista,0
Marechal,0
Atleta de arremesso de peso,0
514.630.827-62,1
201.764.598-20,1
105.739.824-14,1
Sacoleira,0
Cambista,0
907.513.628-59,1
Vendedor,0
975.634.812-73,1
Bóia-fria,0
Ascensorista,0
573.628.041-80,1
325.614.908-15,1
Cameraman,0
890.574.136-39,1
976.483.120-69,1
813.245.790-05,1
Paramédico,0
Dogueiro,0
906.241.873-22,1
627.935.184-09,1
830.125.467-07,1
438.091.576-00,1
Programador,0
748.510.693-75,1
Marechal,0
078.695.342-00,1
Borracheiro,0
425.076.389-74,1
Eletricista,0
485.097.263-29,1
631.840.529-15,1
Profissional de comércio exterior,0
620.394.758-00,1
512.387.960-95,1
467.532.108-90,1
Promotor de eventos,0
841.937.620-50,1
739.410.526-16,1
Despachante,0
Tecnólogo em produção Sucroalcooleira,0
Hematologista,0
465.821.930-15,1
Bóia-fria,0
832.910.465-60,1
392.561.407-99,1
Quadrinista,0
Museólogo,0
280.954.173-60,1
137.902.864-78,1
Aeronauta,0
450.729.683-83,1
812.694.573-73,1
Técnico em óptica,0
Engenheiro de ergonomia,0
Neurologista,0
Soldador,0
Designer de jóia,0
862.517.093-59,1
Gestor de recursos humanos,0
Regente,0
956.841.032-51,1
324.576.180-53,1
938.267.450-00,1
310.827.564-07,1
130.674.895-00,1
Técnico em aviação,0
Modelo,0
Agrônomo,0
Windsurfer,0
Confeiteiro,0
Juiz de direito,0
457.382.960-10,1
Cabo,0
Investigador particular,0
041.627.859-02,1
Engenheiro industrial,0
605.971.483-84,1
825.017.943-97,1
601.279.835-03,1
Vistoriador de sinistros,0
152.374.896-64,1
943.852.167-46,1
274.519.386-46,1
015.643.789-93,1
346.108.572-35,1
208.147.593-60,1
Engenheiro de supply chain ou logística,0
Almoxarife,0
806.279.514-49,1
Violonista,0
351.987.026-68,1
412.793.856-00,1
Recepcionista,0
745.029.816-30,1
358.762.910-21,1
Viveirista,0
816.235.907-95,1
Nadador,0
Astrônomo,0
127.056.893-03,1
Engenheiro de produto ou produção,0
476.932.810-96,1
470.389.625-74,1
832.074.165-35,1
301.658.729-77,1
314.720.896-69,1
230.715.894-41,1
Paginador,0
246.903.187-78,1
Harpista,0
596.183.240-60,1
753.186.902-03,1
278.965.431-09,1
Militar da Marinha,0
467.023.158-80,1
290.743.568-00,1
Governanta,0
Administrador público,0
642.810.935-24,1
Profissional de educação física,0
075.941.863-20,1
Major,0
798.642.510-58,1
Coloproctologista,0
Profissional de cinema,0
341.627.095-99,1
073.269.481-78,1
Ventríloquo,0
Comandante,0
940.258.617-20,1
Artista plástico,0
310.654.982-33,1
Engenheiro agrícola,0
Sociólogo,0
Faturista,0
683.074.912-31,1
731.945.862-46,1
Motofrete,0
527.031.864-44,1
785.320.946-00,1
Empresário,0
056.329.187-77,1
Comissário de bordo,0
052.613.947-16,1
107.896.425-49,1
Tecnólogo em produção moveleira,0
Perito judicial,0
236.187.049-50,1
320.471.685-62,1
856.914.720-11,1
329.845.170-32,1
934.280.517-50,1
Programador,0
Embalsamador,0
Capelão,0
Degustador,0
391.640.278-13,1
Encanador,0
426.935.780-00,1
Instalador de painéis,0
031.952.748-41,1
681.973.054-39,1
025.376.894-29,1
Jogador de basquete,0
592.640.813-05,1
Penhorista,0
628.795.140-02,1
Velejador,0
830.279.461-96,1
798.236.041-69,1
438.259.107-41,1
Engenheiro agrimensor,0
450.693.172-61,1
Assistente de direção,0
015.264.837-26,1
Esgrimista,0
415.372.869-19,1
345.879.120-50,1
237.069.184-04,1
214.570.398-50,1
Astrólogo,0
Restaurador,0
038.217.594-88,1
Filósofo,0
183.964.205-05,1
127.450.836-35,1
756.920.413-16,1
Patologista oral,0
453.298.170-05,1
Tapeceiro,0
Guarda roupeiro,0
Jogador de badminton,0
Judoca,0
Afiador de ferramentas,0
Odontologista preventivo e social,0
Produtor musical,0
264.805.371-90,1
Político,0
073.296.581-03,1
718.092.365-68,1
Dialoguista,0
Restaurador,0
109.286.734-13,1
205.967.148-58,1
Otorrinolaringologista,0
Tecnólogo em automação industrial,0
543.091.862-89,1
Químico,0
Médico cirurgião,0
Preparador de máquinas,0
Tecnólogo em automação industrial,0
Jogador de handebol,0
Moldador,0
734.265.901-07,1
947.562.018-49,1
Escriturário,0
Cientista social,0
Impressor,0
618.302.597-68,1
Instalador de linha telefônica,0
Técnico em óptica,0
Engenheiro de supply chain ou logística,0
302.897.465-74,1
Profissional de cinema,0
Tecnólogo em produção moveleira,0
732.948.165-37,1
423.197.805-05,1
Artista/Técnico em espetáculos de diversões,0
753.608.941-48,1
904.156.372-52,1
Economista,0
528.496.317-28,1
453.962.870-47,1
Microfonista,0
215.837.496-91,1
214.089.736-69,1
039.827.415-05,1
624.908.571-85,1
358.241.796-46,1
062.938.541-60,1
829.605.341-15,1
412.730.695-52,1
Xilógrafo,0
480.352.761-07,1
Profissional de educação física,0
Policial federal,0
173.246.950-43,1
237.194.508-05,1
Alfaiate,0
753.198.460-10,1
269.450.871-58,1
143.076.895-93,1
175.920.468-49,1
470.619.823-22,1
Vigia parlamentar,0
Cobrador de ônibus,0
524.890.617-20,1
Orientador educacional,0
Biólogo,0
Consultor,0
164.895.372-73,1
Adestrador de animais,0
Borracheiro,0
695.703.284-10,1
Profissional de educação física,0
Promotor de eventos,0
453.126.790-70,1
198.326.045-24,1
860.459.237-74,1
Velejador,0
956.402.138-33,1
617.320.958-68,1
Chefe de cozinha,0
Cortador de cana-de-açucar,0
491.376.280-03,1
Taxidermista/Embalsamador,0
960.423.785-38,1
Estatístico,0
Engenheiro ambiental,0
Bedel,0
127.850.463-07,1
317.026.459-16,1
Percursionista,0
Engenheiro florestal,0
865.014.923-51,1
783.065.912-59,1
Impressor,0
096.815.732-77,1
Flanelinha,0
Montador,0
Consultor de radiestesia,0
Restaurador,0
Capataz,0
Mecanógrafo,0
Diretor de fotografia,0
950.478.132-23,1
948.536.201-33,1
Assistente de produção,0
415.398.206-70,1
064.239.871-22,1
540.769.183-39,1
Lixeiro/Coletor de lixo,0
Relações públicas,0
Cumim,0
Jornaleiro,0
Editor de mesa de corte,0
Desembargador de justiça,0
183.074.596-48,1
127.634.098-22,1
Policial civil,0
802.395.641-89,1
Governador,0
843.092.615-15,1
965.348.721-37,1
Aeromoça,0
428.693.517-55,1
Engenheiro de aquicultura,0
910.723.658-12,1
537.201.864-07,1
Conferente de carga e descarga,0
Gandula,0
Apontador de mão-de-obra,0
024.679.513-16,1
Profissional de comércio exterior,0
817.230.964-31,1
Luthier,0
Parteira tradicional,0
Promotor de eventos,0
Faxineiro,0
Estofador,0
695.028.137-40,1
745.691.328-55,1
120.458.769-85,1
Guia turistico,0
390.427.165-25,1
169.807.354-20,1
Cinematográfo,0
395.412.806-33,1
Argumentista,0
Datilógrafo,0
325.671.098-03,1
Lanterneiro,0
210.986.453-24,1
730.625.148-17,1
652.908.431-24,1
532.104.689-15,1
Eletricista de automóveis,0
135.240.978-04,1
Windsurfer,0
150.934.627-99,1
Artista/Técnico em espetáculos de diversões,0
498.305.716-10,1
Sociólogo,0
015.297.346-06,1
076.413.298-96,1
Profissional de recursos humanos,0
302.158.469-15,1
521.708.439-14,1
Instrumentista musical,0
Tecnólogo em rochas ornamentais,0
Engenheiro de ergonomia,0
Lixeiro/Coletor de lixo,0
273.908.416-13,1
Funileiro,0
Toxicologista,0
463.971.285-55,1
Cabo,0
975.208.413-32,1
827.346.905-00,1
Comissário de bordo,0
672.148.590-76,1
985.740.631-93,1
341.650.982-05,1
473.205.198-79,1
902.815.736-03,1
345.871.960-10,1
976.012.834-96,1
371.890.642-22,1
Operador de vídeo,0
Investigador de Polícia,0
134.860.729-78,1
315.269.784-82,1
491.708.532-23,1
026.189.543-51,1
Serralheiro,0
458.926.371-82,1
Técnico em agropecuária,0
705.862.914-58,1
Manobrista,0
Programador,0
047.293.516-06,1
Astrônomo,0
Plastimodelista,0
Ilustrador,0
Cancerologista ou Oncologista,0
834.619.520-60,1
Odontologista preventivo e social,0
Profissional de informática,0
Otorrinolaringologista,0
432.805.196-24,1
438.912.607-50,1
Capitão,0
256.318.094-51,1
Contatólogo,0
867.139.204-03,1
329.681.057-95,1
231.980.457-97,1
Produtor musical,0
Limpador de vidros,0
694.073.281-04,1
Serventuário,0
106.958.374-00,1
Lutador de jiu-jitsu,0
201.379.685-40,1
Secretária,0
Produtor de multimídia,0
342.059.816-51,1
Pastilheiro,0
Alergologista,0
Mergulhador,0
920.614.758-76,1
176.049.823-87,1
476.021.583-26,1
749.208.531-14,1
Gestor de qualidade,0
567.142.083-08,1
Musicoterapeuta,0
Angiologista,0
631.705.892-02,1
691.857.402-76,1
592.038.614-24,1
General,0
415.390.267-52,1
351.462.078-44,1
852.631.097-68,1
Auxiliar administrativo,0
256.840.137-08,1
Tecnólogo em irrigação e drenagem,0
628.045.197-67,1
953.218.067-21,1
482.095.671-01,1
941.758.032-97,1
975.463.182-46,1
708.961.354-20,1
846.029.735-74,1
Assistente de produção,0
374.690.821-31,1
597.614.280-01,1
Karateca,0
Cientista,0
186.742.593-91,1
Profissional de cinema,0
Ufólogo,0
Técnico em aviação,0
Enfermeiro,0
Astrólogo,0
Garçom,0
Agricultor,0
Baterista,0
079.521.648-30,1
Produtor de multimídia,0
Anestesiologista,0
Geofísico,0
Serventuário,0
Passador,0
Feirante,0
619.027.438-22,1
Técnico em desporto,0
853.210.467-35,1
176.892.503-86,1
Crítico,0
Preparador de máquinas,0
Roteirista,0
Nefrologista,0
Árbitro e mediador,0
823.694.715-73,1
184.537.209-32,1
758.241.690-20,1
Tesoureiro,0
Bailarina,0
790.825.643-00,1
698.321.570-21,1
123.645.870-26,1
Cobaia Médica,0
034.896.715-20,1
Engenheiro metalúrgico,0
013.785.926-03,1
692.875.041-30,1
603.725.914-34,1
927.813.605-03,1
Moleiro,0
672.493.108-87,1
Programador,0
035.268.917-02,1
Tesoureiro,0
645.379.218-46,1
598.174.602-58,1
Instalador de linha telefônica,0
Zelador,0
954.138.726-82,1
795.824.013-97,1
Telefonista,0
075.894.613-93,1
Personal stylist,0
Mecanógrafo,0
416.370.952-52,1
Topógrafo,0
684.210.593-51,1
280.631.947-13,1
430.816.795-75,1
802.547.963-38,1
906.415.237-34,1
150.346.872-08,1
259.047.836-47,1
835.429.176-64,1
562.308.419-24,1
019.824.753-23,1
529.174.638-64,1
351.860.279-95,1
Nutricionista,0
Hematologista,0
Engenheiro de aquicultura,0
Maquinista,0
Seguidor de compras,0
047.136.982-96,1
Diretor de cinema,0
Mecânico,0
607.481.329-96,1
925.638.104-42,1
Cartazeiro,0
Terapeuta ocupacional,0
216.459.837-73,1
605.429.138-60,1
461.750.832-53,1
176.548.239-91,1
Cinematográfo,0
Radialista,0
Projetista mecânico,0
Retificador,0
Intérprete,0
Profissional de reciclagem,0
Astronauta,0
980.716.423-04,1
Dentista,0
Profissional de marketing,0
Artesão,0
862.704.351-53,1
Engenheiro de supply chain ou logística,0
281.537.609-12,1
Paginador,0
672.983.540-00,1
957.610.432-70,1
Perfumista,0
Musicoterapeuta,0
Classificador contábil,0
Tapeceiro,0
719.046.823-40,1
Perfumista,0
Engenheiro de alimentos,0
Mecânico,0
310.267.845-90,1
Aeroviário,0
Segurança particular,0
