Dado A,Dado B,Dado C,tipo do dado
Otávio Mendes,342705671074939,+55 81 0037-0773,1
João Gabriel Dias,Android 1.1,Quadrinista,0
Srta. Mariana Monteiro,Android 2.3.4,Dançarino,0
Laís da Cruz,Android 2.3.4,Juiz de futebol,0
Maysa Correia,Android 4.4.3,Sapateiro,0
Luigi Almeida,5568680681266732,31 6174 5897,1
Sophia da Mota,30108729095336,+55 31 7981-3158,1
Rebeca Rezende,4808136341098,(061) 9351 8364,1
Clarice Teixeira,2243775614809788,+55 (061) 7406-3096,1
Ana Vitória da Mata,4898198217188050,61 8475-6193,1
Thiago Lima,Android 2.3.7,Corretor de imóveis,0
Rebeca Porto,Android 8.0.0,Protético dentário,0
Diogo Jesus,579150295130,+55 61 0272-9052,1
Sra. Ana Laura Lima,Android 3.2.4,Embalsamador,0
Bryan Campos,213130377020001,+55 81 5669-2630,1
Kevin Azevedo,Android 6.0.1,Bartender,0
Raul Nascimento,Android 2.2,Engenheiro de horticultura,0
Luigi Almeida,4593132275867030,61 4999 9658,1
Bárbara Farias,Android 2.2.3,Gastrônomo,0
Emanuel Freitas,Android 5.1.1,Seringueiro,0
Carolina da Luz,370893254243132,51 5369 0635,1
Brenda Aragão,38226729070661,0900-521-1493,1
Alana Castro,213187835554831,(011) 1583-7626,1
Julia da Rocha,36994950712432,31 5493-2263,1
Juliana Aragão,676274897005,+55 (071) 4684 3878,1
Clara Ribeiro,2714097944621712,+55 (011) 3740 1646,1
Sophie Gomes,370948288984604,21 8758-4128,1
João Gabriel Campos,Android 5.0.2,Patinador,0
Erick da Luz,Android 7.1.2,Agente funerário,0
