Coluna A,Coluna B,Coluna C,Classe
Ana Luiza Oliveira,Android 4.4,Seguidor de compras,0
Beatriz Cavalcanti,3521886635937507,84 9801 0178,1
Leonardo Porto,4936452009856,61 3144-0293,1
Heloísa Martins,5580410784195685,+55 (041) 0649-6406,1
Lívia Pinto,3500086201535455,0500 779 6046,1
Calebe Nunes,30030495919236,+55 (041) 3897 6684,1
Sofia Peixoto,Android 4.4.4,Produtor de audio visual,0
Alícia Caldeira,Android 1.6,Torneiro mecânico,0
Thiago Mendes,Android 4.0.3,Entalhador,0
João Gomes,6502830692629611,0500 566 9642,1
Emilly Correia,Android 5.0.2,Diretor de fotografia,0
Fernando Cavalcanti,Android 2.3,Contabilista,0
Sr. Lucas Araújo,4610319603557744587,+55 51 7076 8701,1
Arthur Porto,4515879573227599,(041) 4168 2991,1
Gabriel da Rocha,Android 5.1,Designer de produto ou desenhista industrial,0
Luiz Felipe Rezende,344814907330376,21 9026 3273,1
Lívia da Paz,Android 4.0.2,Ortodontista,0
Sofia Ramos,676103447238,11 9787 6426,1
Pedro da Rosa,563038374069,+55 (084) 2336 1476,1
Sophia Farias,5189309703407079,+55 41 3426-8835,1
Ana Carolina Oliveira,630498694375,+55 (071) 1167-1422,1
Evelyn Azevedo,30458904162215,(051) 0740-2153,1
Srta. Mirella Cunha,501817854489,+55 71 3556 0254,1
Dr. João Felipe Silveira,Android 4.1.2,Barman,0
Srta. Isis Viana,Android 4.4.4,Técnico em hardware,0
Ana Clara Cardoso,502068767685,71 5761-0581,1
Sr. João Pedro Alves,Android 4.0.2,Fundidor,0
Marcos Vinicius da Rocha,30141211202615,+55 21 5306-8797,1
Mirella Alves,4323406865220360034,+55 (021) 2308-7562,1
Paulo Freitas,3538351418671014,+55 51 9962 7926,1
Dr. João Felipe Ramos,Android 4.2.1,Marinheiro,0
Amanda Gonçalves,4002045791313948,11 5196-5413,1
Emanuella Ribeiro,Android 4.0,Patologista,0
Sr. Benício Souza,Android 1.5,Naturólogo,0
Srta. Giovanna Pires,Android 1.0,Contabilista,0
Paulo Santos,Android 4.1,Mecânico,0
Laís Novaes,Android 3.0,Juiz ou árbitro de futebol,0
João Pedro Duarte,373920702410166,(071) 3958 0069,1
Ian Lima,Android 4.2.1,Teólogo,0
Sr. João Felipe da Mota,Android 4.4.1,Coordenador,0
Sr. Joaquim Ferreira,4562832912734512,0500-755-6287,1
Bruno da Mota,Android 3.1,Odontologista legal,0
Dr. Thomas Dias,Android 2.3.4,Engenheiro metalúrgico,0
Ana Lívia Fogaça,3586071924683029,(081) 1588-2373,1
Dr. Lucca da Luz,Android 2.3.5,Capataz,0
Emanuella Sales,30485359168579,81 1511-5699,1
Sr. Enrico Barbosa,Android 7.1,Jogador de boliche,0
Mariana Costa,Android 4.3.1,Administrador de banco de dados DBA,0
Dra. Beatriz da Conceição,3507645357693484,0900-332-1199,1
Raquel Gomes,2717475436730661,+55 (021) 0605 6876,1
Dra. Kamilly da Luz,6589865782824025,+55 (021) 4325 6214,1
Ana Carolina Pires,30273859397900,+55 84 3159 4139,1
Rafael Ferreira,Android 2.0.1,Policial militar,0
Maitê Ferreira,2702202947101902,+55 71 6080 8487,1
Leandro Costela,Android 3.2.4,Meredeira,0
Marcela Nunes,676249828804,+55 (084) 5332 1246,1
Dr. Davi Cavalcanti,3597459612688060,+55 (021) 0305-7530,1
Davi Lucca Ramos,Android 2.0.1,Assistente social,0
Srta. Stella Silveira,Android 3.2.1,Químico,0
Maria Cardoso,Android 7.1.2,Astrofísico,0
Erick da Mota,213185658705621,+55 61 9766-9694,1
Joana Moraes,502066003588,+55 71 0003-8772,1
Bryan Farias,3550545210507176,0300 687 3864,1
João Miguel Moura,4020551603944893,+55 (041) 5058 5244,1
João Lucas da Rosa,2498715105194433,(071) 9177-9511,1
Breno Farias,373971112369641,+55 31 2422-3127,1
Juliana Melo,180027209823835,+55 (081) 4568-8872,1
Bárbara Lima,Android 3.2.5,Coloproctologista,0
Clarice Ramos,4666993749627421,(011) 8462 5610,1
Ana Beatriz Pinto,2445231468243522,81 1547 8887,1
Maria Julia Cunha,Android 5.0.2,Técnico em taquigrafia,0
Dr. Lorenzo Rodrigues,3562871253295362,41 9272-5495,1
Bruna Jesus,213112331649331,0800 265 0413,1
Miguel da Rocha,Android 5.0.1,Advogado,0
Marcos Vinicius Vieira,675938240404,0500-645-4507,1
Sra. Clarice Duarte,3568057871909097,0900 655 3183,1
Sr. Luiz Gustavo Pereira,2716295356174596,(071) 4534-1801,1
Sofia Cardoso,502089425628,(011) 2394 4276,1
Elisa Rezende,Android 4.0.3,Agrônomo,0
Nathan Caldeira,Android 2.0.1,Controlador de vôo,0
Thales Dias,676123177542,(081) 4079 0685,1
Sarah Teixeira,Android 2.3.5,Astronauta,0
Caroline Nunes,3562455836619056,+55 (084) 0590 3810,1
Ana Sophia Ribeiro,Android 7.0,Otorrinolaringologista,0
Emilly da Costa,Android 6.0.1,Repositor,0
Sra. Ana Júlia Cunha,6011593824684037,+55 21 2552 4446,1
Julia Cardoso,6011255305667846,+55 (011) 6630 0224,1
Caio Vieira,Android 2.3.2,Construtor,0
Pedro Lucas Gonçalves,Android 4.2.2,Guincheiro,0
Guilherme Rodrigues,3547644070136915,0500 200 3299,1
Diogo Peixoto,376000413440971,(061) 4767-2637,1
Igor Vieira,4505062373249756,71 0536-4210,1
Ana Almeida,6567214282964377,(041) 7371 2410,1
Luiz Miguel Araújo,Android 6.0.1,Forneiro,0
Melissa da Conceição,Android 4.0,Consultor de radiestesia,0
Isabelly Farias,Android 4.4.2,Empresário,0
Maria Julia Ramos,Android 3.2.3,Revisor,0
Kevin Araújo,Android 10,Timoneiro,0
Enzo Barros,Android 4.0.3,Acupunturista,0
Isabella da Rosa,Android 4.4.1,Despachante,0
Eduardo Alves,Android 7.1.1,Garimpeiro,0
Julia da Conceição,Android 3.2.5,Consultor de moda,0
Ana Luiza Cunha,Android 2.2,Biomédico,0
Daniel Freitas,Android 8.1.0,Intérprete de Bíblias,0
Dr. Bryan Teixeira,30399206325276,31 5702 2350,1
Rebeca Cardoso,Android 2.0.1,Clínico geral,0
Francisco da Cruz,Android 4.0.2,Quiropraxista,0
Maria Clara Monteiro,Android 4.0.2,Dedetizador,0
Bryan Ferreira,4350771967285986,+55 (084) 9006-8049,1
Alexandre da Luz,Android 2.2.3,Office-boy,0
Maitê Gonçalves,4158292914707943016,51 8054 6643,1
Pedro da Mota,3594995111453632,81 3327 3178,1
Alexia Silva,Android 4.4.3,Engenheiro de alimentos,0
Sra. Isabella Freitas,38428262485740,0900 483 9383,1
Paulo Martins,343264239144320,0800-754-6965,1
Ana Vitória Cardoso,2327020430613224,0500-193-0499,1
Sr. Vitor Gabriel Cavalcanti,Android 4.1.1,Vendedor,0
Enzo Pires,Android 8.1.0,Cobaia Médica,0
Maria Julia Correia,Android 4.2.1,Orientador educacional,0
Davi da Costa,5534150880628042,+55 31 3584 8013,1
Pietra Teixeira,Android 2.0,Redator,0
Emanuelly Moreira,Android 2.3.4,Profissional de relações públicas,0
Rafael Pinto,4998230918642,+55 21 4369 8905,1
Henrique Sales,Android 2.2,Nadador,0
Pedro Lucas Cardoso,3579493737884876,0300-753-2115,1
Mariane Duarte,Android 4.3.1,Dialoguista,0
Luna Duarte,Android 3.0,Produtor de audio visual,0
Leonardo Gonçalves,213143379717607,+55 41 3219-1447,1
Maysa Costa,Android 5.1,Nutrologista,0
Alexandre Araújo,Android 3.2.2,Vistoriador de sinistros,0
Luiz Felipe Nascimento,Android 11,Comissário de bordo,0
Sr. Pietro Melo,Android 4.0.2,Psicólogo,0
Ana da Mota,Android 2.3.7,Pedicure,0
Pedro Henrique da Mota,Android 2.3.6,Instrumentista musical,0
Bianca Monteiro,4250591337040,0300 909 2068,1
Isabella das Neves,Android 3.2.1,Comprador,0
Amanda Alves,Android 5.0.2,Flanelinha,0
Nicolas Castro,Android 2.3.5,Engenheiro acústico,0
Melissa Rocha,Android 4.2,Editor de mesa de corte,0
Giovanna Jesus,6011273107615558,+55 (021) 1655 0923,1
Rafaela da Rosa,Android 2.3.6,Estoquista,0
Valentina Santos,Android 2.3.4,Manobrista,0
Juan Alves,2222844988737069,(051) 9618 6392,1
Enzo Gabriel Moreira,Android 4.4.3,Sexólogo,0
Thales Santos,2678835778249561,(051) 2155-4386,1
Murilo Vieira,4419057585497,81 6519 5450,1
Isadora Pereira,Android 2.3.6,Salgadeira,0
Caroline Nogueira,4760044897218,(011) 5029 3304,1
Bruno da Mota,Android 10,Programador,0
Ana Julia Moreira,2714069108794924,+55 (081) 5363-7178,1
Kaique Carvalho,4067986462665995,+55 (041) 6140-3723,1
Sophia Pinto,375114577797539,+55 (071) 3646 0514,1
Kamilly da Conceição,2285606435566787,+55 (061) 7215 7063,1
Augusto Correia,4455109551128771221,+55 (051) 7588 8165,1
Sr. João Vitor Ferreira,344255823958850,0900-833-9214,1
Ana Carolina Souza,Android 4.2,Supervisor,0
Gabriel Gomes,Android 7.1.1,Estilista,0
Juliana Campos,4173996903655,+55 84 2664 2176,1
Guilherme Ribeiro,Android 3.2.6,Subprefeito,0
Dra. Ana Vitória da Cruz,4895804654483432,+55 84 7743 1514,1
Vicente Gonçalves,Android 8.0.0,Atuário,0
Vitor Moura,Android 4.0.2,Chargista,0
Paulo Farias,Android 1.0,Produtor de multimídia,0
Carlos Eduardo Melo,6011783801278214,84 1026-8622,1
Manuela Novaes,6507020357314932,+55 11 1506 5238,1
Sophia Peixoto,30295704233246,(071) 6249 4271,1
Srta. Evelyn Barros,4145105663850928,+55 21 7161-4748,1
Dra. Isabelly Moreira,6552161786728302,(011) 4425-9824,1
Carolina da Rocha,Android 4.2.1,Bartender,0
Vinicius Campos,Android 4.4.1,Ombudsman,0
Sr. Isaac Barbosa,4145401739828927,(081) 2360 3598,1
Luna Silva,Android 2.3.4,Paginador,0
Marcela da Cruz,Android 2.3.3,Cabeleireiro,0
Srta. Luna da Mata,Android 4.0.3,Sargento,0
Sophie da Paz,Android 1.5,Acupunturista,0
Clarice da Paz,3540166997960794,(061) 8227-5833,1
Dr. Lucas Gabriel Novaes,4724355819591,51 1094 4886,1
Dra. Clara Moreira,Android 2.2,Lutador de luta livre,0
Dra. Luna da Costa,213171376722254,+55 (061) 1505-6678,1
Ana Vitória Moura,6565373008749546,+55 (061) 2705 5759,1
Joana Cavalcanti,6539497157344313,+55 (011) 2534-0103,1
Matheus Nunes,Android 9,Oculista,0
Nicolas Pires,676142786166,51 5552 8437,1
Enzo Gabriel Campos,Android 4.0.2,Agente comunitário de saúde,0
Ana da Rosa,4700973045125286,+55 (081) 4873 7293,1
Danilo Dias,Android 2.0.1,Pediatra,0
Sr. Felipe Teixeira,4232086424656891,41 7299-3229,1
Dra. Maria Clara Santos,4319537423048,41 5425 6875,1
Lorena Fogaça,Android 2.0.1,Panfleteiro,0
Ana Sophia Nogueira,374532511418659,(021) 6689 6792,1
Laís da Cruz,6503945820429343,+55 (061) 0749-9689,1
Joana Costa,Android 4.1,Administrador de redes,0
Sr. Thomas Vieira,Android 4.1,Profissional de tecnologia de laticínios,0
Emilly Pereira,Android 3.2.5,Petroleiro,0
Elisa Cunha,4646323199346899,(081) 8276-8322,1
Diogo Pereira,2288086202343974,+55 (021) 3787 3480,1
Luana Teixeira,Android 1.6,Pizzaiolo,0
Bianca Nunes,378239317629416,71 0448-9848,1
Maitê Araújo,4620546303551513,+55 51 4330 9409,1
Sr. Rafael Silveira,4058781106749243,51 8857 7836,1
Valentina Ramos,4518880042822,+55 (051) 8848-1048,1
Srta. Valentina Dias,3568718641222448,(061) 7323-7733,1
Ian Cunha,3544220372750894,41 0763 9207,1
Carlos Eduardo Cavalcanti,Android 3.1,Cenógrafo,0
Bruno Souza,Android 2.1,Artista/Técnico em espetáculos de diversões,0
Miguel Barros,3533794615979786,+55 31 9479-8033,1
João Vitor Rocha,Android 3.2.4,Clap loader,0
Lucca Rodrigues,Android 2.3.7,Policial militar,0
Dra. Clara Freitas,4896779902896384545,+55 (084) 3604-5927,1
Carlos Eduardo Silveira,Android 2.3.7,Agente de viagens,0
Breno Pereira,Android 8.1.0,Judoca,0
Benjamin Campos,3568180224205839,+55 (061) 4481 5884,1
Esther Pires,Android 2.3.1,Musicoterapeuta,0
Gabriel Almeida,Android 11,Procurador de justiça,0
Rafaela Ramos,Android 2.0,Porteiro,0
Sarah Novaes,4831949645138996,+55 (011) 4979 6675,1
Srta. Lorena Moreira,Android 2.1,Transportador,0
Cauê Souza,Android 7.1.1,Contra regra,0
Alexandre Campos,Android 3.1,Neurologista,0
Maria Cecília Melo,Android 2.3.7,Engenheiro de processos,0
Murilo Rocha,379314241327012,61 7689-1944,1
Yasmin Gomes,Android 2.3.6,Presidente da República,0
Eduarda Cavalcanti,Android 2.3.6,Auditor,0
João Lucas da Costa,379876957979004,41 0415-8013,1
Henrique Castro,3571252069947174,84 0351 0470,1
Milena Correia,4812493028894100,(011) 4920 1646,1
Pedro Lucas da Conceição,4349180877627059470,71 4980 0364,1
Julia Lima,Android 10,Engenheiro petroquímico,0
Gustavo Henrique Pereira,2272934491882228,+55 (041) 0113-9382,1
Sr. João Miguel Nunes,Android 10,Historiador,0
Bruna Almeida,Android 3.2,Auditor,0
Renan Monteiro,Android 2.3.7,Engenheiro de transportes,0
Sra. Gabrielly da Paz,Android 2.3.2,Vereador,0
Francisco Moura,30086762315318,51 9989 8743,1
Ana Carolina das Neves,Android 4.4.1,Camelô,0
Davi Luiz das Neves,2250135964502147,31 7207-8373,1
Heloísa Jesus,Android 1.5,Radiooperador de vôo,0
André Ferreira,Android 3.2.5,Adestrador de animais,0
Evelyn Pereira,Android 2.3.6,Arquiteto,0
Ana Julia Cardoso,Android 3.2.2,Navegador,0
Ian Lopes,4863119435972704,0300-820-6949,1
Igor Dias,Android 2.0.1,Construtor,0
Caio Martins,4204198705138715,+55 (061) 7633 5760,1
Maria Alice Peixoto,Android 3.0,Radialista programador,0
Ryan Porto,Android 2.3.4,Traumatologista,0
Eduarda Freitas,4265353180174828,(021) 9933 8771,1
Esther Cunha,Android 1.0,Restaurador,0
Sr. Vitor Gabriel Sales,379747574885322,+55 21 4599-4764,1
Luiz Miguel Gonçalves,Android 4.0.3,Biólogo,0
João Felipe Martins,Android 2.2,Engenheiro de processos,0
Mariane Ribeiro,3505945899600811,51 6900 3267,1
Vitor Gabriel da Rocha,38331259666357,(084) 5217 3299,1
Sr. Yuri Martins,Android 2.3.4,Corretor de imóveis,0
Ana Luiza Dias,213129998672018,84 7874 0790,1
Enrico Caldeira,Android 5.1.1,Auditor,0
Pietra Melo,Android 2.3,Tecnólogo em esporte e lazer,0
Thiago Dias,Android 2.2.3,Operador de bombas,0
Melissa Fernandes,Android 1.1,DJ,0
Emanuella Barbosa,630412319158,+55 (031) 2795-1180,1
Marcelo Viana,Android 4.4.3,Caminhoneiro,0
Clarice Pereira,Android 8.0.0,Torneiro mecânico,0
Lucas Gabriel da Cruz,Android 3.2.6,Militar da Aeronáutica,0
Sra. Maysa Souza,6011233470374720,+55 81 5844 6140,1
Arthur Duarte,Android 2.3,Porteiro,0
Maria Cecília Pinto,Android 4.2.1,Engenheiro de ergonomia,0
Arthur Costa,Android 4.0,Paramédico,0
Enzo Gabriel Santos,3524076841521926,+55 21 3884 8204,1
Ryan Rodrigues,060403055480,21 5524-8834,1
Lucas Gabriel Santos,Android 4.4.1,Surfista,0
Dra. Ana Luiza Azevedo,639088143396,+55 (081) 6981 2806,1
Ian Moraes,4583693618294028,(011) 4965 2976,1
Marina Rodrigues,Android 7.0,Operador de bombas,0
Luiz Miguel da Cruz,Android 3.2.1,Engenheiro naval,0
Maria Eduarda Correia,Android 1.6,Penhorista,0
Heloísa Nogueira,Android 5.0.2,Odontologista legal,0
Emanuella da Mata,345993556825800,(041) 3019 7294,1
Levi Carvalho,Android 2.3.5,Geógrafo,0
Davi Lucas Santos,Android 1.5,Angiologista,0
Isis Silveira,3578798584875103,(061) 8104 3078,1
Pedro Lucas da Mota,6526437770008742,(061) 4205 2374,1
Sra. Daniela Araújo,Android 4.2.1,Assistente de direção,0
Emanuelly da Costa,6011622720508964,+55 84 8359 3429,1
Luna da Cunha,589560132526,(071) 0614-2458,1
Alexia Novaes,Android 4.4.2,Jogador de hóquei,0
Raul Monteiro,Android 2.3,Gastroenterologista,0
Luiz Fernando Costa,213162202385168,0500-924-2039,1
Srta. Ana Carolina Silva,3511409523032828,+55 31 2107 9717,1
Breno da Costa,4865337986808710442,(051) 6003 4572,1
Manuela Aragão,4655315428587275,(011) 0420-0069,1
Sra. Marina Pires,Android 3.2.2,Boxeador,0
Vinicius das Neves,3584574962984631,61 3944 4179,1
Gabriela Correia,Android 3.0,Neurocirurgião,0
Marcelo Caldeira,Android 4.2,Jogador de handebol,0
Vinicius Santos,Android 4.4.2,Cerimonialista,0
Luiz Gustavo Araújo,4489610919083792774,+55 21 9839-5068,1
Emanuel Rodrigues,Android 2.3,Zelador,0
Danilo Nascimento,Android 7.0,Cientista de alimentos,0
Dr. Vitor Gabriel Barros,Android 2.3,Aviador,0
Cauã Rocha,Android 2.3.7,Salgadeira,0
Leandro da Luz,6593274493009949,+55 (031) 3687 0268,1
João Miguel Ferreira,Android 3.2,Embalador,0
Antônio das Neves,Android 4.1.2,Tecelão,0
Nina Fernandes,577106921544,(011) 8622 7969,1
Pedro Lucas da Cunha,Android 7.0,Técnico em tratamento de água,0
Lara Azevedo,Android 2.3.4,Cerimonialista,0
Leonardo Cavalcanti,3590348286170629,+55 81 4287-1410,1
Lucas Gabriel Sales,Android 2.0,Pedreiro,0
Manuela Costa,180012503808328,(011) 1010 7009,1
Isis da Mata,Android 4.3,Camelô,0
João Lucas das Neves,Android 5.1.1,Delegado,0
João Guilherme Melo,Android 4.4,Leiloeiro,0
Gabriel da Cruz,Android 4.2,Gastrônomo,0
Bryan Silva,Android 8.0.0,Programador,0
